1466_at,2167_at,2346_at,23643_at,3625_at,394_at,51704_at,56256_at,7728_at,84634_at,label
11.10,3.79,3.44,7.22,7.29,7.62,4.49,9.53,7.33,4.02,0.00
10.99,3.83,3.38,9.30,5.43,7.59,4.53,7.00,6.95,4.42,1.00
11.49,5.91,3.76,3.67,6.14,6.65,7.70,7.15,5.87,4.10,0.00
10.35,3.81,3.97,5.55,4.51,8.35,4.66,4.46,5.91,4.05,1.00
8.34,4.08,3.41,4.67,4.37,8.21,5.09,6.91,6.71,3.74,0.00
9.23,3.53,4.54,9.08,4.10,7.53,4.75,8.09,6.72,3.86,1.00
9.30,3.75,3.66,8.60,5.19,6.92,6.35,8.13,5.62,3.89,0.00
9.80,4.66,7.71,3.59,4.62,8.17,5.44,4.33,6.87,6.91,0.00
9.28,3.92,3.57,3.85,9.06,8.41,8.17,5.36,6.59,4.63,0.00
5.93,4.11,3.91,6.96,4.70,8.40,4.31,5.15,7.76,4.18,1.00
5.01,4.04,3.70,8.66,4.74,6.53,4.80,4.96,7.40,9.58,1.00
5.13,3.90,3.58,8.08,4.65,5.42,4.69,4.18,6.72,4.20,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.59,3.86,3.68,5.83,4.69,5.23,4.19,4.35,4.98,3.87,0.00
9.37,4.22,3.53,3.42,8.84,8.63,7.79,5.37,6.73,9.68,0.00
10.24,4.03,3.65,9.40,9.49,7.40,8.48,6.06,6.87,4.13,0.00
5.23,4.24,3.30,3.61,4.82,7.62,6.44,8.64,6.65,7.51,1.00
9.70,4.54,3.30,4.89,9.10,6.95,7.73,8.89,6.07,4.23,0.00
9.54,7.09,3.39,9.52,5.37,7.53,6.22,6.81,7.03,3.98,0.00
3.71,3.72,3.45,6.28,4.22,7.19,4.73,4.36,8.49,5.86,1.00
6.36,3.83,3.28,3.46,5.08,8.71,7.85,4.38,6.70,9.98,0.00
10.43,4.63,3.92,4.01,7.58,7.95,6.03,5.11,6.78,4.38,0.00
9.35,3.80,3.52,4.43,8.02,7.13,8.54,9.23,6.83,4.24,0.00
10.11,4.80,3.81,5.82,5.42,7.57,4.69,7.90,6.86,3.82,0.00
11.40,6.31,3.33,9.63,4.45,8.40,5.47,7.40,6.49,4.11,1.00
9.17,4.01,3.41,10.53,4.43,8.88,4.26,4.63,4.74,4.00,1.00
4.72,4.27,3.66,8.16,4.32,6.35,4.71,4.54,7.00,4.00,1.00
3.74,11.00,4.91,3.55,4.78,8.37,5.42,9.24,6.81,3.87,1.00
6.44,4.13,3.64,7.18,4.59,8.59,4.51,7.95,6.83,4.60,1.00
10.33,12.02,3.83,3.50,11.57,7.27,6.52,4.90,6.74,4.47,0.00
3.92,3.69,3.89,6.28,4.33,6.98,4.55,4.23,7.83,6.06,1.00
11.56,4.04,4.31,3.82,4.68,6.74,5.10,5.21,7.27,8.30,0.00
10.70,4.04,3.74,5.06,4.38,7.85,4.64,9.22,6.92,3.88,1.00
