157285_at,4013_at,4998_at,50619_at,5332_at,55769_at,60489_at,79710_at,8612_at,91607_at,label
9.87,5.27,7.52,5.13,3.92,6.35,11.78,7.51,10.36,4.79,1.00
8.70,5.55,8.69,7.70,8.30,8.04,10.18,4.20,4.19,9.36,1.00
8.55,5.31,7.54,4.92,10.35,7.71,6.38,8.94,6.88,3.84,0.00
8.49,6.14,8.04,4.76,9.70,7.59,6.63,8.81,4.23,8.12,0.00
7.12,7.62,7.06,4.52,7.19,7.94,10.62,5.88,6.69,8.94,1.00
7.73,4.84,7.08,5.26,6.07,5.54,7.41,8.49,9.26,3.34,1.00
5.12,5.29,7.89,4.79,4.39,7.92,7.86,6.02,4.43,3.49,1.00
3.86,8.75,8.11,5.08,4.62,8.14,8.81,7.74,4.50,9.09,1.00
9.85,6.18,6.92,5.13,12.00,4.85,9.30,9.87,8.83,9.08,0.00
5.85,5.64,9.12,9.02,5.71,8.73,10.18,4.26,4.67,9.74,1.00
6.47,6.68,8.71,7.64,3.82,7.09,10.19,7.35,4.62,3.57,1.00
11.33,5.94,4.66,5.54,3.69,8.01,7.16,7.66,11.25,3.84,0.00
8.35,6.29,6.75,6.27,8.60,6.44,4.68,8.61,7.66,7.17,1.00
7.75,5.34,7.25,4.96,9.14,8.01,4.62,5.07,6.93,3.75,1.00
6.13,7.52,5.35,6.06,9.47,7.51,9.81,6.29,7.61,6.35,1.00
10.28,5.47,7.99,8.24,3.93,7.77,12.31,6.50,4.74,3.41,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
10.02,5.13,9.48,7.13,3.87,8.54,10.79,5.99,5.02,7.77,1.00
9.92,5.45,9.23,7.74,3.72,8.81,9.71,4.52,3.98,3.95,1.00
9.42,5.17,6.76,5.46,10.25,9.20,4.69,8.66,7.26,3.78,0.00
10.41,5.54,7.22,5.06,6.39,7.05,5.20,9.96,7.30,3.82,0.00
7.38,9.74,6.57,4.97,5.85,8.28,8.75,8.32,5.00,7.28,0.00
10.09,7.18,7.41,6.54,4.16,6.33,4.40,8.81,4.49,3.84,0.00
9.40,6.42,6.60,6.07,4.57,3.44,10.62,7.77,10.05,6.96,1.00
9.83,5.75,6.97,5.57,5.84,5.14,6.51,8.79,9.61,8.31,0.00
10.13,6.09,7.40,5.86,6.80,5.86,9.37,7.56,8.73,3.37,1.00
9.39,9.87,6.21,6.08,4.87,7.72,10.18,6.89,10.25,3.77,0.00
9.67,7.69,5.27,4.63,7.95,8.26,9.06,8.01,7.16,4.32,0.00
8.58,7.48,8.66,4.73,7.96,7.52,4.67,8.25,11.11,3.78,0.00
10.23,5.52,9.19,8.08,3.84,8.46,9.74,7.43,3.60,6.84,1.00
9.36,7.40,7.80,6.11,3.82,3.61,4.74,8.81,10.14,3.85,1.00
5.84,6.30,7.18,5.29,9.04,7.41,4.56,10.08,4.75,3.55,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
