1525_at,154796_at,157285_at,163081_at,29968_at,3936_at,4316_at,4998_at,5243_at,5746_at,label
8.15,6.94,9.87,7.66,9.22,10.43,5.46,7.52,3.57,4.42,1.00
4.77,13.10,8.70,8.49,11.35,11.90,4.27,8.69,3.72,4.33,1.00
8.00,8.91,8.55,7.67,10.54,5.36,4.63,7.54,6.42,4.25,0.00
4.79,9.07,8.49,6.85,11.82,7.32,4.32,8.04,8.21,4.47,0.00
8.49,9.40,7.12,8.02,11.45,6.19,4.17,7.06,3.74,4.10,1.00
5.65,10.67,7.73,6.56,11.57,5.55,4.25,7.08,3.72,4.08,1.00
5.26,8.21,5.12,8.87,13.08,5.79,3.95,7.89,3.93,4.49,1.00
5.57,8.79,3.86,8.01,10.97,6.91,4.02,8.11,3.65,3.90,1.00
4.51,10.63,9.85,7.28,11.93,4.93,6.71,6.92,7.42,4.05,0.00
4.56,9.21,5.85,8.55,4.92,11.92,4.19,9.12,4.07,4.77,1.00
6.03,6.36,6.47,7.21,12.32,11.65,4.31,8.71,5.60,4.33,1.00
8.96,6.83,11.33,6.21,10.29,4.73,12.33,4.66,3.74,4.40,0.00
7.98,9.12,8.35,6.95,9.87,8.61,3.72,6.75,3.83,4.16,1.00
9.03,7.13,7.75,8.80,10.91,5.16,3.89,7.25,3.97,4.37,1.00
4.79,7.55,6.13,6.95,9.65,8.20,4.23,5.35,4.07,4.66,1.00
4.42,7.41,10.28,8.38,10.06,13.00,4.68,7.99,5.57,4.33,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
5.12,6.06,10.02,8.50,10.20,12.08,4.21,9.48,3.76,4.51,1.00
6.62,6.84,9.92,8.91,10.13,11.80,4.45,9.23,3.87,4.66,1.00
8.43,8.79,9.42,8.95,10.42,7.00,4.28,6.76,3.71,6.34,0.00
10.06,10.59,10.41,7.74,10.33,10.35,4.28,7.22,8.04,5.94,0.00
4.34,11.09,7.38,8.11,11.66,7.32,4.31,6.57,3.96,4.47,0.00
9.60,6.78,10.09,6.90,11.98,5.81,4.03,7.41,10.24,4.36,0.00
8.51,6.74,9.40,3.99,10.48,6.23,11.45,6.60,3.73,4.13,1.00
8.74,8.66,9.83,7.78,9.61,9.52,12.00,6.97,4.88,4.32,0.00
8.36,7.15,10.13,7.33,10.82,4.83,4.27,7.40,4.20,4.51,1.00
7.91,8.27,9.39,7.03,9.23,5.25,12.34,6.21,4.08,4.19,0.00
5.86,9.79,9.67,7.29,9.82,5.85,8.31,5.27,3.78,3.97,0.00
10.53,9.87,8.58,8.26,11.48,5.53,4.19,8.66,11.44,8.00,0.00
4.74,7.10,10.23,8.61,5.31,12.15,4.52,9.19,3.97,4.37,1.00
5.01,9.86,9.36,6.97,11.45,5.44,4.58,7.80,3.98,4.30,1.00
7.95,10.50,5.84,7.48,11.79,5.53,4.13,7.18,11.85,4.38,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.86,12.82,11.39,7.43,9.73,5.42,4.20,6.74,4.90,4.48,0.00
7.19,8.19,10.14,7.97,10.38,4.92,10.31,6.51,8.49,4.04,0.00
9.88,10.12,8.12,8.75,11.74,5.87,10.59,6.39,6.75,9.75,0.00
4.91,6.82,9.53,7.96,9.59,8.25,6.30,7.19,3.60,7.75,0.00
7.06,7.60,6.01,7.53,11.77,13.19,4.22,6.21,3.91,4.33,1.00
9.58,9.10,9.43,8.49,10.16,4.99,3.97,7.41,3.91,4.18,1.00
6.55,8.28,9.02,7.97,11.90,9.03,10.02,5.34,7.84,4.09,0.00
7.95,7.00,9.45,8.21,12.40,9.37,12.65,4.95,3.62,8.60,0.00
4.41,7.65,10.52,7.51,10.92,5.41,4.59,6.24,4.35,4.08,0.00
4.21,6.78,8.24,8.74,9.64,12.67,4.23,8.41,4.00,6.64,1.00
7.93,9.37,6.30,9.11,11.68,9.72,4.17,6.68,4.02,4.32,0.00
8.55,10.55,6.73,8.37,10.65,6.62,3.99,7.41,3.72,4.20,1.00
4.43,6.39,6.77,7.75,11.31,10.75,4.09,8.11,6.16,8.03,1.00
10.39,6.34,4.94,7.81,11.32,5.26,4.19,8.07,3.81,4.12,1.00
8.83,9.88,9.81,8.37,9.85,9.29,4.32,6.81,9.55,4.66,0.00
6.13,6.25,7.24,6.40,9.80,8.70,4.06,7.93,4.15,4.03,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
4.28,8.02,8.31,7.36,11.34,12.61,4.39,7.77,4.22,4.51,1.00
7.54,9.35,7.04,7.22,9.57,5.91,6.48,6.93,3.80,4.09,0.00
7.92,6.17,7.08,5.96,9.78,10.98,4.30,6.94,3.89,9.89,1.00
8.27,11.81,10.22,7.70,11.23,9.00,12.01,6.42,3.75,4.28,0.00
10.50,8.36,9.63,7.28,9.70,5.46,4.44,6.59,9.35,4.29,0.00
6.66,10.16,8.41,8.01,9.60,10.01,7.67,7.02,3.88,4.58,0.00
7.93,8.00,9.93,7.96,11.14,5.36,4.69,8.50,4.32,4.27,1.00
9.79,8.59,10.43,7.33,11.42,5.73,4.24,8.12,10.94,4.31,0.00
4.09,7.16,9.46,8.31,12.05,4.71,3.93,6.42,3.91,4.67,1.00
8.73,6.12,9.63,6.65,9.06,10.33,4.38,6.03,3.85,7.55,1.00
9.13,6.78,7.93,9.25,11.44,6.12,4.07,8.27,3.90,3.95,1.00
8.97,8.40,7.36,7.95,11.32,5.24,4.73,7.64,4.13,4.13,0.00
8.06,7.81,7.02,8.94,13.19,7.12,7.47,7.81,3.94,4.13,0.00
9.25,9.60,8.46,8.12,11.41,5.04,4.22,7.81,4.41,6.46,0.00
10.54,9.23,10.53,7.40,11.69,5.18,4.59,6.50,8.59,4.31,0.00
5.02,10.63,4.08,7.79,12.43,7.79,4.05,8.61,4.96,4.27,1.00
4.09,9.05,9.97,7.74,10.03,4.17,3.77,6.94,3.90,4.38,0.00
4.72,7.98,8.30,7.68,11.35,8.79,3.86,5.83,3.85,4.21,1.00
4.89,9.71,9.28,7.81,9.32,5.63,3.92,6.56,4.19,4.20,0.00
4.15,10.08,9.52,7.38,11.78,3.89,4.11,5.12,3.99,3.91,0.00
5.06,7.69,10.55,7.21,10.61,5.25,4.29,6.72,3.88,4.54,0.00
4.33,9.21,9.51,7.88,9.77,4.57,4.34,5.61,4.15,4.33,0.00
4.83,8.13,9.38,7.76,10.18,4.77,3.66,6.91,5.05,4.21,0.00
7.57,9.30,8.37,7.16,11.09,8.66,4.01,7.68,4.49,4.18,1.00
5.11,8.60,9.71,6.11,11.65,9.61,4.37,7.64,4.06,4.24,1.00
4.80,8.72,10.73,7.57,10.62,10.04,4.37,6.86,4.20,4.00,0.00
4.49,12.36,8.51,7.78,10.90,4.99,4.22,7.63,3.90,9.36,0.00
5.76,7.59,7.89,9.11,9.69,12.19,4.25,8.17,3.80,4.50,1.00
8.54,7.55,10.62,6.34,4.53,5.38,9.86,7.50,3.79,4.76,0.00
5.94,7.41,6.40,8.99,5.17,12.06,4.14,8.67,6.08,4.54,1.00
6.14,8.12,8.68,8.90,9.35,4.95,3.63,7.27,3.80,4.45,0.00
8.87,8.38,7.61,8.08,12.53,6.23,11.89,8.45,4.20,4.54,0.00
7.78,8.76,8.64,6.05,12.03,5.41,5.58,8.00,3.89,4.10,1.00
8.39,9.04,9.43,8.69,10.15,5.02,4.08,9.14,3.68,4.46,1.00
10.15,10.18,7.40,8.27,11.21,10.70,4.17,7.33,7.56,4.66,1.00
9.13,7.50,8.30,8.11,9.94,4.46,3.73,6.37,7.91,4.81,0.00
9.93,7.96,7.67,8.47,10.95,4.79,4.20,8.34,3.97,4.63,1.00
5.74,8.22,9.05,7.68,10.99,10.53,3.86,7.35,7.16,4.30,0.00
5.58,9.03,9.67,6.68,8.38,5.43,5.61,5.78,6.81,8.72,0.00
6.31,8.35,9.65,7.35,11.34,9.52,8.57,6.29,4.66,4.23,0.00
6.42,7.49,7.37,7.97,12.77,12.47,3.95,8.14,3.71,4.40,1.00
4.28,7.03,8.11,8.01,12.01,12.73,10.93,6.89,5.77,4.39,1.00
4.31,7.46,10.76,8.51,9.16,11.32,4.41,7.50,4.03,4.76,0.00
7.00,9.75,9.71,8.77,10.71,11.31,4.44,7.72,4.38,4.26,1.00
4.12,12.65,10.23,7.78,11.26,12.30,4.16,8.69,3.89,3.98,1.00
4.10,6.36,9.13,8.38,12.86,11.58,4.06,8.18,4.80,8.87,1.00
8.66,8.40,11.46,6.12,11.66,5.46,12.85,7.40,3.96,4.35,0.00
5.36,8.58,9.87,8.15,11.99,12.67,7.08,8.31,4.50,4.06,1.00
5.03,6.83,7.78,8.57,11.36,6.00,4.01,7.53,4.66,4.60,1.00
9.17,10.65,8.82,9.90,10.65,5.41,5.69,5.76,5.32,4.24,0.00
7.69,7.31,4.93,9.20,10.04,9.41,4.41,7.19,3.74,4.55,1.00
6.82,9.40,9.10,7.92,5.18,10.92,5.22,6.49,6.36,3.93,0.00
6.42,6.81,7.21,8.25,9.25,5.71,4.10,8.96,3.64,4.19,1.00
4.27,6.44,4.84,8.99,10.68,11.91,4.35,7.96,3.91,4.18,1.00
6.49,7.59,8.01,8.55,13.16,5.33,4.38,7.11,4.35,4.73,1.00
6.58,7.76,5.24,8.71,11.33,7.90,4.32,8.17,6.27,4.60,1.00
7.51,10.52,7.91,7.31,10.58,6.35,3.84,6.73,5.10,4.41,1.00
9.54,7.86,7.99,8.67,11.59,4.20,4.04,6.95,3.85,4.17,1.00
5.02,6.72,5.23,8.43,10.36,11.53,4.13,8.42,5.92,6.01,1.00
8.06,11.43,8.13,7.42,11.96,5.09,10.10,5.32,3.81,9.46,0.00
10.08,6.97,5.13,8.84,10.56,5.12,4.40,6.81,4.22,4.28,1.00
8.32,8.39,9.26,8.53,10.91,5.76,4.30,7.52,3.80,9.01,0.00
7.70,6.82,8.96,6.77,10.34,6.25,4.35,8.18,3.79,4.39,1.00
7.79,6.90,10.13,8.73,10.16,8.14,4.89,7.40,3.60,8.96,0.00
8.48,9.69,8.58,4.30,11.36,5.55,6.72,7.77,3.90,4.43,1.00
8.55,6.44,8.74,8.61,11.05,9.24,4.48,7.42,3.96,4.14,1.00
5.90,6.84,4.22,7.87,11.16,9.20,3.93,8.10,4.13,4.71,1.00
6.19,9.84,6.25,7.38,12.64,5.66,4.08,4.88,4.24,4.71,0.00
8.55,10.98,10.78,8.87,10.48,7.91,9.60,6.53,3.99,4.34,0.00
