10553_at,10628_at,10966_at,130576_at,132720_at,1525_at,154796_at,157285_at,163081_at,2172_at,2706_at,290_at,29968_at,3880_at,3936_at,4237_at,4316_at,4846_at,4998_at,5243_at,5746_at,6502_at,7306_at,79710_at,8460_at,84617_at,84740_at,8612_at,91607_at,91851_at,label
9.34,10.42,8.01,7.34,7.15,8.15,6.94,9.87,7.66,4.12,10.52,4.15,9.22,14.40,10.43,10.79,5.46,4.11,7.52,3.57,4.42,7.01,3.84,7.51,9.26,11.98,4.03,10.36,4.79,4.42,1.00
4.80,8.79,8.15,5.15,10.93,4.77,13.10,8.70,8.49,4.57,4.08,3.83,11.35,4.05,11.90,5.16,4.27,4.26,8.69,3.72,4.33,9.37,3.93,4.20,6.86,11.17,4.00,4.19,9.36,4.78,1.00
9.81,8.68,7.27,4.37,6.06,8.00,8.91,8.55,7.67,6.24,7.28,7.17,10.54,4.37,5.36,5.13,4.63,4.27,7.54,6.42,4.25,6.67,4.12,8.94,7.98,12.05,3.95,6.88,3.84,4.39,0.00
8.58,7.72,6.75,4.37,7.71,4.79,9.07,8.49,6.85,5.91,9.78,6.09,11.82,11.64,7.32,5.35,4.32,4.67,8.04,8.21,4.47,8.07,3.79,8.81,9.70,12.08,4.04,4.23,8.12,7.29,0.00
3.80,6.02,6.77,9.14,3.62,8.49,9.40,7.12,8.02,5.89,10.07,7.77,11.45,3.88,6.19,9.21,4.17,4.42,7.06,3.74,4.10,6.63,5.49,5.88,9.00,10.91,3.84,6.69,8.94,8.48,1.00
9.14,8.54,6.90,4.76,8.18,5.65,10.67,7.73,6.56,4.58,4.13,9.92,11.57,3.73,5.55,10.49,4.25,5.74,7.08,3.72,4.08,8.56,9.51,8.49,10.47,11.53,3.84,9.26,3.34,5.19,1.00
4.45,7.13,9.31,4.65,5.00,5.26,8.21,5.12,8.87,4.56,4.04,3.81,13.08,4.36,5.79,11.13,3.95,7.62,7.89,3.93,4.49,8.96,10.33,6.02,7.43,11.92,4.12,4.43,3.49,4.82,1.00
8.88,10.43,7.99,4.26,7.38,5.57,8.79,3.86,8.01,4.33,3.89,4.03,10.97,5.30,6.91,9.35,4.02,4.40,8.11,3.65,3.90,8.54,3.99,7.74,6.50,12.42,3.99,4.50,9.09,4.45,1.00
9.69,9.66,7.14,4.63,6.39,4.51,10.63,9.85,7.28,6.70,6.76,3.60,11.93,13.33,4.93,5.38,6.71,3.97,6.92,7.42,4.05,5.85,4.21,9.87,8.30,12.10,9.12,8.83,9.08,9.63,0.00
4.62,9.59,7.60,4.34,3.90,4.56,9.21,5.85,8.55,4.37,4.16,3.80,4.92,4.67,11.92,5.04,4.19,4.18,9.12,4.07,4.77,8.05,3.81,4.26,4.72,3.89,3.90,4.67,9.74,4.20,1.00
8.43,11.85,7.40,4.25,9.26,6.03,6.36,6.47,7.21,8.87,4.34,3.67,12.32,3.77,11.65,4.98,4.31,7.22,8.71,5.60,4.33,7.76,4.05,7.35,6.91,8.32,4.05,4.62,3.57,4.37,1.00
9.85,12.75,10.15,4.41,9.81,8.96,6.83,11.33,6.21,5.05,9.38,8.09,10.29,14.23,4.73,8.04,12.33,8.95,4.66,3.74,4.40,5.23,4.16,7.66,5.36,9.24,8.82,11.25,3.84,4.34,0.00
9.55,10.26,6.11,7.79,8.14,7.98,9.12,8.35,6.95,7.02,4.65,4.28,9.87,14.55,8.61,4.83,3.72,7.43,6.75,3.83,4.16,7.06,3.75,8.61,4.74,9.26,4.26,7.66,7.17,4.43,1.00
4.63,5.46,8.02,4.35,4.64,9.03,7.13,7.75,8.80,4.34,4.40,3.53,10.91,3.66,5.16,5.11,3.89,5.41,7.25,3.97,4.37,7.03,9.48,5.07,6.91,12.20,4.04,6.93,3.75,8.73,1.00
9.09,12.91,7.71,7.17,7.09,4.79,7.55,6.13,6.95,5.93,5.24,3.50,9.65,5.38,8.20,11.77,4.23,4.53,5.35,4.07,4.66,6.06,3.79,6.29,7.26,11.10,4.12,7.61,6.35,11.24,1.00
9.00,8.97,7.01,7.10,6.08,4.42,7.41,10.28,8.38,5.30,4.95,3.67,10.06,3.99,13.00,5.06,4.68,4.23,7.99,5.57,4.33,7.25,3.88,6.50,6.69,4.97,4.50,4.74,3.41,4.97,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
4.80,9.22,9.04,5.23,10.62,5.12,6.06,10.02,8.50,4.40,4.12,3.76,10.20,4.31,12.08,4.74,4.21,4.31,9.48,3.76,4.51,7.47,3.55,5.99,5.56,4.05,4.01,5.02,7.77,4.42,1.00
6.51,8.97,5.71,4.84,11.19,6.62,6.84,9.92,8.91,5.05,4.32,3.62,10.13,4.40,11.80,5.56,4.45,4.49,9.23,3.87,4.66,7.24,4.26,4.52,6.20,4.29,4.24,3.98,3.95,4.59,1.00
7.10,11.55,9.42,7.58,10.56,8.43,8.79,9.42,8.95,4.39,4.54,3.96,10.42,14.06,7.00,5.01,4.28,4.39,6.76,3.71,6.34,6.62,4.21,8.66,5.78,8.99,3.98,7.26,3.78,4.36,0.00
9.97,8.49,7.14,7.97,7.31,10.06,10.59,10.41,7.74,4.49,5.05,3.74,10.33,13.63,10.35,7.66,4.28,4.43,7.22,8.04,5.94,9.04,3.93,9.96,7.72,11.56,3.99,7.30,3.82,4.39,0.00
8.53,10.87,8.25,4.56,7.97,4.34,11.09,7.38,8.11,4.01,4.07,3.47,11.66,4.03,7.32,4.52,4.31,6.25,6.57,3.96,4.47,5.23,9.22,8.32,7.90,11.39,3.96,5.00,7.28,4.30,0.00
4.34,9.14,8.80,4.52,7.61,9.60,6.78,10.09,6.90,4.73,4.69,9.57,11.98,12.33,5.81,7.50,4.03,5.40,7.41,10.24,4.36,6.53,3.89,8.81,8.21,10.15,3.87,4.49,3.84,4.24,0.00
9.97,11.48,7.31,9.21,7.28,8.51,6.74,9.40,3.99,6.34,11.96,3.66,10.48,5.97,6.23,5.74,11.45,4.34,6.60,3.73,4.13,7.31,3.91,7.77,6.70,11.36,4.23,10.05,6.96,4.20,1.00
9.77,6.68,8.86,4.45,7.78,8.74,8.66,9.83,7.78,4.85,6.13,3.71,9.61,14.01,9.52,5.01,12.00,4.20,6.97,4.88,4.32,6.23,3.91,8.79,6.27,9.54,6.33,9.61,8.31,4.27,0.00
