2172_at,29968_at,4316_at,50619_at,5243_at,55769_at,56975_at,79710_at,8460_at,8974_at,91607_at,label
4.12,9.22,5.46,5.13,3.57,6.35,9.31,7.51,9.26,11.63,4.79,1.00
4.57,11.35,4.27,7.70,3.72,8.04,8.43,4.20,6.86,4.97,9.36,1.00
6.24,10.54,4.63,4.92,6.42,7.71,8.27,8.94,7.98,10.23,3.84,0.00
5.91,11.82,4.32,4.76,8.21,7.59,7.66,8.81,9.70,11.80,8.12,0.00
5.89,11.45,4.17,4.52,3.74,7.94,9.33,5.88,9.00,10.94,8.94,1.00
4.58,11.57,4.25,5.26,3.72,5.54,9.44,8.49,10.47,9.89,3.34,1.00
4.56,13.08,3.95,4.79,3.93,7.92,6.59,6.02,7.43,9.06,3.49,1.00
4.33,10.97,4.02,5.08,3.65,8.14,7.73,7.74,6.50,6.33,9.09,1.00
6.70,11.93,6.71,5.13,7.42,4.85,7.73,9.87,8.30,9.74,9.08,0.00
4.37,4.92,4.19,9.02,4.07,8.73,3.91,4.26,4.72,3.84,9.74,1.00
8.87,12.32,4.31,7.64,5.60,7.09,3.70,7.35,6.91,6.26,3.57,1.00
5.05,10.29,12.33,5.54,3.74,8.01,8.56,7.66,5.36,8.47,3.84,0.00
7.02,9.87,3.72,6.27,3.83,6.44,4.87,8.61,4.74,8.95,7.17,1.00
4.34,10.91,3.89,4.96,3.97,8.01,7.82,5.07,6.91,8.33,3.75,1.00
5.93,9.65,4.23,6.06,4.07,7.51,9.03,6.29,7.26,10.57,6.35,1.00
5.30,10.06,4.68,8.24,5.57,7.77,4.43,6.50,6.69,8.55,3.41,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
4.40,10.20,4.21,7.13,3.76,8.54,4.03,5.99,5.56,4.52,7.77,1.00
5.05,10.13,4.45,7.74,3.87,8.81,3.92,4.52,6.20,4.00,3.95,1.00
4.39,10.42,4.28,5.46,3.71,9.20,7.27,8.66,5.78,9.05,3.78,0.00
4.49,10.33,4.28,5.06,8.04,7.05,6.64,9.96,7.72,9.68,3.82,0.00
4.01,11.66,4.31,4.97,3.96,8.28,7.99,8.32,7.90,11.27,7.28,0.00
4.73,11.98,4.03,6.54,10.24,6.33,8.00,8.81,8.21,9.97,3.84,0.00
6.34,10.48,11.45,6.07,3.73,3.44,10.35,7.77,6.70,10.59,6.96,1.00
4.85,9.61,12.00,5.57,4.88,5.14,5.69,8.79,6.27,9.47,8.31,0.00
5.92,10.82,4.27,5.86,4.20,5.86,7.91,7.56,8.06,9.42,3.37,1.00
5.60,9.23,12.34,6.08,4.08,7.72,8.74,6.89,6.73,9.66,3.77,0.00
4.70,9.82,8.31,4.63,3.78,8.26,10.62,8.01,9.66,12.29,4.32,0.00
4.16,11.48,4.19,4.73,11.44,7.52,4.45,8.25,5.85,7.79,3.78,0.00
9.19,5.31,4.52,8.08,3.97,8.46,3.99,7.43,5.06,4.27,6.84,1.00
7.61,11.45,4.58,6.11,3.98,3.61,3.90,8.81,4.35,9.31,3.85,1.00
5.02,11.79,4.13,5.29,11.85,7.41,4.68,10.08,6.87,8.18,3.55,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
4.56,9.73,4.20,6.19,4.90,6.79,7.05,9.99,6.01,8.77,3.77,0.00
4.08,10.38,10.31,4.67,8.49,6.32,8.34,9.91,6.45,9.91,3.83,0.00
4.91,11.74,10.59,4.83,6.75,9.02,5.51,7.57,8.19,8.60,4.09,0.00
4.39,9.59,6.30,4.43,3.60,9.16,9.51,7.25,7.61,9.97,6.86,0.00
4.40,11.77,4.22,7.67,3.91,7.45,3.90,4.40,7.20,4.77,8.21,1.00
10.44,10.16,3.97,6.35,3.91,8.69,7.48,8.22,6.38,8.97,8.59,1.00
7.07,11.90,10.02,5.20,7.84,8.88,5.25,7.80,6.02,9.61,3.67,0.00
7.58,12.40,12.65,5.71,3.62,7.42,6.94,7.57,7.00,7.83,3.82,0.00
5.36,10.92,4.59,5.26,4.35,7.78,8.41,7.28,7.76,11.50,3.88,0.00
4.24,9.64,4.23,9.42,4.00,8.09,4.02,6.13,4.93,7.35,9.78,1.00
4.29,11.68,4.17,5.49,4.02,8.79,7.10,6.96,8.19,10.47,3.71,0.00
4.71,10.65,3.99,4.96,3.72,8.92,9.44,9.30,7.64,9.13,8.74,1.00
4.93,11.31,4.09,7.93,6.16,7.55,3.70,5.53,7.41,4.63,4.74,1.00
4.59,11.32,4.19,5.00,3.81,7.22,6.90,6.87,7.18,8.59,3.49,1.00
6.26,9.85,4.32,5.61,9.55,3.84,4.28,8.96,8.46,7.49,5.68,0.00
8.21,9.80,4.06,4.64,4.15,7.23,9.27,6.49,8.97,10.55,6.99,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.82,11.34,4.39,7.56,4.22,9.16,4.07,7.15,5.74,6.80,8.41,1.00
4.22,9.57,6.48,5.82,3.80,6.01,6.60,6.88,8.52,10.50,4.08,0.00
8.76,9.78,4.30,6.82,3.89,9.45,8.32,7.88,6.52,9.82,7.55,1.00
4.55,11.23,12.01,6.74,3.75,8.53,7.00,9.78,6.82,10.10,5.97,0.00
8.43,9.70,4.44,5.91,9.35,7.11,5.16,8.49,4.95,9.83,3.33,0.00
7.05,9.60,7.67,6.32,3.88,9.26,6.63,7.35,6.35,10.03,8.78,0.00
6.88,11.14,4.69,7.05,4.32,7.50,7.48,8.42,7.64,9.42,3.56,1.00
4.63,11.42,4.24,4.53,10.94,6.46,4.12,10.30,7.10,10.07,4.00,0.00
6.03,12.05,3.93,5.07,3.91,8.68,6.97,9.52,6.80,10.61,8.08,1.00
4.57,9.06,4.38,6.55,3.85,8.58,10.34,6.39,7.55,9.13,3.97,1.00
9.16,11.44,4.07,7.09,3.90,8.59,4.93,7.27,6.75,8.97,3.58,1.00
4.61,11.32,4.73,4.74,4.13,9.34,5.66,7.23,7.77,9.27,3.95,0.00
8.17,13.19,7.47,4.82,3.94,8.72,5.98,7.81,7.85,8.99,3.78,0.00
8.01,11.41,4.22,5.83,4.41,8.28,6.80,8.47,8.19,10.46,3.40,0.00
