100506948_at,10873_at,150771_at,23043_at,342897_at,51170_at,7164_at,8460_at,857_at,9368_at,label
9.90,7.19,4.84,5.33,4.55,10.97,10.03,6.95,5.78,7.73,1.00
6.84,8.46,5.46,5.86,4.09,8.94,9.03,9.26,12.65,8.87,0.00
8.11,5.20,7.72,4.64,4.46,8.41,4.90,6.86,4.38,8.16,1.00
8.21,6.74,4.37,7.55,4.21,8.59,12.09,7.98,13.13,8.01,0.00
6.35,6.02,4.71,7.70,4.35,8.76,10.45,9.70,12.83,10.36,0.00
6.39,9.16,7.35,4.25,3.84,10.03,12.87,7.54,4.57,7.40,0.00
8.32,5.88,7.72,4.28,4.45,9.37,5.08,4.72,4.67,12.31,1.00
8.20,6.04,7.67,7.49,4.27,8.61,5.88,6.91,9.15,10.62,1.00
7.43,6.41,4.81,5.15,3.88,10.51,11.43,8.33,4.56,9.16,0.00
3.58,4.72,4.45,5.15,10.97,6.46,11.96,4.74,6.68,11.82,1.00
4.62,6.32,7.80,4.52,4.38,7.59,5.36,6.20,4.19,9.18,1.00
8.61,4.91,4.38,4.50,4.65,4.10,11.86,5.78,6.05,12.09,1.00
6.28,5.51,4.57,8.01,4.08,9.85,6.47,7.90,13.02,6.82,0.00
10.28,4.93,6.05,4.08,4.27,10.92,5.46,8.21,4.57,11.78,1.00
7.88,9.33,4.39,6.08,3.93,10.79,6.09,8.29,13.76,8.88,0.00
7.08,9.73,4.38,7.36,4.33,11.90,9.84,6.73,13.30,8.95,0.00
7.13,5.50,4.48,8.39,3.52,8.77,6.86,8.68,6.77,8.22,1.00
9.53,7.60,6.99,4.47,4.61,9.12,6.72,9.81,4.34,8.10,1.00
7.86,8.24,6.55,8.25,4.92,11.19,5.12,4.97,3.80,10.46,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.19,9.99,4.27,4.46,5.61,8.28,11.62,6.01,8.53,10.21,0.00
7.85,7.05,4.14,6.57,4.46,9.60,10.62,6.45,13.12,11.40,0.00
6.93,7.97,6.05,5.73,3.93,10.17,10.32,7.61,13.28,10.00,0.00
8.39,8.94,6.08,8.02,4.94,8.44,4.83,7.20,7.20,9.01,1.00
