100506948_at,10873_at,11098_at,150771_at,23043_at,342897_at,3485_at,4599_at,4646_at,4692_at,51170_at,55081_at,5587_at,57482_at,5797_at,7164_at,8460_at,857_at,9060_at,9368_at,label
9.90,7.19,10.99,4.84,5.33,4.55,10.28,4.67,10.20,8.63,10.97,8.14,5.97,7.93,4.49,10.03,6.95,5.78,5.42,7.73,1.00
6.84,8.46,10.02,5.46,5.86,4.09,4.97,6.68,8.08,4.60,8.94,6.59,4.75,6.98,8.33,9.03,9.26,12.65,7.86,8.87,0.00
8.11,5.20,5.01,7.72,4.64,4.46,9.92,3.94,3.79,4.73,8.41,5.20,4.28,9.27,6.58,4.90,6.86,4.38,4.34,8.16,1.00
8.21,6.74,10.87,4.37,7.55,4.21,5.75,4.24,8.72,9.56,8.59,7.07,7.32,5.28,8.13,12.09,7.98,13.13,8.95,8.01,0.00
6.35,6.02,9.97,4.71,7.70,4.35,5.19,4.97,8.15,9.75,8.76,7.20,6.03,3.79,8.11,10.45,9.70,12.83,11.20,10.36,0.00
6.39,9.16,12.08,7.35,4.25,3.84,5.41,7.75,6.46,11.30,10.03,10.28,4.09,6.12,4.82,12.87,7.54,4.57,9.00,7.40,0.00
8.32,5.88,4.43,7.72,4.28,4.45,8.91,6.99,3.60,5.00,9.37,5.64,4.11,4.02,4.77,5.08,4.72,4.67,4.30,12.31,1.00
8.20,6.04,4.40,7.67,7.49,4.27,4.77,4.37,7.83,4.81,8.61,6.81,4.29,7.09,8.44,5.88,6.91,9.15,6.20,10.62,1.00
7.43,6.41,5.01,4.81,5.15,3.88,12.16,5.09,3.80,4.75,10.51,7.89,7.77,5.33,4.68,11.43,8.33,4.56,4.23,9.16,0.00
3.58,4.72,5.80,4.45,5.15,10.97,7.08,4.37,9.05,5.53,6.46,5.99,3.85,4.19,4.90,11.96,4.74,6.68,8.04,11.82,1.00
4.62,6.32,4.94,7.80,4.52,4.38,4.60,4.30,3.55,4.96,7.59,7.01,4.45,7.14,4.87,5.36,6.20,4.19,4.56,9.18,1.00
8.61,4.91,9.54,4.38,4.50,4.65,10.47,4.33,9.58,5.15,4.10,4.16,6.30,7.57,5.37,11.86,5.78,6.05,4.60,12.09,1.00
6.28,5.51,11.76,4.57,8.01,4.08,11.77,4.60,6.65,4.61,9.85,7.13,8.97,7.52,10.05,6.47,7.90,13.02,3.89,6.82,0.00
10.28,4.93,4.54,6.05,4.08,4.27,6.27,4.12,7.89,4.92,10.92,5.17,5.74,3.63,10.27,5.46,8.21,4.57,4.22,11.78,1.00
7.88,9.33,12.08,4.39,6.08,3.93,5.12,7.19,8.65,5.30,10.79,7.43,7.12,4.05,10.05,6.09,8.29,13.76,9.75,8.88,0.00
7.08,9.73,11.90,4.38,7.36,4.33,4.83,8.31,9.25,4.65,11.90,6.10,4.60,3.89,6.84,9.84,6.73,13.30,6.86,8.95,0.00
7.13,5.50,4.90,4.48,8.39,3.52,7.13,4.29,7.86,5.17,8.77,5.82,6.54,7.53,7.43,6.86,8.68,6.77,5.16,8.22,1.00
9.53,7.60,10.37,6.99,4.47,4.61,9.05,4.91,10.37,10.92,9.12,7.81,7.75,7.04,8.64,6.72,9.81,4.34,5.96,8.10,1.00
7.86,8.24,7.68,6.55,8.25,4.92,4.81,4.59,3.57,6.76,11.19,5.02,3.93,10.24,4.84,5.12,4.97,3.80,7.68,10.46,1.00
