11098_at,116441_at,27123_at,282809_at,3201_at,4692_at,8490_at,9060_at,9368_at,9805_at,label
10.99,3.42,3.80,8.95,6.25,8.63,5.07,5.42,7.73,6.87,1.00
10.02,3.66,3.63,8.46,7.68,4.60,4.31,7.86,8.87,9.95,0.00
5.01,3.67,3.57,7.76,5.57,4.73,4.74,4.34,8.16,4.52,1.00
10.87,10.16,3.58,6.88,6.78,9.56,5.11,8.95,8.01,4.10,0.00
9.97,8.78,3.84,7.66,9.58,9.75,5.33,11.20,10.36,9.68,0.00
12.08,8.07,3.42,6.23,6.71,11.30,4.74,9.00,7.40,9.51,0.00
4.43,3.50,3.27,8.96,6.91,5.00,4.72,4.30,12.31,4.03,1.00
4.40,3.55,3.57,8.28,5.80,4.81,4.98,6.20,10.62,7.72,1.00
5.01,3.50,3.52,8.26,9.63,4.75,5.19,4.23,9.16,10.07,0.00
5.80,3.75,3.45,7.72,5.67,5.53,4.49,8.04,11.82,10.16,1.00
4.94,3.74,3.46,7.73,6.24,4.96,5.26,4.56,9.18,8.06,1.00
9.54,3.84,3.63,8.94,5.76,5.15,4.63,4.60,12.09,10.24,1.00
11.76,7.28,3.58,8.78,7.40,4.61,5.83,3.89,6.82,5.26,0.00
4.54,3.72,3.39,7.70,7.52,4.92,4.63,4.22,11.78,9.00,1.00
12.08,3.50,3.81,8.47,4.93,5.30,5.80,9.75,8.88,10.42,0.00
11.90,3.88,3.43,6.64,5.76,4.65,4.50,6.86,8.95,9.83,0.00
4.90,3.58,4.32,7.87,5.48,5.17,4.93,5.16,8.22,8.83,1.00
10.37,3.70,10.02,7.74,5.13,10.92,10.86,5.96,8.10,10.48,1.00
7.68,3.71,3.62,7.46,5.27,6.76,4.90,7.68,10.46,4.85,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
13.47,3.51,3.44,6.92,6.92,4.87,4.53,3.84,10.21,9.76,0.00
12.11,3.77,3.76,8.57,5.54,6.52,4.47,10.90,11.40,9.41,0.00
10.60,3.59,4.43,7.52,7.37,5.02,6.10,7.68,10.00,10.36,0.00
8.39,3.56,4.23,9.36,5.78,4.78,5.40,4.16,9.01,4.47,1.00
4.58,3.48,3.75,8.35,5.19,5.29,4.70,4.36,8.61,10.15,1.00
8.83,3.57,3.43,8.81,5.69,5.41,4.73,5.58,10.78,7.53,1.00
4.84,3.48,3.55,7.97,6.40,4.68,5.47,4.41,7.33,10.33,0.00
9.72,5.10,3.30,8.24,7.55,4.93,5.95,7.83,7.66,9.46,0.00
8.58,7.64,3.38,5.30,4.94,4.67,6.40,8.76,7.93,9.98,0.00
4.36,3.50,3.53,8.28,5.14,5.07,4.54,5.79,10.87,9.36,1.00
6.42,8.92,3.48,8.01,5.01,4.75,5.79,5.20,8.46,8.82,0.00
4.27,3.87,3.63,8.89,5.67,7.85,5.66,4.80,7.92,9.28,1.00
7.73,3.88,3.52,6.89,6.82,7.47,4.41,8.18,11.29,8.39,1.00
9.88,6.52,3.41,7.38,9.05,5.05,8.64,8.40,8.33,9.18,0.00
8.00,3.90,4.74,8.16,7.11,11.68,4.62,8.51,8.20,8.32,1.00
8.94,6.96,3.30,8.92,6.51,6.13,5.56,4.51,9.52,10.31,1.00
10.73,6.46,4.85,7.24,7.09,4.63,4.40,9.10,8.84,10.14,0.00
9.12,3.54,3.52,8.41,6.65,4.94,4.53,6.78,10.52,8.94,0.00
11.09,4.34,3.24,7.54,7.41,4.72,5.33,7.53,7.86,3.67,0.00
6.02,4.24,3.71,6.69,5.11,4.69,4.75,8.46,9.95,9.43,0.00
10.26,3.72,3.82,8.13,5.79,4.57,4.76,7.32,9.68,9.63,0.00
10.90,3.76,3.33,8.39,5.38,4.96,4.46,4.16,9.14,3.28,1.00
11.84,3.61,3.55,8.17,5.61,4.52,4.78,4.12,9.04,9.82,1.00
4.66,3.74,4.03,8.63,5.83,5.39,5.01,4.56,9.91,4.07,1.00
10.68,8.57,3.67,9.57,5.72,4.74,5.49,4.42,8.26,9.36,0.00
11.19,3.50,9.44,7.94,6.16,4.90,4.53,10.93,7.74,9.53,0.00
12.11,3.52,4.34,7.53,7.05,11.31,4.91,11.69,6.91,10.16,0.00
12.20,9.71,3.32,8.24,5.53,5.04,6.49,7.98,8.56,10.34,0.00
6.78,3.70,3.85,8.28,5.27,11.42,5.44,4.30,9.12,9.92,1.00
11.74,3.56,3.69,7.74,6.87,5.15,4.46,8.43,10.19,9.27,0.00
4.69,3.58,3.49,8.81,5.88,4.82,4.63,4.32,9.00,9.81,1.00
11.55,7.79,3.53,7.96,6.92,6.27,4.43,10.62,11.08,9.47,0.00
10.36,3.81,3.36,10.06,5.36,5.34,4.28,4.47,9.62,10.18,1.00
5.07,3.76,3.56,8.90,5.55,4.98,4.54,7.03,11.87,3.82,1.00
11.30,3.67,3.42,6.93,8.48,10.61,4.96,4.13,7.73,10.53,0.00
7.40,3.61,3.48,9.38,6.02,5.46,4.82,6.91,10.86,4.06,1.00
8.10,3.48,3.63,9.01,6.09,5.94,4.82,6.66,9.51,9.19,1.00
12.17,3.50,3.44,8.60,5.26,4.87,4.78,8.17,8.03,7.43,0.00
10.68,3.70,3.66,9.02,6.76,6.48,4.73,7.84,8.96,8.67,0.00
11.84,3.65,4.53,7.93,8.44,9.37,4.37,8.80,9.33,10.09,0.00
6.99,5.90,7.64,10.24,5.12,5.07,6.66,7.91,8.10,9.95,1.00
4.70,3.68,3.62,7.96,5.34,4.97,4.53,4.46,8.80,6.79,1.00
4.31,3.53,3.35,9.49,6.41,9.57,4.69,4.58,8.90,9.23,1.00
4.25,3.47,3.49,8.60,5.71,7.32,5.03,3.96,8.98,9.28,1.00
4.58,3.77,3.67,8.24,5.79,4.71,4.77,4.16,9.21,10.49,1.00
4.37,3.57,3.56,7.91,6.38,4.99,4.77,4.36,11.48,4.41,1.00
4.32,3.50,3.40,7.93,5.18,4.95,5.20,4.39,7.84,3.96,1.00
5.11,3.59,10.69,9.26,5.38,4.48,4.41,7.69,9.78,10.40,1.00
4.91,4.07,3.57,8.83,6.30,4.93,4.92,4.42,9.22,7.69,1.00
6.52,3.53,3.52,8.66,8.83,5.63,4.49,5.30,12.26,9.13,1.00
4.54,3.71,3.88,9.01,5.82,8.71,5.98,4.77,11.42,7.46,1.00
8.62,3.51,3.85,8.28,5.33,5.11,5.60,5.27,9.07,9.13,1.00
11.20,10.50,3.65,8.37,7.22,9.66,4.78,11.03,7.26,10.07,0.00
11.75,10.94,3.62,7.41,9.07,5.27,5.44,9.39,8.95,4.10,0.00
