100506311_at,100506948_at,100506965_at,10873_at,10964_at,11098_at,116441_at,123920_at,143279_at,1992_at,2149_at,222166_at,22943_at,23554_at,2633_at,2697_at,27123_at,282809_at,2952_at,3099_at,309_at,3201_at,342897_at,3514_at,399959_at,4103_at,4237_at,4312_at,4692_at,4744_at,51170_at,5376_at,54504_at,55876_at,57482_at,58526_at,6091_at,6447_at,644943_at,655_at,7164_at,81606_at,8490_at,8572_at,857_at,9060_at,9200_at,9368_at,9723_at,9805_at,label
6.14,9.90,8.23,7.19,3.80,10.99,3.42,5.07,8.51,9.62,3.98,5.66,10.93,3.91,3.21,11.79,3.80,8.95,8.56,8.11,7.86,6.25,4.55,5.65,3.88,11.06,7.24,3.51,8.63,9.64,10.97,5.80,3.79,6.05,7.93,8.49,8.92,4.55,3.71,3.81,10.03,4.14,5.07,4.00,5.78,5.42,4.81,7.73,4.06,6.87,1.00
8.13,6.84,4.62,8.46,4.20,10.02,3.66,8.30,6.10,9.75,8.71,6.23,10.67,6.24,8.04,10.43,3.63,8.46,3.99,6.27,10.84,7.68,4.09,5.42,7.34,4.26,10.79,13.45,4.60,3.67,8.94,7.92,8.14,5.31,6.98,7.18,9.45,8.13,8.33,4.14,9.03,8.04,4.31,9.20,12.65,7.86,8.77,8.87,4.08,9.95,0.00
4.95,8.11,7.48,5.20,4.07,5.01,3.67,8.41,7.24,4.56,10.45,5.25,8.13,4.10,6.78,12.14,3.57,7.76,3.94,8.33,10.11,5.57,4.46,5.64,4.28,4.06,5.16,3.88,4.73,3.38,8.41,7.96,4.34,5.82,9.27,8.89,9.66,5.96,8.33,4.03,4.90,8.33,4.74,4.04,4.38,4.34,10.37,8.16,4.09,4.52,1.00
7.33,8.21,8.19,6.74,4.54,10.87,10.16,9.77,8.06,9.85,6.59,4.82,4.22,9.86,9.79,3.72,3.58,6.88,7.88,6.20,7.55,6.78,4.21,6.07,3.97,4.07,5.13,7.83,9.56,3.59,8.59,7.44,5.10,4.59,5.28,7.54,8.12,10.15,6.17,3.83,12.09,6.41,5.11,4.01,13.13,8.95,10.40,8.01,3.96,4.10,0.00
9.67,6.35,5.01,6.02,4.83,9.97,8.78,8.70,7.32,10.02,6.72,5.07,4.32,6.92,8.97,9.29,3.84,7.66,8.47,5.68,10.79,9.58,4.35,5.79,4.89,4.20,5.35,6.20,9.75,3.56,8.76,10.37,4.26,5.75,3.79,7.33,8.65,9.58,3.80,3.96,10.45,5.23,5.33,4.55,12.83,11.20,9.84,10.36,3.96,9.68,0.00
5.86,6.39,6.60,9.16,3.96,12.08,8.07,9.31,6.84,3.85,5.69,4.49,9.30,4.31,10.51,3.59,3.42,6.23,3.64,6.06,10.94,6.71,3.84,5.46,9.17,3.88,6.73,8.70,11.30,3.81,10.03,10.58,4.64,4.84,6.12,5.75,12.21,4.63,3.70,4.12,12.87,4.77,4.74,6.92,4.57,9.00,10.89,7.40,3.82,9.51,0.00
5.99,8.32,7.67,5.88,3.88,4.43,3.50,8.83,4.28,9.82,10.00,4.76,4.56,3.78,9.49,4.23,3.27,8.96,4.03,5.99,10.44,6.91,4.45,5.25,4.08,4.10,5.04,3.39,5.00,3.46,9.37,4.90,4.39,7.25,4.02,8.10,4.45,4.80,3.87,3.91,5.08,8.25,4.72,4.00,4.67,4.30,8.29,12.31,3.89,4.03,1.00
6.10,8.20,8.05,6.04,3.69,4.40,3.55,6.43,4.06,3.70,3.83,5.93,4.11,4.24,3.91,4.37,3.57,8.28,4.33,9.67,10.40,5.80,4.27,14.62,3.81,4.35,4.98,3.43,4.81,3.80,8.61,5.36,4.20,6.86,7.09,4.32,8.57,5.84,3.79,4.00,5.88,5.73,4.98,4.08,9.15,6.20,4.18,10.62,3.74,7.72,1.00
9.50,7.43,7.13,6.41,3.94,5.01,3.50,8.93,8.32,3.75,5.52,5.35,11.45,4.31,3.73,3.59,3.52,8.26,3.85,7.31,11.59,9.63,3.88,6.01,11.05,10.64,5.26,3.75,4.75,3.75,10.51,11.49,4.21,4.83,5.33,7.85,10.28,4.16,3.87,6.01,11.43,5.26,5.19,4.12,4.56,4.23,11.19,9.16,3.83,10.07,0.00
4.47,3.58,3.68,4.72,3.89,5.80,3.75,5.21,5.42,7.83,3.70,5.39,6.52,3.98,6.86,3.81,3.45,7.72,3.70,8.36,10.55,5.67,10.97,6.01,3.67,3.81,4.83,3.38,5.53,4.06,6.46,5.32,10.68,11.88,4.19,7.83,7.72,4.05,4.13,5.57,11.96,4.56,4.49,3.91,6.68,8.04,7.05,11.82,6.12,10.16,1.00
