1039_at,140883_at,221120_at,283554_at,3977_at,4241_at,55277_at,55752_at,85358_at,9732_at,label
9.76,5.01,8.50,6.49,7.14,4.80,8.01,9.66,5.24,7.44,0.00
9.42,6.16,8.90,5.50,3.93,6.05,6.13,10.80,3.98,5.37,1.00
9.85,5.87,9.04,3.59,4.37,7.44,6.66,9.07,5.70,8.85,1.00
10.08,4.87,8.68,5.33,6.07,8.36,5.72,9.39,5.13,11.06,1.00
9.76,6.95,8.52,5.70,6.64,5.14,7.30,8.52,4.40,5.49,0.00
9.28,5.94,8.83,3.83,5.15,8.20,7.22,7.57,6.12,3.94,1.00
8.69,4.56,9.35,3.74,5.64,8.52,5.66,8.90,4.61,9.11,1.00
10.35,6.60,8.31,3.65,5.58,6.33,7.36,8.62,4.83,8.69,1.00
9.37,7.37,8.77,4.52,3.92,6.28,5.67,7.23,4.71,5.18,1.00
9.33,7.50,8.36,5.89,4.37,5.95,5.14,9.65,7.25,6.45,1.00
8.57,5.60,9.68,3.82,5.25,8.55,6.40,8.29,5.90,9.74,1.00
9.51,6.09,9.16,3.47,3.70,6.18,6.78,9.07,4.81,5.29,0.00
10.19,4.83,8.49,4.30,7.30,7.12,6.47,8.99,6.77,8.96,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.99,4.87,4.22,4.77,4.82,5.50,7.64,10.05,5.90,6.08,0.00
8.98,5.79,8.12,6.45,5.78,5.95,6.38,8.93,5.35,7.01,1.00
9.16,4.66,9.37,3.70,5.20,6.09,7.22,8.03,5.64,7.90,0.00
8.70,4.90,8.89,5.89,4.22,7.40,7.59,8.50,5.92,6.99,0.00
8.96,5.93,7.37,4.53,4.39,9.97,6.81,9.19,5.01,5.47,1.00
9.58,6.49,9.32,4.31,4.85,5.92,6.17,9.23,5.99,7.94,0.00
8.94,6.37,8.88,3.89,3.88,5.89,8.46,7.05,5.97,4.20,0.00
8.87,5.34,8.83,4.99,8.46,9.02,6.88,7.08,6.63,7.44,1.00
8.07,6.97,9.38,3.88,4.01,5.57,6.99,9.86,9.12,4.48,1.00
8.49,5.73,9.61,3.49,3.95,8.82,7.47,8.35,5.04,8.63,1.00
8.87,5.60,9.50,4.13,3.83,6.46,7.68,8.45,4.87,4.56,1.00
9.85,7.46,8.64,3.54,3.81,6.36,6.72,10.09,5.02,7.70,1.00
8.73,9.15,9.29,5.34,6.61,8.67,6.52,8.78,4.82,8.91,1.00
9.72,7.71,9.34,3.67,5.39,7.59,6.61,7.72,6.09,6.89,0.00
8.55,6.14,8.63,4.64,6.37,7.85,7.12,9.53,5.65,6.61,1.00
8.81,7.30,7.91,3.58,4.02,4.93,6.24,8.00,4.65,7.54,1.00
9.26,4.79,9.23,5.42,7.86,6.75,5.98,8.29,5.08,5.96,0.00
8.87,7.20,8.15,3.72,4.06,5.44,6.96,8.71,4.67,4.16,1.00
9.22,7.25,8.79,6.78,6.89,7.31,6.26,8.63,5.69,7.22,1.00
9.79,4.79,8.87,4.84,4.86,6.80,6.26,9.22,7.39,7.70,0.00
9.70,7.43,9.20,4.40,4.08,5.07,7.28,5.24,4.99,5.19,0.00
7.77,7.57,9.52,3.37,3.93,6.26,5.15,9.20,4.38,5.60,1.00
9.72,8.04,7.87,7.46,8.68,6.63,5.63,9.65,6.88,4.15,0.00
10.09,6.91,7.77,4.01,4.92,6.52,7.03,8.74,5.20,4.76,0.00
8.78,7.36,8.83,3.75,3.97,5.73,4.82,10.08,5.16,7.69,1.00
9.96,8.30,9.30,3.72,4.97,6.79,5.03,9.79,5.32,7.78,1.00
8.87,7.77,8.70,7.38,4.10,6.08,5.69,9.10,7.15,4.22,1.00
9.10,7.46,9.19,6.43,7.30,5.66,6.36,8.58,5.84,7.41,0.00
8.71,6.92,9.27,5.32,7.20,5.09,5.72,9.94,3.92,6.01,1.00
11.53,6.86,6.49,5.39,6.55,4.91,7.83,7.64,5.01,9.11,0.00
9.18,6.49,9.46,4.17,4.71,4.93,7.22,9.00,4.25,9.86,1.00
9.36,6.61,8.70,6.00,6.68,6.66,9.06,8.49,6.17,5.72,0.00
9.92,6.99,9.20,6.80,6.36,5.76,5.15,9.15,7.48,8.67,0.00
10.18,5.97,8.71,4.65,5.89,6.14,6.89,8.10,8.06,8.30,0.00
8.94,7.04,4.96,5.18,5.72,7.07,6.24,8.72,7.54,9.14,0.00
8.71,6.66,7.81,3.29,4.80,6.73,6.38,8.02,5.60,4.65,1.00
10.88,6.14,9.88,3.60,4.04,6.72,7.76,7.90,4.45,6.73,0.00
10.69,4.76,6.69,4.95,6.66,7.87,7.16,7.77,4.06,4.14,0.00
10.36,5.69,8.23,5.14,4.30,6.80,5.75,8.93,5.19,3.96,0.00
9.13,6.75,8.17,6.05,5.12,7.31,7.83,9.26,6.29,5.28,0.00
10.20,6.89,9.20,5.02,3.90,5.86,5.39,9.00,5.43,4.25,1.00
9.73,6.87,8.35,4.14,5.21,5.88,7.22,8.72,6.11,11.38,0.00
9.96,7.08,4.40,4.86,4.04,5.63,6.97,9.52,5.95,9.24,1.00
9.27,7.39,8.59,4.47,4.25,6.41,5.31,8.88,5.04,6.69,1.00
10.10,6.89,8.79,4.35,4.12,7.21,6.59,8.89,5.70,5.26,1.00
8.82,4.83,8.92,4.34,5.02,8.56,6.92,9.37,5.31,10.60,1.00
9.08,7.15,8.88,3.53,6.29,6.18,6.20,8.22,6.38,4.36,0.00
9.33,5.35,8.77,6.25,9.20,9.22,5.89,7.24,5.15,11.06,1.00
9.07,4.26,9.28,6.18,5.13,8.26,6.33,8.29,4.43,9.88,1.00
9.88,4.67,8.92,4.27,5.40,4.91,6.20,9.80,5.00,9.26,1.00
9.75,5.74,9.09,4.55,6.06,5.11,6.83,10.59,5.23,8.48,1.00
8.93,8.51,8.95,5.63,4.04,7.93,6.92,7.61,7.27,9.64,0.00
8.61,7.33,8.45,4.29,5.72,9.48,5.65,8.79,6.19,8.25,1.00
8.92,4.67,9.07,4.19,4.38,5.39,7.88,7.68,5.06,4.78,0.00
8.81,4.84,9.22,3.65,4.77,5.44,7.41,9.01,4.41,4.81,1.00
8.67,4.97,8.70,3.95,6.89,10.58,5.20,8.38,7.03,9.00,1.00
9.31,4.87,9.41,4.38,3.96,7.25,6.69,8.83,4.02,5.73,1.00
9.00,5.94,9.18,4.47,6.63,7.40,8.40,8.53,6.02,9.72,1.00
9.04,7.64,9.09,3.58,3.70,9.34,7.25,9.17,5.77,8.33,1.00
9.20,7.56,8.74,6.24,5.41,6.61,6.33,9.12,6.30,5.63,0.00
9.98,4.96,9.66,4.98,7.77,7.69,6.01,7.34,5.11,8.99,1.00
9.79,4.26,9.76,5.09,5.50,5.36,6.93,8.28,6.54,5.72,0.00
9.06,4.68,9.21,5.12,7.25,5.29,5.50,8.38,6.12,9.65,0.00
9.94,4.80,6.47,4.50,6.12,5.89,6.58,7.73,6.87,8.64,0.00
9.87,8.06,4.45,6.79,6.47,5.55,5.79,10.32,7.39,7.08,0.00
9.05,6.64,7.23,4.51,4.16,5.48,5.17,7.25,5.16,5.45,0.00
7.95,4.32,9.05,5.72,6.02,6.45,6.58,9.64,4.14,5.40,1.00
10.57,8.10,10.33,6.12,4.81,6.58,6.39,8.47,6.22,7.58,1.00
9.60,6.00,9.41,3.47,3.74,6.88,6.22,7.08,4.78,6.21,1.00
9.38,8.10,9.43,3.70,4.97,9.29,6.06,8.21,5.87,8.29,1.00
10.20,6.50,8.56,6.56,5.39,5.91,6.54,7.71,5.73,7.48,1.00
8.91,7.85,4.61,3.62,3.99,5.44,5.49,7.56,4.85,4.49,1.00
8.50,5.60,8.75,5.51,3.87,9.81,6.30,9.73,4.85,4.91,1.00
9.66,6.77,4.74,4.31,6.91,5.82,5.91,8.42,6.81,5.31,0.00
9.29,7.85,9.46,3.84,5.95,7.46,5.67,9.71,8.55,4.79,1.00
9.41,6.69,9.50,3.47,4.13,6.45,6.30,9.19,5.13,8.19,1.00
8.83,7.79,8.29,6.74,7.09,5.66,5.87,9.49,7.52,7.73,0.00
