10363_at,1522_at,3400_at,4781_at,54625_at,5530_at,55752_at,8404_at,868_at,9732_at,label
8.06,6.59,5.39,6.25,6.23,10.10,9.66,4.30,9.97,7.44,0.00
9.29,4.33,4.97,4.61,8.41,10.76,10.80,4.55,8.69,5.37,1.00
7.71,7.93,10.16,8.90,7.12,10.23,9.07,4.24,6.52,8.85,1.00
8.87,10.24,5.48,9.97,6.75,10.78,9.39,4.33,8.69,11.06,1.00
7.89,6.46,4.64,8.29,9.74,10.43,8.52,5.35,10.54,5.49,0.00
7.66,4.01,6.50,9.85,7.11,4.35,7.57,4.65,4.94,3.94,1.00
7.76,10.22,5.81,8.02,5.84,9.18,8.90,4.46,7.67,9.11,1.00
7.43,6.47,4.46,8.80,7.31,10.29,8.62,4.26,6.96,8.69,1.00
9.04,3.77,4.56,4.02,8.93,9.56,7.23,4.45,7.26,5.18,1.00
8.02,3.95,10.74,8.64,6.21,4.82,9.65,4.52,4.43,6.45,1.00
9.03,11.00,4.55,4.57,8.78,10.49,8.29,5.44,9.23,9.74,1.00
8.23,6.65,4.54,3.93,7.83,8.87,9.07,4.46,10.24,5.29,0.00
8.80,9.91,5.30,8.90,7.10,10.52,8.99,4.92,9.39,8.96,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.04,5.75,8.80,8.61,5.74,11.70,10.05,4.48,8.24,6.08,0.00
7.06,8.18,9.80,8.83,5.90,9.53,8.93,4.51,7.42,7.01,1.00
8.15,8.52,4.65,6.56,7.56,10.48,8.03,5.50,8.34,7.90,0.00
7.43,7.60,4.79,4.07,6.40,10.77,8.50,4.67,9.19,6.99,0.00
6.74,10.87,9.77,7.64,6.78,10.19,9.19,4.67,7.60,5.47,1.00
7.45,7.68,5.12,7.34,5.90,11.18,9.23,4.51,9.15,7.94,0.00
7.57,6.51,7.56,7.43,6.72,9.34,7.05,4.69,7.62,4.20,0.00
7.66,8.28,12.15,5.10,4.99,7.95,7.08,4.25,7.21,7.44,1.00
9.19,7.59,4.38,6.03,7.01,11.57,9.86,4.22,7.23,4.48,1.00
7.54,8.61,4.97,6.46,8.02,10.40,8.35,4.43,6.99,8.63,1.00
6.88,8.00,4.57,5.01,7.32,9.93,8.45,4.24,6.48,4.56,1.00
9.28,8.44,4.72,7.17,5.56,10.53,10.09,4.51,8.72,7.70,1.00
8.04,8.93,6.86,5.52,4.86,9.86,8.78,4.58,7.93,8.91,1.00
8.91,3.82,8.44,7.40,6.24,9.31,7.72,4.78,9.56,6.89,0.00
8.24,10.61,6.52,7.40,6.99,9.69,9.53,4.33,8.88,6.61,1.00
8.18,8.33,4.64,4.81,8.12,10.10,8.00,4.89,11.11,7.54,1.00
7.84,6.90,8.57,7.85,8.02,10.36,8.29,6.37,7.02,5.96,0.00
9.37,8.87,4.64,4.97,6.90,9.84,8.71,4.49,10.02,4.16,1.00
7.76,8.58,4.65,7.77,6.34,9.74,8.63,4.37,6.21,7.22,1.00
