100127983_at,10363_at,1522_at,2294_at,23312_at,25928_at,283554_at,3400_at,4781_at,5055_at,51760_at,51765_at,54625_at,5530_at,55752_at,5577_at,629_at,8404_at,868_at,9732_at,label
8.51,8.06,6.59,6.06,8.74,4.23,6.49,5.39,6.25,5.64,4.19,7.82,6.23,10.10,9.66,6.29,4.64,4.30,9.97,7.44,0.00
8.91,9.29,4.33,4.26,9.21,4.41,5.50,4.97,4.61,3.65,4.19,10.04,8.41,10.76,10.80,4.73,4.26,4.55,8.69,5.37,1.00
9.40,7.71,7.93,4.20,7.90,4.25,3.59,10.16,8.90,3.87,3.88,8.66,7.12,10.23,9.07,7.35,6.18,4.24,6.52,8.85,1.00
8.91,8.87,10.24,4.68,8.20,3.96,5.33,5.48,9.97,8.71,4.15,3.35,6.75,10.78,9.39,10.15,4.19,4.33,8.69,11.06,1.00
9.02,7.89,6.46,4.44,9.06,3.94,5.70,4.64,8.29,3.47,5.13,8.15,9.74,10.43,8.52,8.23,11.35,5.35,10.54,5.49,0.00
4.40,7.66,4.01,4.04,8.70,9.02,3.83,6.50,9.85,4.05,4.32,7.80,7.11,4.35,7.57,4.37,4.66,4.65,4.94,3.94,1.00
8.57,7.76,10.22,6.04,8.17,4.25,3.74,5.81,8.02,3.66,4.18,7.59,5.84,9.18,8.90,10.01,4.34,4.46,7.67,9.11,1.00
8.19,7.43,6.47,4.24,8.94,4.45,3.65,4.46,8.80,3.53,3.98,8.90,7.31,10.29,8.62,8.12,6.76,4.26,6.96,8.69,1.00
7.52,9.04,3.77,4.00,9.72,4.27,4.52,4.56,4.02,3.45,4.07,10.74,8.93,9.56,7.23,7.57,4.67,4.45,7.26,5.18,1.00
4.35,8.02,3.95,3.99,9.90,7.87,5.89,10.74,8.64,4.54,5.64,7.88,6.21,4.82,9.65,8.67,4.41,4.52,4.43,6.45,1.00
7.54,9.03,11.00,3.94,9.72,4.18,3.82,4.55,4.57,3.82,4.62,3.59,8.78,10.49,8.29,6.99,10.44,5.44,9.23,9.74,1.00
9.26,8.23,6.65,3.93,8.91,4.20,3.47,4.54,3.93,3.98,5.54,10.59,7.83,8.87,9.07,3.70,4.61,4.46,10.24,5.29,0.00
9.53,8.80,9.91,6.25,9.35,4.43,4.30,5.30,8.90,3.79,4.38,8.80,7.10,10.52,8.99,8.26,6.68,4.92,9.39,8.96,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.34,7.04,5.75,3.93,8.35,4.11,4.77,8.80,8.61,3.58,7.61,7.97,5.74,11.70,10.05,6.42,4.28,4.48,8.24,6.08,0.00
9.26,7.06,8.18,5.50,7.88,4.15,6.45,9.80,8.83,3.99,4.94,4.52,5.90,9.53,8.93,7.66,6.96,4.51,7.42,7.01,1.00
5.01,8.15,8.52,3.94,7.36,4.66,3.70,4.65,6.56,12.32,4.72,9.32,7.56,10.48,8.03,4.27,8.33,5.50,8.34,7.90,0.00
4.37,7.43,7.60,4.26,8.13,4.15,5.89,4.79,4.07,6.88,6.57,7.58,6.40,10.77,8.50,5.77,4.55,4.67,9.19,6.99,0.00
8.90,6.74,10.87,4.20,7.89,4.83,4.53,9.77,7.64,8.61,4.27,9.35,6.78,10.19,9.19,10.38,6.84,4.67,7.60,5.47,1.00
5.03,7.45,7.68,9.55,10.49,8.01,4.31,5.12,7.34,3.72,5.16,8.48,5.90,11.18,9.23,4.62,4.97,4.51,9.15,7.94,0.00
4.35,7.57,6.51,4.12,8.21,4.10,3.89,7.56,7.43,3.72,4.79,9.59,6.72,9.34,7.05,4.20,5.25,4.69,7.62,4.20,0.00
9.45,7.66,8.28,6.94,8.64,4.19,4.99,12.15,5.10,7.99,3.99,8.17,4.99,7.95,7.08,9.94,4.45,4.25,7.21,7.44,1.00
8.46,9.19,7.59,3.77,7.69,10.56,3.88,4.38,6.03,3.33,4.05,10.32,7.01,11.57,9.86,10.80,4.16,4.22,7.23,4.48,1.00
4.32,7.54,8.61,4.12,9.16,4.17,3.49,4.97,6.46,3.50,4.10,8.84,8.02,10.40,8.35,3.88,4.99,4.43,6.99,8.63,1.00
4.81,6.88,8.00,3.91,8.67,4.19,4.13,4.57,5.01,3.63,4.25,8.73,7.32,9.93,8.45,3.55,4.62,4.24,6.48,4.56,1.00
8.14,9.28,8.44,4.11,9.71,6.42,3.54,4.72,7.17,3.96,4.23,10.20,5.56,10.53,10.09,8.25,4.17,4.51,8.72,7.70,1.00
8.10,8.04,8.93,4.41,8.80,4.31,5.34,6.86,5.52,8.18,3.85,8.34,4.86,9.86,8.78,10.10,4.47,4.58,7.93,8.91,1.00
4.60,8.91,3.82,4.46,9.87,4.82,3.67,8.44,7.40,4.25,3.89,6.93,6.24,9.31,7.72,8.76,4.76,4.78,9.56,6.89,0.00
8.17,8.24,10.61,4.54,9.10,4.90,4.64,6.52,7.40,3.59,4.21,8.91,6.99,9.69,9.53,6.11,5.20,4.33,8.88,6.61,1.00
8.85,8.18,8.33,3.87,9.75,4.03,3.58,4.64,4.81,7.89,4.08,9.74,8.12,10.10,8.00,9.20,9.49,4.89,11.11,7.54,1.00
5.37,7.84,6.90,3.90,8.39,6.88,5.42,8.57,7.85,5.32,5.20,9.14,8.02,10.36,8.29,5.83,9.63,6.37,7.02,5.96,0.00
4.05,9.37,8.87,4.25,9.26,4.70,3.72,4.64,4.97,3.76,7.93,9.62,6.90,9.84,8.71,13.33,4.72,4.49,10.02,4.16,1.00
7.23,7.76,8.58,4.14,9.20,4.15,6.78,4.65,7.77,3.62,5.42,8.70,6.34,9.74,8.63,8.61,4.56,4.37,6.21,7.22,1.00
4.76,6.60,8.30,8.30,4.11,4.28,4.84,6.11,9.54,4.89,7.38,8.93,6.01,12.07,9.22,3.62,7.09,4.43,6.98,7.70,0.00
4.27,8.65,7.70,4.16,8.00,4.33,4.40,4.79,4.20,3.89,7.31,9.71,9.34,10.53,5.24,12.19,4.78,4.61,10.59,5.19,0.00
