100127983_at,100131187_at,10363_at,10457_at,11082_at,140883_at,1522_at,1528_at,2040_at,2294_at,23189_at,23312_at,246777_at,25928_at,2719_at,283554_at,286319_at,3400_at,340542_at,4781_at,5055_at,51760_at,51765_at,5266_at,5325_at,54625_at,5530_at,5570_at,55752_at,5577_at,629_at,6519_at,7504_at,79918_at,8404_at,8406_at,84525_at,868_at,9245_at,9732_at,label
8.51,3.57,8.06,6.79,4.26,5.01,6.59,10.49,8.56,6.06,8.57,8.74,3.92,4.23,3.98,6.49,10.43,5.39,8.36,6.25,5.64,4.19,7.82,4.21,3.57,6.23,10.10,3.87,9.66,6.29,4.64,5.29,3.49,6.87,4.30,11.27,4.16,9.97,3.89,7.44,0.00
8.91,7.46,9.29,3.77,3.68,6.16,4.33,8.45,8.93,4.26,10.58,9.21,3.76,4.41,3.78,5.50,10.55,4.97,4.80,4.61,3.65,4.19,10.04,4.20,3.77,8.41,10.76,3.49,10.80,4.73,4.26,4.65,6.37,7.60,4.55,4.36,3.94,8.69,4.10,5.37,1.00
9.40,8.70,7.71,4.29,3.52,5.87,7.93,10.37,9.15,4.20,9.03,7.90,3.55,4.25,3.82,3.59,10.72,10.16,5.26,8.90,3.87,3.88,8.66,4.11,7.80,7.12,10.23,10.36,9.07,7.35,6.18,10.94,3.68,7.89,4.24,5.23,4.09,6.52,8.08,8.85,1.00
8.91,10.30,8.87,3.89,9.24,4.87,10.24,9.81,8.90,4.68,8.43,8.20,3.58,3.96,4.10,5.33,9.93,5.48,8.11,9.97,8.71,4.15,3.35,4.20,3.35,6.75,10.78,3.50,9.39,10.15,4.19,4.80,4.29,6.91,4.33,12.84,4.00,8.69,4.11,11.06,1.00
9.02,3.46,7.89,11.59,3.35,6.95,6.46,10.23,8.32,4.44,5.76,9.06,3.65,3.94,3.78,5.70,8.26,4.64,8.12,8.29,3.47,5.13,8.15,4.24,9.52,9.74,10.43,6.12,8.52,8.23,11.35,4.75,5.76,8.33,5.35,11.06,4.91,10.54,3.92,5.49,0.00
4.40,4.26,7.66,6.53,3.69,5.94,4.01,8.93,11.08,4.04,10.79,8.70,3.84,9.02,3.83,3.83,4.64,6.50,5.43,9.85,4.05,4.32,7.80,3.96,8.11,7.11,4.35,3.69,7.57,4.37,4.66,5.17,3.71,4.59,4.65,5.38,4.13,4.94,3.86,3.94,1.00
8.57,4.34,7.76,9.74,4.03,4.56,10.22,9.03,10.85,6.04,9.20,8.17,8.81,4.25,3.85,3.74,10.10,5.81,5.06,8.02,3.66,4.18,7.59,4.01,4.83,5.84,9.18,3.50,8.90,10.01,4.34,4.93,3.74,8.98,4.46,12.24,3.90,7.67,3.93,9.11,1.00
8.19,9.40,7.43,5.99,3.71,6.60,6.47,10.78,9.49,4.24,8.75,8.94,3.61,4.45,3.67,3.65,9.68,4.46,5.24,8.80,3.53,3.98,8.90,4.11,3.56,7.31,10.29,3.53,8.62,8.12,6.76,8.99,4.60,8.07,4.26,10.82,4.18,6.96,8.33,8.69,1.00
7.52,9.85,9.04,4.58,3.61,7.37,3.77,4.13,4.43,4.00,3.73,9.72,3.72,4.27,3.94,4.52,5.03,4.56,5.01,4.02,3.45,4.07,10.74,3.99,3.42,8.93,9.56,3.70,7.23,7.57,4.67,4.38,3.74,4.43,4.45,4.12,3.99,7.26,4.24,5.18,1.00
4.35,3.38,8.02,4.05,3.68,7.50,3.95,9.99,6.37,3.99,8.47,9.90,3.45,7.87,10.21,5.89,8.63,10.74,5.07,8.64,4.54,5.64,7.88,4.11,6.44,6.21,4.82,3.60,9.65,8.67,4.41,4.76,3.66,7.53,4.52,4.43,4.19,4.43,4.34,6.45,1.00
7.54,8.93,9.03,5.24,7.96,5.60,11.00,8.57,6.88,3.94,5.12,9.72,3.27,4.18,3.99,3.82,9.54,4.55,7.54,4.57,3.82,4.62,3.59,5.40,4.86,8.78,10.49,3.67,8.29,6.99,10.44,4.25,4.03,6.20,5.44,12.57,4.20,9.23,4.48,9.74,1.00
9.26,9.60,8.23,6.54,3.66,6.09,6.65,11.18,8.37,3.93,3.65,8.91,3.81,4.20,3.70,3.47,5.88,4.54,4.98,3.93,3.98,5.54,10.59,4.38,6.72,7.83,8.87,3.58,9.07,3.70,4.61,4.95,3.45,8.09,4.46,8.21,6.95,10.24,4.40,5.29,0.00
9.53,3.73,8.80,6.43,3.68,4.83,9.91,9.57,9.70,6.25,10.13,9.35,8.16,4.43,4.16,4.30,8.79,5.30,4.60,8.90,3.79,4.38,8.80,4.17,8.55,7.10,10.52,6.02,8.99,8.26,6.68,4.12,3.81,7.19,4.92,12.38,8.09,9.39,4.07,8.96,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.34,11.76,7.04,10.01,3.68,4.87,5.75,11.13,10.18,3.93,5.57,8.35,3.52,4.11,4.15,4.77,8.80,8.80,9.16,8.61,3.58,7.61,7.97,6.24,3.47,5.74,11.70,8.65,10.05,6.42,4.28,5.32,3.88,9.04,4.48,5.40,7.50,8.24,4.24,6.08,0.00
9.26,9.06,7.06,4.47,3.78,5.79,8.18,9.21,10.50,5.50,9.50,7.88,3.60,4.15,3.63,6.45,10.86,9.80,5.11,8.83,3.99,4.94,4.52,4.67,10.03,5.90,9.53,3.64,8.93,7.66,6.96,4.45,3.77,7.66,4.51,6.72,7.52,7.42,4.25,7.01,1.00
5.01,9.98,8.15,4.55,5.13,4.66,8.52,10.31,11.65,3.94,6.90,7.36,3.43,4.66,5.61,3.70,9.35,4.65,9.23,6.56,12.32,4.72,9.32,12.47,5.51,7.56,10.48,7.13,8.03,4.27,8.33,4.59,6.13,7.26,5.50,8.16,5.95,8.34,6.47,7.90,0.00
4.37,10.23,7.43,6.58,3.95,4.90,7.60,9.70,8.00,4.26,3.93,8.13,3.74,4.15,3.94,5.89,8.86,4.79,9.74,4.07,6.88,6.57,7.58,8.73,3.52,6.40,10.77,3.51,8.50,5.77,4.55,5.44,7.73,8.65,4.67,4.27,4.07,9.19,4.25,6.99,0.00
8.90,10.44,6.74,9.59,3.65,5.93,10.87,10.26,9.06,4.20,8.27,7.89,9.66,4.83,3.62,4.53,9.93,9.77,4.92,7.64,8.61,4.27,9.35,7.62,3.43,6.78,10.19,8.99,9.19,10.38,6.84,4.14,8.28,7.83,4.67,10.61,4.26,7.60,4.78,5.47,1.00
5.03,8.53,7.45,3.84,3.68,6.49,7.68,9.29,7.68,9.55,7.86,10.49,3.94,8.01,3.67,4.31,8.86,5.12,5.41,7.34,3.72,5.16,8.48,4.20,6.12,5.90,11.18,5.59,9.23,4.62,4.97,5.82,3.99,8.35,4.51,11.22,4.03,9.15,4.38,7.94,0.00
4.35,10.31,7.57,4.15,4.04,6.37,6.51,12.05,8.07,4.12,8.47,8.21,3.63,4.10,6.47,3.89,8.80,7.56,5.04,7.43,3.72,4.79,9.59,4.13,9.04,6.72,9.34,9.40,7.05,4.20,5.25,9.42,8.57,9.44,4.69,4.66,3.79,7.62,5.23,4.20,0.00
9.45,3.60,7.66,4.10,3.66,5.34,8.28,10.59,5.86,6.94,9.49,8.64,3.58,4.19,3.96,4.99,9.88,12.15,5.36,5.10,7.99,3.99,8.17,4.13,6.20,4.99,7.95,6.46,7.08,9.94,4.45,4.55,3.91,4.16,4.25,7.79,3.95,7.21,4.17,7.44,1.00
8.46,5.97,9.19,4.80,3.92,6.97,7.59,9.56,11.23,3.77,5.72,7.69,3.64,10.56,4.00,3.88,10.49,4.38,4.58,6.03,3.33,4.05,10.32,4.05,9.90,7.01,11.57,3.67,9.86,10.80,4.16,4.02,10.78,7.85,4.22,4.14,3.74,7.23,3.91,4.48,1.00
4.32,10.94,7.54,4.47,3.57,5.73,8.61,11.03,8.33,4.12,9.41,9.16,3.68,4.17,4.03,3.49,9.44,4.97,6.84,6.46,3.50,4.10,8.84,4.12,3.66,8.02,10.40,4.62,8.35,3.88,4.99,4.60,4.36,7.90,4.43,9.35,3.91,6.99,7.67,8.63,1.00
4.81,10.72,6.88,3.91,3.82,5.60,8.00,11.11,7.48,3.91,8.89,8.67,3.65,4.19,5.02,4.13,9.17,4.57,6.03,5.01,3.63,4.25,8.73,4.48,4.17,7.32,9.93,5.33,8.45,3.55,4.62,5.65,4.19,8.12,4.24,3.72,4.11,6.48,9.97,4.56,1.00
8.14,3.86,9.28,6.50,3.71,7.46,8.44,10.69,8.59,4.11,9.06,9.71,3.85,6.42,7.26,3.54,9.37,4.72,5.18,7.17,3.96,4.23,10.20,4.06,10.09,5.56,10.53,3.68,10.09,8.25,4.17,4.65,9.59,9.07,4.51,6.24,5.77,8.72,4.30,7.70,1.00
8.10,3.55,8.04,12.57,3.76,9.15,8.93,10.03,11.41,4.41,10.95,8.80,3.73,4.31,4.27,5.34,9.62,6.86,4.48,5.52,8.18,3.85,8.34,3.99,6.90,4.86,9.86,3.60,8.78,10.10,4.47,5.15,3.92,7.61,4.58,13.02,4.13,7.93,4.79,8.91,1.00
4.60,3.68,8.91,13.46,3.53,7.71,3.82,9.27,9.97,4.46,9.08,9.87,8.81,4.82,3.97,3.67,9.39,8.44,4.83,7.40,4.25,3.89,6.93,4.34,3.67,6.24,9.31,4.99,7.72,8.76,4.76,4.97,3.18,7.88,4.78,12.25,4.41,9.56,4.47,6.89,0.00
8.17,9.52,8.24,8.49,4.33,6.14,10.61,8.21,10.37,4.54,9.35,9.10,3.64,4.90,3.77,4.64,4.29,6.52,5.19,7.40,3.59,4.21,8.91,4.02,6.64,6.99,9.69,3.44,9.53,6.11,5.20,4.52,3.90,6.23,4.33,12.69,6.45,8.88,4.18,6.61,1.00
