221895_at,29015_at,340061_at,440498_at,54914_at,57415_at,58489_at,64781_at,7164_at,83937_at,label
9.58,8.42,7.95,3.64,8.10,5.42,7.10,9.45,4.93,4.93,1.00
8.59,8.17,5.47,3.78,7.43,5.36,8.61,10.29,4.90,4.94,1.00
6.41,5.42,4.59,9.62,7.96,10.26,6.86,8.90,12.09,8.05,0.00
4.31,6.60,5.38,8.54,9.09,11.08,7.35,8.79,12.87,4.67,1.00
7.95,10.43,7.48,8.62,8.69,9.86,11.30,9.18,7.33,6.41,0.00
4.09,5.16,4.33,7.96,9.14,9.25,8.24,8.19,4.66,4.42,1.00
6.24,10.04,8.63,3.65,9.04,3.75,3.95,8.46,5.08,5.09,1.00
8.04,4.85,8.89,8.27,8.26,7.86,9.28,8.56,8.41,7.58,1.00
7.57,8.63,6.70,8.19,9.23,4.94,7.77,8.20,11.30,6.03,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.79,9.98,4.77,4.53,7.94,4.22,8.49,9.46,4.85,4.41,0.00
8.95,9.31,5.10,3.96,8.60,10.33,4.10,7.01,5.36,4.80,0.00
6.49,9.78,6.47,8.85,9.68,10.84,9.82,8.25,11.29,6.14,0.00
6.08,9.70,8.52,9.81,8.97,10.59,8.56,8.22,6.09,5.21,0.00
7.22,8.73,8.45,9.71,8.62,10.72,10.43,6.94,9.84,4.73,0.00
8.19,8.34,6.23,5.16,8.30,10.93,7.36,10.19,7.12,5.55,0.00
4.51,4.73,9.16,10.10,9.12,3.89,9.53,6.87,11.01,4.32,0.00
5.96,10.69,9.70,3.69,3.99,8.21,3.71,8.74,5.12,4.27,1.00
4.66,5.40,7.05,8.12,8.42,4.81,10.14,9.22,9.98,4.57,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
6.91,4.97,4.39,10.17,9.06,11.06,8.82,8.10,10.62,5.85,0.00
8.13,9.55,8.97,8.82,9.88,7.13,7.42,8.26,10.32,5.04,0.00
4.69,10.31,10.91,4.53,8.17,8.70,9.58,9.00,4.83,8.45,1.00
6.63,5.88,6.95,9.22,8.95,4.87,8.88,8.81,10.26,4.31,0.00
9.34,6.98,7.22,4.25,4.95,9.05,6.30,9.36,9.08,6.10,0.00
9.63,9.65,4.66,9.48,8.24,4.20,6.09,9.55,5.46,4.52,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
6.22,10.49,4.98,9.93,8.52,4.41,10.12,3.63,10.73,5.36,0.00
9.01,9.46,4.20,3.74,10.42,5.14,5.54,8.20,5.81,5.72,0.00
8.32,10.62,8.03,9.12,7.50,3.81,4.72,8.51,4.89,10.39,1.00
6.37,11.06,10.11,8.11,9.08,4.62,5.06,8.45,5.30,4.48,1.00
6.22,5.06,7.54,7.95,8.06,10.38,8.59,9.75,10.52,4.47,0.00
4.59,5.78,4.49,6.72,8.51,4.60,7.61,9.58,5.87,6.52,1.00
4.22,5.19,7.23,8.23,8.78,10.87,4.05,9.64,11.58,4.50,1.00
4.28,5.28,6.31,9.12,9.49,11.21,4.20,8.63,5.14,4.90,1.00
7.81,8.91,5.18,3.95,8.83,11.97,8.13,8.70,5.97,5.38,0.00
5.59,8.88,7.86,3.45,3.39,11.82,7.39,8.88,5.03,6.27,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.63,6.26,8.39,8.76,8.88,10.87,9.99,8.44,8.56,5.27,0.00
4.88,8.46,7.29,7.61,10.32,9.79,10.58,5.87,9.31,5.29,0.00
6.03,9.33,8.82,9.94,9.64,10.18,9.26,7.59,9.77,4.54,0.00
5.95,5.28,7.04,10.36,9.44,4.17,8.76,8.86,10.52,4.83,1.00
6.80,8.51,8.86,8.95,8.59,9.53,8.69,7.80,11.04,4.92,0.00
7.76,5.36,4.89,9.54,9.81,4.53,9.07,9.43,4.95,4.80,1.00
4.51,10.18,8.82,7.02,10.13,4.64,8.08,9.20,5.27,4.60,1.00
7.64,7.69,6.06,8.98,8.26,10.46,8.09,9.77,5.98,5.30,1.00
7.60,8.52,6.44,3.43,9.56,3.54,8.43,8.30,9.75,4.42,0.00
8.46,8.74,8.32,8.24,9.54,11.14,8.32,9.94,8.20,5.03,0.00
7.33,9.32,7.53,5.20,8.35,10.41,8.92,9.16,9.87,8.25,0.00
9.43,5.32,7.19,5.92,9.05,9.81,7.85,9.48,9.22,5.85,0.00
8.76,8.91,8.27,4.26,7.66,10.41,9.97,9.24,6.56,4.62,0.00
8.74,8.96,8.22,6.58,8.49,9.98,8.36,8.35,7.24,5.16,0.00
8.55,10.03,6.29,9.30,8.69,11.59,9.12,10.38,6.93,5.12,0.00
8.85,11.75,7.54,6.61,9.09,11.42,8.86,9.06,5.25,6.34,0.00
6.38,5.30,8.28,7.95,9.41,9.95,8.36,9.61,11.01,4.94,1.00
7.44,8.74,8.43,4.72,9.45,10.57,7.99,9.42,8.00,6.73,0.00
5.60,5.10,4.32,8.49,8.59,4.16,9.20,7.90,10.51,4.56,0.00
4.46,8.76,4.62,8.17,8.08,5.38,5.30,7.69,5.12,4.57,1.00
6.48,6.41,4.08,4.12,8.80,11.72,7.89,10.79,5.20,4.58,0.00
9.36,8.88,6.30,8.04,3.76,4.10,8.10,7.97,7.55,4.57,1.00
7.48,6.94,5.33,9.60,9.25,11.14,6.76,8.81,7.59,4.41,0.00
6.79,9.43,7.19,8.56,9.01,5.24,8.46,8.99,7.92,5.20,0.00
7.00,4.46,3.72,8.03,8.92,4.82,7.47,10.35,4.91,6.59,1.00
6.56,7.96,6.42,9.74,4.73,8.44,7.60,8.77,11.11,5.13,0.00
7.20,8.20,4.70,7.88,8.00,4.24,7.66,8.95,4.91,4.61,1.00
4.28,9.43,7.69,3.99,10.15,3.93,8.24,9.50,4.88,8.15,1.00
8.62,7.45,8.26,4.09,9.15,11.35,8.30,8.23,10.82,6.08,0.00
4.55,9.94,9.98,4.99,8.54,10.00,10.84,8.91,5.27,6.66,0.00
6.53,8.58,8.74,3.49,9.75,9.77,5.45,9.61,5.04,4.45,1.00
4.24,10.41,10.05,9.02,8.68,3.65,6.75,8.99,4.89,5.12,1.00
5.72,6.19,8.85,4.59,9.66,5.63,6.92,9.64,5.31,4.49,1.00
4.50,4.89,6.34,8.50,9.16,9.44,10.05,7.03,9.59,4.41,0.00
4.33,5.38,7.78,7.23,10.25,10.24,4.22,10.20,9.31,5.09,1.00
8.65,5.79,6.94,7.28,9.56,4.06,8.52,9.30,7.25,10.71,1.00
7.02,5.67,7.90,3.55,9.78,9.57,8.80,9.33,8.82,8.50,1.00
5.33,5.56,6.96,7.71,8.80,10.61,10.00,8.75,11.71,4.82,0.00
5.63,9.62,10.17,7.98,9.82,4.17,7.65,8.85,5.33,7.16,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
8.54,10.85,9.06,5.72,8.17,8.16,7.40,7.83,7.98,4.43,0.00
6.33,4.94,9.48,7.60,8.61,8.37,6.98,9.33,11.20,5.09,1.00
7.95,5.11,5.10,7.78,10.40,4.03,8.60,9.07,11.01,4.33,0.00
7.45,5.42,7.21,10.11,9.06,4.46,9.31,7.08,10.96,4.29,0.00
5.78,5.45,5.71,8.75,10.50,4.08,8.14,8.17,12.38,4.34,0.00
7.07,5.69,6.31,3.77,8.92,4.42,7.40,9.26,4.62,4.36,1.00
4.55,5.54,7.78,4.57,8.96,4.78,7.89,6.33,5.22,4.62,1.00
7.81,5.49,4.73,5.52,8.94,9.99,7.11,8.29,9.92,4.54,0.00
8.83,9.26,7.65,10.36,9.18,11.31,7.90,8.62,8.20,5.69,1.00
8.40,5.42,8.13,10.98,9.71,5.56,7.90,10.03,6.00,6.87,1.00
8.52,9.74,6.26,9.32,9.18,10.76,8.05,9.02,7.38,4.77,1.00
4.83,4.65,4.52,8.08,8.35,13.17,9.19,7.79,12.61,4.44,0.00
4.62,5.32,7.15,9.56,8.86,10.49,11.28,3.98,10.81,4.82,0.00
4.83,9.95,4.10,7.75,8.56,9.20,8.24,8.69,6.08,5.80,1.00
8.55,10.56,8.87,4.31,8.37,9.95,8.58,6.75,8.86,4.56,0.00
7.91,7.82,9.02,9.02,10.40,4.01,6.49,8.75,7.04,5.11,1.00
9.41,10.22,5.10,4.30,8.13,5.12,8.41,10.14,5.05,5.80,0.00
7.97,10.39,8.29,4.25,9.30,4.73,7.37,8.64,5.30,4.90,0.00
