1906_at,217_at,221895_at,29015_at,330_at,340061_at,388507_at,440498_at,54914_at,57415_at,58489_at,64781_at,684_at,7079_at,7164_at,79686_at,8323_at,83937_at,84171_at,871_at,label
7.63,5.20,9.58,8.42,4.62,7.95,8.31,3.64,8.10,5.42,7.10,9.45,9.55,6.80,4.93,6.19,4.56,4.93,4.32,12.69,1.00
4.95,5.63,8.59,8.17,3.63,5.47,8.62,3.78,7.43,5.36,8.61,10.29,6.36,3.99,4.90,11.87,4.02,4.94,5.18,6.76,1.00
5.71,11.32,6.41,5.42,11.14,4.59,3.99,9.62,7.96,10.26,6.86,8.90,3.53,3.69,12.09,4.85,10.19,8.05,5.10,8.89,0.00
4.59,9.36,4.31,6.60,5.79,5.38,8.57,8.54,9.09,11.08,7.35,8.79,6.70,3.72,12.87,7.80,8.89,4.67,5.06,11.51,1.00
4.92,5.17,7.95,10.43,6.63,7.48,4.07,8.62,8.69,9.86,11.30,9.18,4.08,3.86,7.33,7.87,10.50,6.41,4.12,10.94,0.00
4.58,10.60,4.09,5.16,3.84,4.33,8.17,7.96,9.14,9.25,8.24,8.19,10.39,3.80,4.66,5.52,6.89,4.42,4.90,11.23,1.00
4.53,5.19,6.24,10.04,6.17,8.63,8.58,3.65,9.04,3.75,3.95,8.46,8.88,3.69,5.08,5.52,8.42,5.09,4.88,6.82,1.00
4.68,10.16,8.04,4.85,5.53,8.89,7.36,8.27,8.26,7.86,9.28,8.56,10.61,3.77,8.41,5.49,9.57,7.58,5.38,11.29,1.00
5.15,10.00,7.57,8.63,6.04,6.70,6.41,8.19,9.23,4.94,7.77,8.20,5.66,8.37,11.30,4.51,11.23,6.03,10.12,11.12,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.09,8.86,8.79,9.98,9.10,4.77,3.78,4.53,7.94,4.22,8.49,9.46,8.95,3.77,4.85,8.74,8.39,4.41,4.70,5.10,0.00
4.69,9.92,8.95,9.31,10.10,5.10,4.50,3.96,8.60,10.33,4.10,7.01,8.29,4.21,5.36,9.62,5.42,4.80,4.87,4.87,0.00
9.59,9.92,6.49,9.78,9.74,6.47,5.05,8.85,9.68,10.84,9.82,8.25,4.81,8.50,11.29,6.75,9.90,6.14,6.02,8.95,0.00
8.70,6.83,6.08,9.70,6.23,8.52,7.30,9.81,8.97,10.59,8.56,8.22,3.81,6.96,6.09,7.56,9.78,5.21,8.23,9.43,0.00
7.37,9.36,7.22,8.73,11.13,8.45,4.21,9.71,8.62,10.72,10.43,6.94,10.02,3.97,9.84,6.42,10.13,4.73,12.59,10.34,0.00
6.07,9.58,8.19,8.34,7.64,6.23,5.51,5.16,8.30,10.93,7.36,10.19,3.94,8.34,7.12,8.06,3.92,5.55,5.15,9.18,0.00
5.14,11.64,4.51,4.73,3.56,9.16,3.82,10.10,9.12,3.89,9.53,6.87,4.19,6.39,11.01,5.94,8.09,4.32,4.68,6.33,0.00
4.61,5.31,5.96,10.69,6.05,9.70,6.54,3.69,3.99,8.21,3.71,8.74,5.95,3.70,5.12,5.19,8.16,4.27,4.70,9.14,1.00
5.14,11.92,4.66,5.40,6.22,7.05,5.66,8.12,8.42,4.81,10.14,9.22,8.28,6.07,9.98,8.40,7.71,4.57,5.14,6.14,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
