121227_at,1278_at,158471_at,2620_at,285016_at,3223_at,3303_at,330_at,340061_at,375061_at,3848_at,440498_at,4753_at,51313_at,7699_at,7764_at,80183_at,9022_at,94121_at,9760_at,label
7.51,13.48,4.05,3.74,3.45,10.77,6.25,4.62,7.95,6.76,3.63,3.64,4.47,3.86,6.72,9.70,3.99,4.19,5.91,6.30,1.00
3.68,4.22,4.60,3.98,10.66,4.40,4.45,3.63,5.47,6.25,3.66,3.78,4.65,3.97,10.38,9.87,4.22,3.96,3.56,5.02,1.00
6.64,3.94,4.57,4.94,3.52,5.09,11.94,11.14,4.59,6.94,3.29,9.62,5.02,4.81,7.82,9.00,3.85,3.75,4.60,4.51,0.00
3.70,4.08,9.03,3.26,3.37,11.31,11.88,5.79,5.38,4.12,3.60,8.54,4.45,5.39,8.20,10.46,4.02,3.80,3.62,3.77,1.00
8.04,3.83,7.61,7.86,3.55,9.92,13.14,6.63,7.48,6.95,3.64,8.62,4.06,8.77,6.98,8.36,3.97,3.78,7.65,3.67,0.00
3.98,9.24,4.24,4.87,3.56,12.63,5.59,3.84,4.33,8.13,3.72,7.96,7.17,4.67,8.06,11.07,4.02,3.45,4.62,3.70,1.00
3.66,4.25,4.32,3.87,3.58,4.60,5.21,6.17,8.63,4.58,4.04,3.65,4.63,3.93,8.69,10.69,4.06,3.79,3.59,8.90,1.00
4.86,4.78,5.74,3.87,3.80,5.67,10.69,5.53,8.89,4.38,3.53,8.27,5.22,4.93,7.33,10.69,3.86,5.02,5.49,6.13,1.00
7.60,13.58,5.32,3.57,3.81,7.57,12.21,6.04,6.70,7.15,3.85,8.19,4.54,8.11,7.10,10.43,4.17,4.78,5.79,7.62,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.81,4.18,4.28,4.04,3.87,4.68,4.27,9.10,4.77,7.47,3.53,4.53,7.94,4.19,7.25,8.80,12.25,3.82,3.57,5.85,0.00
3.88,4.11,4.68,10.37,4.29,4.16,4.76,10.10,5.10,6.91,4.01,3.96,4.97,3.80,8.32,7.99,11.53,3.72,3.62,6.41,0.00
6.04,6.46,4.06,3.98,3.75,7.07,12.89,9.74,6.47,3.95,3.68,8.85,4.43,4.34,7.89,8.76,3.77,8.43,8.59,3.64,0.00
6.85,9.68,6.17,3.90,3.94,4.22,11.51,6.23,8.52,4.65,3.31,9.81,4.47,4.46,7.91,9.63,3.85,10.26,6.70,5.12,0.00
5.19,4.09,3.82,3.66,3.46,9.22,12.08,11.13,8.45,6.66,3.75,9.71,4.88,5.79,5.96,9.60,4.03,8.57,7.11,3.52,0.00
7.64,13.04,6.69,4.08,3.81,9.92,3.78,7.64,6.23,5.48,3.97,5.16,4.54,5.73,7.94,8.64,6.70,4.41,4.39,4.91,0.00
8.75,3.91,5.59,4.68,3.56,5.03,4.46,3.56,9.16,8.26,3.63,10.10,4.37,7.26,8.30,8.93,8.60,3.80,6.77,3.63,0.00
6.47,4.33,4.46,4.01,3.55,4.09,3.93,6.05,9.70,8.88,4.02,3.69,4.41,4.22,7.76,9.40,3.71,3.85,5.69,5.44,1.00
4.11,4.10,4.12,9.45,3.61,10.37,5.91,6.22,7.05,8.92,4.47,8.12,4.74,4.08,7.58,8.15,4.75,4.07,4.77,3.63,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
6.87,3.73,4.40,3.52,3.90,7.67,12.66,9.07,4.39,7.46,3.52,10.17,5.02,5.50,7.73,9.77,6.04,3.52,5.58,3.83,0.00
7.86,5.47,4.88,3.70,3.65,7.73,11.74,7.31,8.97,5.83,3.63,8.82,8.96,4.83,8.45,8.68,6.16,7.08,4.41,4.86,0.00
3.82,4.14,4.26,4.07,10.66,5.60,10.93,12.05,10.91,9.73,3.84,4.53,4.37,3.97,3.40,10.48,9.71,3.56,3.79,3.66,1.00
