121227_at,1278_at,158471_at,23312_at,2620_at,285016_at,3223_at,3303_at,330_at,340061_at,3514_at,375061_at,3848_at,388507_at,440498_at,4753_at,51313_at,55286_at,57415_at,6318_at,7699_at,7764_at,80183_at,83937_at,8531_at,871_at,9022_at,9143_at,94121_at,9760_at,label
7.51,13.48,4.05,8.74,3.74,3.45,10.77,6.25,4.62,7.95,5.49,6.76,3.63,8.31,3.64,4.47,3.86,4.12,5.42,3.75,6.72,9.70,3.99,4.93,11.60,12.69,4.19,6.45,5.91,6.30,1.00
3.68,4.22,4.60,9.21,3.98,10.66,4.40,4.45,3.63,5.47,5.64,6.25,3.66,8.62,3.78,4.65,3.97,9.73,5.36,3.70,10.38,9.87,4.22,4.94,3.90,6.76,3.96,4.99,3.56,5.02,1.00
6.64,3.94,4.57,7.90,4.94,3.52,5.09,11.94,11.14,4.59,6.07,6.94,3.29,3.99,9.62,5.02,4.81,4.40,10.26,3.90,7.82,9.00,3.85,8.05,12.01,8.89,3.75,6.59,4.60,4.51,0.00
3.70,4.08,9.03,8.70,3.26,3.37,11.31,11.88,5.79,5.38,5.46,4.12,3.60,8.57,8.54,4.45,5.39,4.18,11.08,3.47,8.20,10.46,4.02,4.67,11.43,11.51,3.80,8.30,3.62,3.77,1.00
8.04,3.83,7.61,9.08,7.86,3.55,9.92,13.14,6.63,7.48,5.44,6.95,3.64,4.07,8.62,4.06,8.77,7.25,9.86,3.37,6.98,8.36,3.97,6.41,11.70,10.94,3.78,4.81,7.65,3.67,0.00
3.98,9.24,4.24,10.13,4.87,3.56,12.63,5.59,3.84,4.33,5.31,8.13,3.72,8.17,7.96,7.17,4.67,4.15,9.25,3.63,8.06,11.07,4.02,4.42,11.88,11.23,3.45,7.55,4.62,3.70,1.00
3.66,4.25,4.32,9.72,3.87,3.58,4.60,5.21,6.17,8.63,5.25,4.58,4.04,8.58,3.65,4.63,3.93,4.23,3.75,3.73,8.69,10.69,4.06,5.09,11.40,6.82,3.79,4.63,3.59,8.90,1.00
4.86,4.78,5.74,9.72,3.87,3.80,5.67,10.69,5.53,8.89,5.15,4.38,3.53,7.36,8.27,5.22,4.93,4.89,7.86,5.27,7.33,10.69,3.86,7.58,11.95,11.29,5.02,5.68,5.49,6.13,1.00
7.60,13.58,5.32,9.35,3.57,3.81,7.57,12.21,6.04,6.70,5.70,7.15,3.85,6.41,8.19,4.54,8.11,4.22,4.94,3.80,7.10,10.43,4.17,6.03,12.53,11.12,4.78,4.36,5.79,7.62,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.81,4.18,4.28,5.66,4.04,3.87,4.68,4.27,9.10,4.77,14.33,7.47,3.53,3.78,4.53,7.94,4.19,4.29,4.22,3.73,7.25,8.80,12.25,4.41,11.67,5.10,3.82,5.70,3.57,5.85,0.00
3.88,4.11,4.68,4.77,10.37,4.29,4.16,4.76,10.10,5.10,13.84,6.91,4.01,4.50,3.96,4.97,3.80,4.12,10.33,3.85,8.32,7.99,11.53,4.80,11.35,4.87,3.72,5.64,3.62,6.41,0.00
6.04,6.46,4.06,7.89,3.98,3.75,7.07,12.89,9.74,6.47,5.87,3.95,3.68,5.05,8.85,4.43,4.34,5.92,10.84,5.72,7.89,8.76,3.77,6.14,12.14,8.95,8.43,5.21,8.59,3.64,0.00
6.85,9.68,6.17,8.35,3.90,3.94,4.22,11.51,6.23,8.52,5.45,4.65,3.31,7.30,9.81,4.47,4.46,5.83,10.59,3.80,7.91,9.63,3.85,5.21,12.40,9.43,10.26,5.40,6.70,5.12,0.00
5.19,4.09,3.82,8.26,3.66,3.46,9.22,12.08,11.13,8.45,5.37,6.66,3.75,4.21,9.71,4.88,5.79,6.55,10.72,4.03,5.96,9.60,4.03,4.73,12.54,10.34,8.57,6.33,7.11,3.52,0.00
7.64,13.04,6.69,8.45,4.08,3.81,9.92,3.78,7.64,6.23,5.79,5.48,3.97,5.51,5.16,4.54,5.73,4.17,10.93,3.57,7.94,8.64,6.70,5.55,11.51,9.18,4.41,5.64,4.39,4.91,0.00
8.75,3.91,5.59,8.21,4.68,3.56,5.03,4.46,3.56,9.16,5.69,8.26,3.63,3.82,10.10,4.37,7.26,7.23,3.89,3.72,8.30,8.93,8.60,4.32,11.62,6.33,3.80,4.42,6.77,3.63,0.00
6.47,4.33,4.46,7.69,4.01,3.55,4.09,3.93,6.05,9.70,6.04,8.88,4.02,6.54,3.69,4.41,4.22,3.96,8.21,3.55,7.76,9.40,3.71,4.27,11.74,9.14,3.85,9.59,5.69,5.44,1.00
4.11,4.10,4.12,8.67,9.45,3.61,10.37,5.91,6.22,7.05,5.89,8.92,4.47,5.66,8.12,4.74,4.08,7.25,4.81,3.98,7.58,8.15,4.75,4.57,12.04,6.14,4.07,4.21,4.77,3.63,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
6.87,3.73,4.40,9.36,3.52,3.90,7.67,12.66,9.07,4.39,5.37,7.46,3.52,3.83,10.17,5.02,5.50,6.28,11.06,6.01,7.73,9.77,6.04,5.85,12.25,8.74,3.52,7.27,5.58,3.83,0.00
7.86,5.47,4.88,8.66,3.70,3.65,7.73,11.74,7.31,8.97,5.65,5.83,3.63,6.85,8.82,8.96,4.83,4.12,7.13,3.80,8.45,8.68,6.16,5.04,11.74,8.42,7.08,6.60,4.41,4.86,0.00
3.82,4.14,4.26,9.75,4.07,10.66,5.60,10.93,12.05,10.91,5.44,9.73,3.84,3.92,4.53,4.37,3.97,3.87,8.70,8.22,3.40,10.48,9.71,8.45,12.89,7.66,3.56,4.82,3.79,3.66,1.00
9.38,8.16,4.16,8.39,3.55,4.00,7.87,12.23,10.41,6.95,5.67,5.82,3.42,3.87,9.22,5.89,6.70,9.35,4.87,3.57,7.08,8.84,3.91,4.31,12.52,11.13,4.57,5.39,5.29,6.05,0.00
8.80,14.49,7.01,9.95,3.75,3.73,9.36,5.09,4.62,7.22,5.94,7.22,3.76,6.88,4.25,4.65,7.88,4.00,9.05,3.55,7.89,10.16,4.30,6.10,11.52,12.33,4.63,4.79,5.28,5.26,0.00
4.02,4.13,4.28,9.26,3.77,4.11,5.32,7.64,7.55,4.66,5.53,6.98,3.95,4.30,9.48,4.98,4.22,4.23,4.20,3.77,7.04,9.05,11.32,4.52,3.86,5.73,3.90,7.13,3.47,7.10,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
6.87,4.10,4.00,4.11,3.93,3.40,8.11,12.97,3.96,4.98,5.29,3.78,3.44,4.27,9.93,4.67,4.90,7.47,4.41,3.63,3.87,7.28,3.91,5.36,11.68,7.80,9.67,10.40,5.94,3.69,0.00
4.11,3.85,4.24,8.00,6.63,3.74,6.62,4.01,10.64,4.20,5.63,4.48,3.54,6.71,3.74,4.89,4.17,4.12,5.14,3.92,9.01,9.43,10.97,5.72,10.58,5.07,3.78,7.52,3.71,6.16,0.00
3.73,4.39,4.35,11.84,3.80,3.65,5.21,4.31,4.27,8.03,6.01,6.55,3.53,9.06,9.12,4.61,3.89,6.46,3.81,3.85,7.81,9.48,3.99,10.39,12.63,7.30,3.94,4.17,4.86,3.94,1.00
7.00,3.94,4.32,4.36,8.24,3.66,4.81,4.33,4.58,10.11,5.65,8.78,3.44,9.44,8.11,4.55,5.51,4.16,4.62,3.69,8.13,9.23,3.90,4.48,12.43,9.42,3.79,4.90,3.68,5.67,1.00
5.85,4.00,4.07,8.20,3.79,3.94,9.32,12.72,6.21,7.54,6.04,6.47,3.92,4.13,7.95,6.49,5.18,4.41,10.38,4.32,8.17,8.71,4.15,4.47,12.88,9.30,7.65,4.83,5.30,3.54,0.00
8.70,4.11,4.09,7.87,4.33,4.11,9.34,4.51,4.76,4.49,5.96,8.68,3.60,4.50,6.72,4.42,3.77,6.78,4.60,3.92,8.05,9.63,4.58,6.52,10.94,11.66,4.00,9.15,3.75,3.69,1.00
3.97,8.11,4.16,8.84,3.71,3.51,11.24,4.47,3.32,7.23,5.41,3.96,3.84,4.16,8.23,4.82,8.69,4.02,10.87,3.82,7.87,9.73,4.10,4.50,11.85,10.28,4.23,8.60,4.48,3.84,1.00
3.80,13.58,4.35,9.35,11.22,3.68,11.32,11.19,3.58,6.31,5.76,4.16,4.02,6.90,9.12,5.14,9.83,4.22,11.21,3.76,8.20,11.19,3.86,4.90,12.01,11.71,5.52,6.83,3.77,3.60,1.00
7.11,5.68,6.14,9.53,3.52,3.63,7.70,11.79,9.32,5.18,5.55,7.22,3.59,7.83,3.95,4.49,4.92,3.74,11.97,3.61,7.80,9.64,4.11,5.38,11.67,5.45,3.54,6.44,4.60,3.75,0.00
6.37,4.17,4.15,8.76,3.47,3.59,8.94,5.15,4.53,7.86,5.45,3.93,3.65,4.74,3.45,4.53,3.69,4.01,11.82,3.37,7.71,9.40,4.06,6.27,11.21,11.04,4.00,5.67,4.05,4.49,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.30,4.11,4.14,8.96,4.05,3.41,7.26,12.37,8.14,8.39,5.35,6.50,3.73,4.39,8.76,4.57,8.69,9.25,10.87,3.58,7.84,10.30,3.81,5.27,11.55,9.29,6.49,5.27,5.97,3.45,0.00
8.40,4.08,7.16,8.51,5.84,3.94,4.91,11.55,6.36,7.29,5.54,7.62,3.66,4.14,7.61,7.06,4.06,4.76,9.79,3.64,8.31,9.38,11.89,5.29,11.43,7.63,3.90,6.61,4.45,3.74,0.00
6.38,3.89,4.12,8.66,4.27,3.51,3.92,12.10,10.72,8.82,5.53,7.01,3.76,3.86,9.94,4.32,3.88,4.21,10.18,5.45,8.12,10.05,3.86,4.54,12.22,8.91,7.49,4.74,4.61,3.58,0.00
6.54,3.77,4.27,8.84,3.98,3.66,8.86,7.13,6.02,7.04,5.67,7.04,3.95,4.47,10.36,4.33,3.97,4.36,4.17,3.78,6.87,9.09,4.02,4.83,12.13,9.31,7.69,5.26,5.11,3.84,1.00
6.22,10.51,4.06,10.05,3.45,5.53,8.69,13.07,7.85,8.86,5.67,5.23,3.51,6.25,8.95,6.00,5.57,9.04,9.53,3.93,6.85,9.75,3.90,4.92,12.65,8.99,8.22,6.35,6.94,4.40,0.00
7.57,3.98,4.03,10.13,3.46,3.73,8.82,4.33,8.72,4.89,6.08,8.09,3.94,6.15,9.54,4.58,3.86,4.05,4.53,3.52,3.99,9.70,4.00,4.80,12.36,9.22,3.48,9.55,5.42,3.58,1.00
7.52,4.46,4.34,9.55,4.86,3.72,4.53,4.16,10.34,8.82,11.79,6.60,3.88,4.43,7.02,5.19,4.07,4.10,4.64,3.75,7.27,8.77,4.15,4.60,11.70,5.46,3.75,8.68,3.85,9.18,1.00
5.16,3.82,7.77,8.62,4.50,4.99,8.99,4.19,3.64,6.06,4.93,9.83,3.48,7.68,8.98,7.79,4.06,7.20,10.46,3.43,7.59,9.69,3.82,5.30,10.40,8.13,3.17,6.10,5.87,7.95,1.00
7.80,11.04,7.25,9.19,3.49,3.68,10.95,10.98,4.76,6.44,5.30,7.20,3.76,8.52,3.43,4.95,3.79,4.01,3.54,3.69,7.74,9.35,4.46,4.42,12.06,9.27,3.67,5.98,4.79,3.54,0.00
6.96,12.80,4.45,8.18,3.63,3.87,5.04,11.27,5.70,8.32,5.35,5.71,3.63,7.98,8.24,4.38,4.74,4.01,11.14,3.47,7.88,8.55,4.18,5.03,11.61,9.96,4.81,4.82,5.67,4.57,0.00
5.90,12.18,6.96,8.47,4.29,3.34,10.19,11.88,6.85,7.53,5.91,8.88,3.90,5.16,5.20,4.95,8.05,4.46,10.41,3.56,7.33,8.64,6.71,8.25,11.26,10.69,3.83,6.62,5.29,3.83,0.00
6.76,13.90,8.50,8.64,3.89,6.00,9.53,12.53,8.85,7.19,5.57,5.62,3.49,8.45,5.92,4.42,5.79,4.25,9.81,3.81,6.23,9.92,4.02,5.85,10.86,12.55,5.51,7.97,3.57,5.16,0.00
6.98,3.86,6.18,8.25,3.67,3.47,10.56,11.98,5.44,8.27,5.55,8.51,3.27,4.01,4.26,5.54,4.16,6.29,10.41,3.61,7.31,9.43,4.46,4.62,11.35,10.45,3.87,6.82,5.09,3.60,0.00
8.54,13.70,6.75,8.37,3.66,3.80,12.41,12.61,5.19,8.22,5.24,4.89,3.46,8.60,6.58,4.37,5.36,4.38,9.98,4.04,7.27,9.07,4.21,5.16,11.78,10.51,7.54,5.30,5.25,4.38,0.00
