10351_at,121227_at,123_at,1278_at,132299_at,147495_at,1515_at,158471_at,196513_at,217_at,23312_at,2533_at,256227_at,2620_at,285016_at,3123_at,3223_at,3303_at,330_at,340061_at,341640_at,3514_at,375061_at,3848_at,387914_at,388507_at,3956_at,440498_at,4747_at,4753_at,51313_at,55286_at,5734_at,57415_at,6318_at,6907_at,7164_at,7424_at,7699_at,7764_at,80183_at,83937_at,84171_at,8531_at,871_at,9022_at,9143_at,94121_at,9760_at,9945_at,label
3.67,7.51,3.93,13.48,4.86,9.10,6.13,4.05,8.07,5.20,8.74,3.76,4.06,3.74,3.45,5.71,10.77,6.25,4.62,7.95,3.53,5.49,6.76,3.63,4.42,8.31,14.22,3.64,3.77,4.47,3.86,4.12,6.33,5.42,3.75,6.49,4.93,10.19,6.72,9.70,3.99,4.93,4.32,11.60,12.69,4.19,6.45,5.91,6.30,9.37,1.00
3.77,3.68,10.44,4.22,4.81,7.86,5.15,4.60,8.46,5.63,9.21,3.81,7.92,3.98,10.66,10.45,4.40,4.45,3.63,5.47,3.51,5.64,6.25,3.66,3.61,8.62,10.88,3.78,3.85,4.65,3.97,9.73,5.44,5.36,3.70,7.63,4.90,4.28,10.38,9.87,4.22,4.94,5.18,3.90,6.76,3.96,4.99,3.56,5.02,4.47,1.00
3.78,6.64,10.22,3.94,12.18,4.15,7.26,4.57,5.68,11.32,7.90,3.90,4.16,4.94,3.52,5.81,5.09,11.94,11.14,4.59,6.52,6.07,6.94,3.29,9.91,3.99,14.00,9.62,11.14,5.02,4.81,4.40,4.30,10.26,3.90,7.70,12.09,7.64,7.82,9.00,3.85,8.05,5.10,12.01,8.89,3.75,6.59,4.60,4.51,4.62,0.00
3.93,3.70,9.31,4.08,4.70,4.02,7.62,9.03,9.19,9.36,8.70,7.02,4.29,3.26,3.37,6.38,11.31,11.88,5.79,5.38,3.60,5.46,4.12,3.60,3.64,8.57,13.85,8.54,4.03,4.45,5.39,4.18,9.44,11.08,3.47,8.07,12.87,3.73,8.20,10.46,4.02,4.67,5.06,11.43,11.51,3.80,8.30,3.62,3.77,6.57,1.00
6.94,8.04,9.82,3.83,4.51,4.02,6.50,7.61,7.14,5.17,9.08,3.84,8.84,7.86,3.55,8.92,9.92,13.14,6.63,7.48,7.31,5.44,6.95,3.64,12.49,4.07,13.47,8.62,3.80,4.06,8.77,7.25,3.96,9.86,3.37,6.76,7.33,7.84,6.98,8.36,3.97,6.41,4.12,11.70,10.94,3.78,4.81,7.65,3.67,6.68,0.00
3.69,3.98,8.99,9.24,4.58,3.92,10.40,4.24,8.80,10.60,10.13,3.72,3.72,4.87,3.56,6.71,12.63,5.59,3.84,4.33,8.50,5.31,8.13,3.72,3.39,8.17,12.83,7.96,7.52,7.17,4.67,4.15,4.29,9.25,3.63,8.06,4.66,6.14,8.06,11.07,4.02,4.42,4.90,11.88,11.23,3.45,7.55,4.62,3.70,6.97,1.00
4.10,3.66,9.43,4.25,10.60,3.92,4.71,4.32,8.67,5.19,9.72,9.20,4.06,3.87,3.58,5.44,4.60,5.21,6.17,8.63,3.64,5.25,4.58,4.04,9.72,8.58,4.91,3.65,3.68,4.63,3.93,4.23,10.74,3.75,3.73,8.10,5.08,8.72,8.69,10.69,4.06,5.09,4.88,11.40,6.82,3.79,4.63,3.59,8.90,4.43,1.00
4.42,4.86,4.26,4.78,11.43,4.53,7.11,5.74,9.07,10.16,9.72,3.94,3.98,3.87,3.80,9.65,5.67,10.69,5.53,8.89,3.70,5.15,4.38,3.53,7.14,7.36,13.80,8.27,3.91,5.22,4.93,4.89,4.73,7.86,5.27,8.34,8.41,10.39,7.33,10.69,3.86,7.58,5.38,11.95,11.29,5.02,5.68,5.49,6.13,10.16,1.00
3.82,7.60,11.58,13.58,9.12,3.91,8.92,5.32,7.62,10.00,9.35,3.73,8.04,3.57,3.81,6.25,7.57,12.21,6.04,6.70,3.47,5.70,7.15,3.85,7.19,6.41,13.82,8.19,3.95,4.54,8.11,4.22,6.33,4.94,3.80,7.49,11.30,9.79,7.10,10.43,4.17,6.03,10.12,12.53,11.12,4.78,4.36,5.79,7.62,9.88,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
