23199_at,23312_at,29968_at,4013_at,7699_at,80183_at,9022_at,94121_at,9760_at,label
KIAA0182,DMXL2,PSAT1,VWA5A,ZNF140,KIAA0226L,CLIC3,SYTL4,TOX
ENSG00000131149,ENSG00000104093,ENSG00000135069,ENSG00000110002,ENSG00000196387,ENSG00000102445,ENSG00000169583,ENSG00000102362,ENSG00000198846
8.96,8.74,10.50,6.28,6.72,3.99,4.19,5.91,6.30,1.00
8.56,9.21,11.35,5.55,10.38,4.22,3.96,3.56,5.02,1.00
8.72,7.90,10.54,5.31,7.82,3.85,3.75,4.60,4.51,0.00
7.25,8.70,11.22,5.30,8.20,4.02,3.80,3.62,3.77,1.00
8.12,9.08,11.57,4.84,6.98,3.97,3.78,7.65,3.67,0.00
8.78,10.13,13.08,5.29,8.06,4.02,3.45,4.62,3.70,1.00
10.87,9.72,4.92,5.64,8.69,4.06,3.79,3.59,8.90,1.00
8.51,9.72,9.65,7.52,7.33,3.86,5.02,5.49,6.13,1.00
8.28,9.35,11.16,5.61,7.10,4.17,4.78,5.79,7.62,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.52,5.66,10.20,5.13,7.25,12.25,3.82,3.57,5.85,0.00
7.10,4.77,10.13,5.45,8.32,11.53,3.72,3.62,6.41,0.00
8.28,7.89,10.54,6.77,7.89,3.77,8.43,8.59,3.64,0.00
7.16,8.35,10.27,6.15,7.91,3.85,10.26,6.70,5.12,0.00
8.14,8.26,9.23,9.87,5.96,4.03,8.57,7.11,3.52,0.00
7.62,8.45,9.82,7.69,7.94,6.70,4.41,4.39,4.91,0.00
8.18,8.21,11.48,7.48,8.30,8.60,3.80,6.77,3.63,0.00
11.35,7.69,8.61,8.42,7.76,3.71,3.85,5.69,5.44,1.00
9.76,8.67,11.45,7.40,7.58,4.75,4.07,4.77,3.63,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
9.10,9.36,10.38,6.29,7.73,6.04,3.52,5.58,3.83,0.00
8.04,8.66,9.59,7.44,8.45,6.16,7.08,4.41,4.86,0.00
8.58,9.75,11.77,8.49,3.40,9.71,3.56,3.79,3.66,1.00
8.28,8.39,10.81,8.93,7.08,3.91,4.57,5.29,6.05,0.00
8.00,9.95,11.58,5.88,7.89,4.30,4.63,5.28,5.26,0.00
8.55,9.26,10.46,5.75,7.04,11.32,3.90,3.47,7.10,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
5.58,4.11,10.16,7.39,3.87,3.91,9.67,5.94,3.69,0.00
7.73,8.00,12.22,5.25,9.01,10.97,3.78,3.71,6.16,0.00
9.19,11.84,9.64,5.79,7.81,3.99,3.94,4.86,3.94,1.00
10.32,4.36,11.31,5.24,8.13,3.90,3.79,3.68,5.67,1.00
9.11,8.20,9.99,6.03,8.17,4.15,7.65,5.30,3.54,0.00
8.91,7.87,11.43,6.47,8.05,4.58,4.00,3.75,3.69,1.00
9.37,8.84,11.32,5.23,7.87,4.10,4.23,4.48,3.84,1.00
8.89,9.35,10.89,5.32,8.20,3.86,5.52,3.77,3.60,1.00
5.92,9.53,10.28,6.56,7.80,4.11,3.54,4.60,3.75,0.00
8.26,8.76,10.85,6.09,7.71,4.06,4.00,4.05,4.49,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.95,8.96,11.23,7.16,7.84,3.81,6.49,5.97,3.45,0.00
9.58,8.51,9.70,6.30,8.31,11.89,3.90,4.45,3.74,0.00
9.87,8.66,9.60,9.67,8.12,3.86,7.49,4.61,3.58,0.00
8.47,8.84,11.42,5.98,6.87,4.02,7.69,5.11,3.84,1.00
8.50,10.05,9.06,5.77,6.85,3.90,8.22,6.94,4.40,0.00
6.93,10.13,11.41,6.74,3.99,4.00,3.48,5.42,3.58,1.00
8.47,9.55,10.89,5.99,7.27,4.15,3.75,3.85,9.18,1.00
