100289098_at,10365_at,117177_at,134265_at,1820_at,221895_at,25805_at,25937_at,2669_at,2887_at,3887_at,390916_at,401233_at,5349_at,54947_at,5728_at,81618_at,83742_at,9241_at,9569_at,label
4.84,5.81,5.61,4.17,6.54,8.59,9.56,5.69,4.36,8.99,4.71,8.60,3.39,5.08,4.46,9.99,9.32,8.90,8.90,9.27,1.00
7.91,6.61,5.85,5.60,5.37,7.74,8.94,10.31,8.68,8.94,4.96,10.22,3.32,5.21,7.51,7.17,8.24,9.29,3.99,9.98,0.00
7.71,9.50,5.35,4.00,8.47,6.24,4.21,4.72,4.46,4.50,4.75,10.50,4.76,5.13,4.67,11.17,10.01,4.81,3.77,8.12,1.00
8.11,12.35,7.83,4.06,8.40,6.73,6.58,4.79,8.63,4.82,5.14,10.93,3.87,5.07,5.13,9.87,8.61,7.03,3.57,5.36,1.00
9.43,7.05,4.92,4.37,5.63,7.77,4.24,8.38,5.69,7.08,5.00,10.12,3.29,5.50,4.36,7.63,10.10,10.29,3.53,9.74,0.00
6.74,7.21,7.66,4.39,5.67,4.30,9.36,8.00,4.06,6.32,12.91,9.45,3.77,10.50,6.64,7.31,8.09,5.28,3.67,9.90,0.00
8.19,7.32,6.37,4.27,7.61,4.56,12.61,7.68,4.22,6.55,4.75,11.08,3.03,5.27,4.88,7.82,8.65,9.32,4.04,8.83,1.00
7.39,6.12,6.42,4.05,7.35,4.38,5.17,6.52,7.85,5.09,4.92,11.01,3.56,5.55,4.45,10.05,8.42,6.82,3.65,7.15,0.00
7.14,9.73,4.89,7.42,6.14,7.57,9.24,8.17,10.12,9.34,5.32,9.80,3.08,5.18,5.53,8.83,7.06,8.73,5.70,9.58,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
8.23,4.63,8.16,4.19,6.07,8.79,4.65,4.70,3.88,4.80,4.66,10.55,4.90,4.96,4.60,8.84,5.54,4.77,3.45,6.32,0.00
7.92,6.01,8.48,4.11,4.33,8.95,5.67,4.45,4.05,4.81,5.34,9.42,3.27,5.22,4.45,10.36,6.39,4.91,3.36,5.65,0.00
7.85,8.90,8.03,3.94,4.64,4.30,11.43,6.88,3.89,9.02,4.47,11.31,7.35,10.20,4.24,9.58,6.97,4.83,4.56,9.68,0.00
6.81,5.95,7.47,6.17,6.78,5.79,6.14,8.25,5.61,4.74,7.41,10.38,6.76,8.14,9.52,8.54,8.06,9.66,9.68,8.20,1.00
6.34,6.01,6.64,5.22,6.48,5.24,3.95,8.58,5.17,5.95,5.40,10.58,5.15,12.55,7.00,8.58,8.97,8.08,3.34,8.57,0.00
7.64,7.79,6.48,4.37,6.23,5.44,8.92,10.12,8.80,7.80,5.43,10.52,3.36,5.10,7.19,8.77,9.24,9.21,4.12,9.22,1.00
8.10,8.93,5.33,3.97,5.96,5.58,8.93,5.69,10.86,9.27,4.95,11.34,3.28,9.81,6.70,8.43,7.94,5.84,3.83,9.81,0.00
7.01,10.14,6.00,5.36,4.66,7.22,9.41,9.06,6.80,4.76,5.37,9.77,3.29,9.78,9.71,9.43,8.49,9.64,5.51,9.05,1.00
6.84,9.16,5.12,4.46,7.06,6.20,8.55,7.66,7.85,7.59,4.87,3.60,3.33,5.19,4.61,9.66,10.39,9.14,7.76,8.70,1.00
7.26,6.43,5.98,3.60,7.75,5.96,7.95,4.57,4.09,9.67,4.63,10.48,3.76,5.10,8.09,9.24,7.69,8.71,3.32,7.19,1.00
6.39,10.73,7.27,3.97,6.36,4.26,11.53,8.11,5.87,8.86,5.18,10.52,4.99,8.76,7.43,9.41,10.12,7.86,3.43,10.14,1.00
6.84,10.31,6.89,3.94,6.72,4.66,10.72,6.81,6.92,7.46,5.16,10.61,6.82,8.46,6.59,9.04,8.64,6.45,3.52,10.18,1.00
8.64,6.76,6.97,3.93,6.75,7.24,9.92,8.63,5.26,7.97,4.69,10.75,3.05,5.01,7.19,7.75,9.03,7.99,3.68,9.56,1.00
