10365_at,1278_at,150381_at,1602_at,221895_at,2887_at,390916_at,4921_at,5349_at,54947_at,label
5.81,4.22,8.89,7.04,8.59,8.99,8.60,5.21,5.08,4.46,1.00
6.61,3.89,9.67,3.79,7.74,8.94,10.22,4.77,5.21,7.51,0.00
9.50,4.25,7.94,4.98,6.24,4.50,10.50,4.95,5.13,4.67,1.00
12.35,4.00,7.79,3.89,6.73,4.82,10.93,9.07,5.07,5.13,1.00
7.05,12.67,9.62,3.75,7.77,7.08,10.12,9.20,5.50,4.36,0.00
7.21,3.96,9.63,3.66,4.30,6.32,9.45,5.01,10.50,6.64,0.00
7.32,4.33,8.75,12.07,4.56,6.55,11.08,4.96,5.27,4.88,1.00
6.12,4.17,9.00,3.88,4.38,5.09,11.01,6.01,5.55,4.45,0.00
9.73,13.58,8.35,3.81,7.57,9.34,9.80,9.97,5.18,5.53,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
4.63,4.18,8.48,3.84,8.79,4.80,10.55,5.03,4.96,4.60,0.00
6.01,4.11,7.66,3.85,8.95,4.81,9.42,5.06,5.22,4.45,0.00
8.90,4.11,7.76,4.49,4.30,9.02,11.31,4.85,10.20,4.24,0.00
5.95,4.18,5.24,3.73,5.79,4.74,10.38,4.87,8.14,9.52,1.00
6.01,5.65,9.89,3.58,5.24,5.95,10.58,4.82,12.55,7.00,0.00
7.79,4.19,9.40,3.69,5.44,7.80,10.52,4.39,5.10,7.19,1.00
8.93,4.18,7.93,9.77,5.58,9.27,11.34,4.84,9.81,6.70,0.00
10.14,4.09,9.20,3.82,7.22,4.76,9.77,4.48,9.78,9.71,1.00
9.16,4.10,8.71,5.23,6.20,7.59,3.60,9.56,5.19,4.61,1.00
6.43,4.33,3.11,7.28,5.96,9.67,10.48,4.80,5.10,8.09,1.00
10.73,3.94,9.83,3.73,4.26,8.86,10.52,4.60,8.76,7.43,1.00
10.31,4.10,8.59,3.78,4.66,7.46,10.61,5.50,8.46,6.59,1.00
6.76,4.05,8.35,11.29,7.24,7.97,10.75,4.90,5.01,7.19,1.00
8.27,3.73,9.23,3.63,6.91,8.06,11.14,4.97,4.89,5.20,0.00
7.64,4.18,9.01,3.78,4.51,5.45,10.28,4.50,7.77,4.51,0.00
8.43,4.14,7.66,7.33,4.69,4.39,9.85,6.92,5.42,5.53,1.00
6.52,8.16,9.20,3.64,6.63,7.66,10.14,4.77,8.88,7.08,0.00
8.83,14.49,8.49,3.59,9.34,9.36,10.72,11.28,4.74,7.34,0.00
5.21,4.02,8.06,3.84,8.92,4.90,10.52,5.15,5.06,4.65,0.00
6.74,3.85,8.29,3.84,9.01,4.63,10.30,4.71,5.23,4.72,0.00
6.64,4.40,9.04,3.85,6.46,8.81,10.21,4.84,5.52,4.29,0.00
6.76,4.10,10.08,3.65,6.70,6.11,9.77,4.69,8.39,6.49,0.00
5.82,4.39,8.09,8.80,8.32,8.49,10.38,4.90,5.06,9.06,1.00
8.86,3.80,9.64,3.99,6.76,8.29,10.29,8.93,5.17,6.43,0.00
5.07,3.94,3.34,3.71,6.37,9.41,11.65,4.98,5.05,7.98,1.00
6.80,8.11,4.07,3.71,4.22,4.25,10.25,8.99,4.95,4.31,1.00
7.73,5.68,9.42,3.60,7.81,9.45,9.69,6.14,5.03,5.43,0.00
8.20,4.71,9.09,3.74,6.72,7.86,9.09,7.58,5.09,6.36,1.00
7.67,4.09,8.58,3.85,7.79,5.38,10.46,4.86,4.97,4.30,1.00
5.54,3.85,9.80,3.74,6.54,8.94,11.22,4.78,4.97,4.47,0.00
7.15,11.68,10.33,3.65,7.35,8.89,10.08,9.82,5.10,6.31,0.00
7.01,3.96,11.16,3.75,6.92,7.30,10.27,6.67,6.31,5.75,0.00
6.44,4.14,9.83,3.69,5.82,7.36,11.61,4.51,11.64,8.14,0.00
6.25,4.65,9.90,3.64,8.28,4.54,11.38,4.56,5.27,5.94,0.00
6.50,4.05,9.73,3.70,5.77,8.68,10.88,5.06,5.41,7.59,0.00
5.35,4.12,8.12,4.08,8.97,9.69,10.97,4.86,5.69,8.07,0.00
9.05,4.36,4.43,3.68,4.69,8.48,9.97,5.36,4.88,4.37,1.00
7.61,9.02,9.28,9.22,8.12,8.68,10.51,9.65,5.35,5.15,1.00
6.61,11.04,9.31,3.62,7.60,8.83,10.87,8.84,4.93,6.06,0.00
9.63,14.09,8.22,3.78,9.30,7.76,9.82,10.52,4.93,7.34,1.00
10.29,11.07,8.20,4.19,6.97,7.09,10.08,10.46,8.97,9.98,1.00
8.13,5.16,9.60,3.86,8.55,8.70,9.85,6.49,9.94,8.00,0.00
7.12,11.21,8.57,3.86,8.85,9.40,10.35,8.47,10.95,9.83,0.00
6.27,3.97,9.29,3.97,6.38,6.49,9.80,5.17,12.12,8.42,0.00
10.64,7.05,10.30,4.08,7.44,8.35,9.94,8.89,5.21,7.21,0.00
6.17,4.10,9.29,4.35,4.45,6.61,9.90,4.42,8.14,8.52,1.00
6.06,4.16,8.70,3.87,4.46,4.70,9.92,4.83,5.50,4.71,1.00
8.50,3.96,8.56,3.55,6.26,7.50,10.52,4.77,8.61,7.11,0.00
6.64,4.06,10.45,3.78,4.91,5.92,9.99,4.93,11.00,8.06,1.00
8.00,4.20,8.90,3.70,5.46,8.11,10.59,4.65,5.03,4.32,0.00
6.28,8.34,9.68,7.06,6.41,8.45,10.10,4.93,5.05,5.08,0.00
7.47,4.14,10.26,3.67,4.12,8.95,11.04,5.26,11.18,7.12,0.00
4.32,3.93,8.72,10.09,6.48,6.82,8.92,9.88,4.72,5.15,1.00
6.39,4.87,10.46,3.63,9.31,9.66,10.44,8.54,7.37,8.70,0.00
7.92,9.54,9.74,5.07,7.48,5.94,10.15,5.39,4.98,6.12,0.00
7.03,4.30,10.93,3.67,8.57,11.05,10.20,5.07,5.20,6.23,0.00
5.65,4.08,10.05,4.12,4.60,10.55,10.10,8.17,4.95,4.43,0.00
6.89,4.39,9.43,3.64,6.79,8.84,10.83,5.26,4.71,7.65,0.00
9.50,4.42,4.27,5.29,7.00,8.66,8.43,5.42,5.39,6.04,1.00
8.35,4.40,5.32,3.74,7.31,4.88,10.74,4.85,5.59,4.23,0.00
10.33,3.82,7.80,4.26,6.50,4.42,9.21,5.39,4.60,5.08,1.00
7.74,3.89,5.90,3.67,7.20,6.31,8.57,4.94,4.66,5.24,1.00
9.81,4.09,6.85,3.85,4.28,4.53,10.61,5.77,4.87,4.50,1.00
6.00,4.06,9.64,6.82,4.55,5.53,10.12,5.52,5.09,4.30,1.00
9.04,4.10,7.84,3.80,6.53,5.16,10.50,4.96,5.07,4.65,1.00
9.11,3.97,10.68,4.83,4.90,5.68,10.78,4.63,9.41,5.58,1.00
7.00,4.09,8.79,10.35,4.24,9.97,11.84,4.75,4.88,8.48,1.00
5.73,4.48,8.86,3.97,5.52,7.93,9.90,4.89,5.19,9.45,1.00
12.32,4.39,10.41,3.92,5.72,5.09,10.54,6.12,5.56,4.49,1.00
6.20,4.11,9.72,6.66,8.39,8.85,11.21,4.53,5.76,5.89,0.00
6.93,4.24,7.68,3.68,4.50,4.46,9.35,4.39,12.38,6.96,0.00
7.70,4.06,6.78,4.89,4.33,7.38,10.16,8.10,5.32,4.36,1.00
8.97,4.41,10.29,4.38,8.65,7.01,10.84,6.40,5.34,6.73,1.00
11.53,4.36,11.25,8.38,7.83,8.53,10.71,8.93,5.58,4.41,1.00
9.20,4.26,10.59,3.91,7.02,5.35,10.57,5.00,5.42,7.14,1.00
6.32,3.81,9.52,3.63,5.33,9.62,9.63,4.44,11.08,8.97,0.00
7.82,8.34,8.65,4.63,8.48,7.63,9.20,9.74,5.01,8.67,1.00
5.05,4.22,9.01,4.26,8.54,9.14,11.30,5.17,6.01,7.06,0.00
6.49,4.61,8.04,10.02,6.33,9.15,9.69,4.83,4.59,6.28,1.00
7.01,4.01,8.98,3.82,7.45,5.59,10.31,4.95,10.71,8.83,0.00
6.66,4.10,9.52,4.63,5.78,9.20,10.96,4.87,11.29,6.46,0.00
6.16,4.11,9.11,3.56,4.96,4.99,10.27,4.87,11.85,7.21,0.00
9.70,4.47,9.14,9.45,7.07,7.15,11.04,8.64,5.02,4.79,1.00
8.21,4.14,9.56,3.70,7.81,9.27,11.34,4.80,10.22,9.08,0.00
11.34,4.25,9.04,5.15,8.40,7.89,10.12,6.54,5.07,5.41,1.00
8.98,4.14,6.78,9.31,4.72,7.06,11.14,5.07,9.92,9.00,1.00
5.44,4.15,9.37,3.77,9.67,4.80,9.82,5.27,5.61,4.11,0.00
8.97,5.73,9.05,4.13,4.62,5.15,11.07,4.65,12.91,6.93,0.00
5.71,3.90,9.70,6.65,4.24,8.16,10.52,4.81,12.23,8.56,0.00
7.05,7.80,9.90,3.72,8.26,8.21,9.88,8.75,6.27,10.61,1.00
