10365_at,11343_at,117177_at,1278_at,150381_at,150967_at,1602_at,2213_at,221895_at,23220_at,2887_at,3887_at,390916_at,401233_at,4921_at,5349_at,54947_at,55026_at,6275_at,9569_at,label
5.81,4.80,5.61,4.22,8.89,6.80,7.04,4.25,8.59,6.57,8.99,4.71,8.60,3.39,5.21,5.08,4.46,3.89,9.65,9.27,1.00
6.61,10.65,5.85,3.89,9.67,6.19,3.79,3.99,7.74,6.24,8.94,4.96,10.22,3.32,4.77,5.21,7.51,3.79,5.70,9.98,0.00
9.50,5.13,5.35,4.25,7.94,7.70,4.98,3.90,6.24,4.42,4.50,4.75,10.50,4.76,4.95,5.13,4.67,3.33,12.05,8.12,1.00
12.35,4.99,7.83,4.00,7.79,8.17,3.89,4.11,6.73,6.79,4.82,5.14,10.93,3.87,9.07,5.07,5.13,3.85,12.40,5.36,1.00
7.05,5.33,4.92,12.67,9.62,6.06,3.75,7.60,7.77,7.62,7.08,5.00,10.12,3.29,9.20,5.50,4.36,3.43,10.79,9.74,0.00
7.21,10.17,7.66,3.96,9.63,5.45,3.66,4.40,4.30,10.92,6.32,12.91,9.45,3.77,5.01,10.50,6.64,3.21,10.81,9.90,0.00
7.32,5.11,6.37,4.33,8.75,7.73,12.07,4.49,4.56,7.70,6.55,4.75,11.08,3.03,4.96,5.27,4.88,6.54,5.81,8.83,1.00
6.12,10.51,6.42,4.17,9.00,5.43,3.88,10.21,4.38,10.60,5.09,4.92,11.01,3.56,6.01,5.55,4.45,3.53,6.14,7.15,0.00
9.73,10.39,4.89,13.58,8.35,5.62,3.81,4.28,7.57,6.28,9.34,5.32,9.80,3.08,9.97,5.18,5.53,3.79,9.00,9.58,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
4.63,7.31,8.16,4.18,8.48,7.28,3.84,10.06,8.79,7.21,4.80,4.66,10.55,4.90,5.03,4.96,4.60,3.23,7.58,6.32,0.00
6.01,7.86,8.48,4.11,7.66,7.07,3.85,9.23,8.95,7.29,4.81,5.34,9.42,3.27,5.06,5.22,4.45,3.74,7.56,5.65,0.00
