100289098_at,10365_at,11343_at,117177_at,1278_at,150381_at,150967_at,1602_at,2037_at,2213_at,221895_at,22824_at,23220_at,25937_at,2887_at,2995_at,3426_at,3887_at,390916_at,401233_at,4886_at,4921_at,5010_at,50810_at,5349_at,5420_at,54742_at,54947_at,55026_at,55351_at,5654_at,6001_at,6275_at,727_at,83592_at,84189_at,9079_at,9241_at,930_at,9569_at,label
4.84,5.81,4.80,5.61,4.22,8.89,6.80,7.04,10.87,4.25,8.59,4.56,6.57,5.69,8.99,10.44,4.08,4.71,8.60,3.39,3.81,5.21,4.13,10.42,5.08,9.59,4.02,4.46,3.89,4.85,4.43,10.71,9.65,6.22,4.24,4.05,6.96,8.90,10.36,9.27,1.00
7.91,6.61,10.65,5.85,3.89,9.67,6.19,3.79,10.68,3.99,7.74,8.76,6.24,10.31,8.94,10.93,5.19,4.96,10.22,3.32,4.14,4.77,3.87,9.40,5.21,7.29,4.02,7.51,3.79,5.49,8.97,9.82,5.70,5.45,4.49,3.89,4.09,3.99,4.20,9.98,0.00
7.71,9.50,5.13,5.35,4.25,7.94,7.70,4.98,4.34,3.90,6.24,4.40,4.42,4.72,4.50,8.63,4.12,4.75,10.50,4.76,3.60,4.95,4.01,10.15,5.13,5.43,3.92,4.67,3.33,4.95,4.01,11.49,12.05,6.10,4.30,3.92,3.88,3.77,4.36,8.12,1.00
8.11,12.35,4.99,7.83,4.00,7.79,8.17,3.89,8.61,4.11,6.73,7.81,6.79,4.79,4.82,10.59,4.11,5.14,10.93,3.87,3.78,9.07,4.21,4.10,5.07,9.08,3.99,5.13,3.85,4.74,3.93,10.23,12.40,5.19,4.12,3.87,3.86,3.57,4.18,5.36,1.00
9.43,7.05,5.33,4.92,12.67,9.62,6.06,3.75,9.87,7.60,7.77,9.50,7.62,8.38,7.08,4.94,5.71,5.00,10.12,3.29,3.54,9.20,4.19,9.79,5.50,8.33,4.15,4.36,3.43,4.98,5.54,12.43,10.79,7.70,4.67,3.88,3.96,3.53,4.49,9.74,0.00
6.74,7.21,10.17,7.66,3.96,9.63,5.45,3.66,5.60,4.40,4.30,9.50,10.92,8.00,6.32,5.10,4.77,12.91,9.45,3.77,3.62,5.01,4.10,6.90,10.50,6.63,5.07,6.64,3.21,4.63,4.23,11.73,10.81,4.23,4.55,3.94,4.32,3.67,5.34,9.90,0.00
8.19,7.32,5.11,6.37,4.33,8.75,7.73,12.07,11.29,4.49,4.56,10.84,7.70,7.68,6.55,4.80,4.01,4.75,11.08,3.03,3.53,4.96,4.09,10.09,5.27,7.31,3.98,4.88,6.54,5.38,8.16,9.00,5.81,8.23,7.91,3.92,3.73,4.04,4.22,8.83,1.00
7.39,6.12,10.51,6.42,4.17,9.00,5.43,3.88,9.82,10.21,4.38,9.81,10.60,6.52,5.09,10.52,3.90,4.92,11.01,3.56,3.55,6.01,4.24,7.42,5.55,4.93,4.04,4.45,3.53,5.04,4.00,12.07,6.14,4.58,4.60,3.77,3.97,3.65,10.59,7.15,0.00
7.14,9.73,10.39,4.89,13.58,8.35,5.62,3.81,10.65,4.28,7.57,6.96,6.28,8.17,9.34,5.86,4.00,5.32,9.80,3.08,3.92,9.97,6.52,9.71,5.18,9.13,5.39,5.53,3.79,6.73,11.10,10.41,9.00,4.42,5.26,3.87,3.81,5.70,4.35,9.58,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
8.23,4.63,7.31,8.16,4.18,8.48,7.28,3.84,9.12,10.06,8.79,9.04,7.21,4.70,4.80,9.63,4.30,4.66,10.55,4.90,3.56,5.03,4.17,7.87,4.96,8.58,3.96,4.60,3.23,4.73,4.11,9.98,7.58,5.59,4.42,3.86,3.78,3.45,10.38,6.32,0.00
7.92,6.01,7.86,8.48,4.11,7.66,7.07,3.85,5.13,9.23,8.95,6.57,7.29,4.45,4.81,7.96,4.42,5.34,9.42,3.27,3.45,5.06,3.81,4.26,5.22,7.51,4.18,4.45,3.74,5.32,4.67,9.55,7.56,6.27,4.64,4.13,3.82,3.36,9.68,5.65,0.00
7.85,8.90,10.23,8.03,4.11,7.76,6.49,4.49,4.50,4.02,4.30,4.72,7.42,6.88,9.02,4.33,3.72,4.47,11.31,7.35,10.94,4.85,4.00,9.18,10.20,8.27,4.24,4.24,3.50,4.97,4.71,8.47,8.60,6.48,4.18,9.48,3.66,4.56,4.02,9.68,0.00
6.81,5.95,9.83,7.47,4.18,5.24,6.26,3.73,8.87,4.53,5.79,8.10,10.07,8.25,4.74,4.39,4.03,7.41,10.38,6.76,3.61,4.87,4.25,10.23,8.14,10.84,8.27,9.52,4.78,4.66,4.70,12.06,9.38,5.03,4.35,7.95,3.73,9.68,4.22,8.20,1.00
6.34,6.01,5.88,6.64,5.65,9.89,6.05,3.58,8.44,4.28,5.24,7.31,9.32,8.58,5.95,4.96,7.07,5.40,10.58,5.15,3.59,4.82,3.74,8.79,12.55,9.28,7.10,7.00,7.74,4.76,7.01,10.10,8.48,4.46,4.84,6.13,3.87,3.34,3.99,8.57,0.00
7.64,7.79,6.84,6.48,4.19,9.40,7.22,3.69,8.71,3.68,5.44,8.33,4.97,10.12,7.80,4.31,6.92,5.43,10.52,3.36,3.54,4.39,4.94,4.27,5.10,10.83,4.55,7.19,3.44,4.83,7.41,8.59,12.67,6.47,5.59,8.21,4.02,4.12,4.45,9.22,1.00
