102_at,10365_at,150381_at,1602_at,2887_at,54742_at,83592_at,83742_at,8739_at,9355_at,label
9.22,5.81,8.89,7.04,8.99,4.02,4.24,8.90,5.43,4.12,1.00
8.46,6.61,9.67,3.79,8.94,4.02,4.49,9.29,4.26,4.24,0.00
9.47,9.50,7.94,4.98,4.50,3.92,4.30,4.81,4.20,3.81,1.00
8.23,12.35,7.79,3.89,4.82,3.99,4.12,7.03,8.08,4.44,1.00
6.40,7.05,9.62,3.75,7.08,4.15,4.67,10.29,4.17,9.10,0.00
8.25,7.21,9.63,3.66,6.32,5.07,4.55,5.28,4.28,4.23,0.00
7.95,7.32,8.75,12.07,6.55,3.98,7.91,9.32,5.16,10.11,1.00
7.13,6.12,9.00,3.88,5.09,4.04,4.60,6.82,4.34,8.40,0.00
10.16,9.73,8.35,3.81,9.34,5.39,5.26,8.73,4.54,4.44,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.91,4.63,8.48,3.84,4.80,3.96,4.42,4.77,8.28,4.07,0.00
7.13,6.01,7.66,3.85,4.81,4.18,4.64,4.91,5.00,3.83,0.00
7.38,8.90,7.76,4.49,9.02,4.24,4.18,4.83,4.82,4.67,0.00
8.80,5.95,5.24,3.73,4.74,8.27,4.35,9.66,5.80,6.10,1.00
9.14,6.01,9.89,3.58,5.95,7.10,4.84,8.08,5.69,5.11,0.00
7.62,7.79,9.40,3.69,7.80,4.55,5.59,9.21,4.02,3.87,1.00
7.34,8.93,7.93,9.77,9.27,4.24,4.17,5.84,4.55,7.50,0.00
8.69,10.14,9.20,3.82,4.76,3.99,4.63,9.64,4.00,3.83,1.00
7.21,9.16,8.71,5.23,7.59,4.21,5.12,9.14,4.12,3.66,1.00
8.37,6.43,3.11,7.28,9.67,4.61,6.30,8.71,4.15,3.63,1.00
8.44,10.73,9.83,3.73,8.86,4.03,4.10,7.86,3.98,4.07,1.00
7.52,10.31,8.59,3.78,7.46,4.31,4.44,6.45,4.10,3.98,1.00
7.74,6.76,8.35,11.29,7.97,4.10,4.13,7.99,4.65,7.88,1.00
8.75,8.27,9.23,3.63,8.06,4.13,3.99,8.14,5.59,6.53,0.00
8.32,7.64,9.01,3.78,5.45,8.86,4.36,9.26,8.92,3.70,0.00
7.92,8.43,7.66,7.33,4.39,3.95,4.16,7.36,4.06,3.81,1.00
9.20,6.52,9.20,3.64,7.66,9.34,4.11,7.95,6.64,4.43,0.00
7.73,8.83,8.49,3.59,9.36,3.93,3.99,8.56,4.48,4.18,0.00
7.57,5.21,8.06,3.84,4.90,4.26,4.11,4.54,6.62,4.43,0.00
7.47,6.74,8.29,3.84,4.63,4.15,4.27,5.23,8.39,4.54,0.00
6.30,6.64,9.04,3.85,8.81,5.02,5.53,8.45,8.59,4.10,0.00
9.33,6.76,10.08,3.65,6.11,6.66,3.94,8.82,4.23,8.32,0.00
9.51,5.82,8.09,8.80,8.49,4.07,5.06,8.71,3.94,4.01,1.00
7.24,8.86,9.64,3.99,8.29,9.75,4.43,8.74,4.32,4.10,0.00
8.95,5.07,3.34,3.71,9.41,4.02,4.16,9.24,5.23,3.52,1.00
7.11,6.80,4.07,3.71,4.25,4.22,4.46,9.16,8.55,9.26,1.00
8.50,7.73,9.42,3.60,9.45,5.61,4.15,6.84,4.41,7.73,0.00
8.21,8.20,9.09,3.74,7.86,4.81,6.62,9.12,4.56,3.72,1.00
8.48,7.67,8.58,3.85,5.38,4.00,4.22,4.88,5.34,5.66,1.00
8.13,5.54,9.80,3.74,8.94,5.19,4.02,6.22,4.24,3.87,0.00
8.93,7.15,10.33,3.65,8.89,8.30,4.24,8.87,4.71,6.49,0.00
7.69,7.01,11.16,3.75,7.30,4.57,4.05,7.78,4.77,7.75,0.00
8.93,6.44,9.83,3.69,7.36,6.81,5.45,4.92,4.70,4.45,0.00
9.56,6.25,9.90,3.64,4.54,4.33,3.96,8.43,4.36,5.04,0.00
8.73,6.50,9.73,3.70,8.68,4.65,4.41,8.34,4.38,4.34,0.00
8.69,5.35,8.12,4.08,9.69,3.86,4.33,7.84,4.19,3.84,0.00
8.75,9.05,4.43,3.68,8.48,3.97,4.11,4.87,4.84,4.03,1.00
7.26,7.61,9.28,9.22,8.68,4.22,6.97,9.72,5.51,5.97,1.00
7.21,6.61,9.31,3.62,8.83,9.61,4.35,7.95,6.09,8.47,0.00
8.04,9.63,8.22,3.78,7.76,4.55,4.83,10.08,4.26,3.91,1.00
8.34,10.29,8.20,4.19,7.09,4.13,4.43,9.57,4.27,5.10,1.00
7.75,8.13,9.60,3.86,8.70,4.26,4.42,8.90,6.60,3.81,0.00
8.69,7.12,8.57,3.86,9.40,4.79,4.07,9.14,4.76,5.73,0.00
7.26,6.27,9.29,3.97,6.49,4.53,4.44,9.96,7.08,4.02,0.00
7.77,10.64,10.30,4.08,8.35,8.55,4.04,9.37,4.30,3.81,0.00
7.72,6.17,9.29,4.35,6.61,4.22,4.68,8.69,4.10,4.19,1.00
8.41,6.06,8.70,3.87,4.70,4.19,4.21,5.23,4.25,4.06,1.00
8.10,8.50,8.56,3.55,7.50,4.64,4.17,8.01,5.43,4.76,0.00
8.49,6.64,10.45,3.78,5.92,4.05,4.20,8.77,4.50,3.87,1.00
8.27,8.00,8.90,3.70,8.11,10.04,6.13,8.85,4.12,3.97,0.00
9.35,6.28,9.68,7.06,8.45,4.47,4.26,8.27,5.42,6.86,0.00
8.58,7.47,10.26,3.67,8.95,4.30,4.24,8.35,4.28,3.88,0.00
8.06,4.32,8.72,10.09,6.82,3.95,5.24,8.94,9.65,4.63,1.00
8.13,6.39,10.46,3.63,9.66,4.20,6.65,9.37,7.43,4.34,0.00
7.06,7.92,9.74,5.07,5.94,9.29,4.72,8.43,4.49,5.21,0.00
8.69,7.03,10.93,3.67,11.05,4.12,4.06,4.49,4.00,5.63,0.00
6.68,5.65,10.05,4.12,10.55,4.12,4.19,6.24,4.39,3.63,0.00
6.73,6.89,9.43,3.64,8.84,4.03,3.89,7.48,5.22,7.03,0.00
7.26,9.50,4.27,5.29,8.66,4.06,4.32,5.32,6.12,4.26,1.00
7.63,8.35,5.32,3.74,4.88,4.12,3.97,5.12,10.36,4.26,0.00
7.83,10.33,7.80,4.26,4.42,11.04,4.50,7.79,4.03,6.31,1.00
9.02,7.74,5.90,3.67,6.31,3.99,6.00,8.13,7.73,3.98,1.00
7.74,9.81,6.85,3.85,4.53,4.17,4.23,7.13,4.04,8.75,1.00
7.58,6.00,9.64,6.82,5.53,4.05,3.96,7.07,4.28,3.59,1.00
9.38,9.04,7.84,3.80,5.16,4.26,4.15,7.54,6.25,4.71,1.00
9.14,9.11,10.68,4.83,5.68,4.12,6.64,8.61,3.95,4.04,1.00
9.14,7.00,8.79,10.35,9.97,4.09,5.30,8.94,4.12,4.44,1.00
7.78,5.73,8.86,3.97,7.93,4.46,4.72,7.55,4.56,3.68,1.00
9.10,12.32,10.41,3.92,5.09,5.11,4.90,5.48,4.07,3.75,1.00
7.80,6.20,9.72,6.66,8.85,3.94,4.45,6.77,6.75,5.52,0.00
9.75,6.93,7.68,3.68,4.46,8.06,3.68,7.16,5.96,8.13,0.00
8.69,7.70,6.78,4.89,7.38,5.98,4.35,7.04,7.25,4.23,1.00
8.51,8.97,10.29,4.38,7.01,4.30,4.26,7.92,4.70,7.37,1.00
7.76,11.53,11.25,8.38,8.53,4.22,4.13,6.09,7.73,4.22,1.00
8.58,9.20,10.59,3.91,5.35,4.27,4.44,6.98,8.55,4.27,1.00
8.43,6.32,9.52,3.63,9.62,6.57,4.90,10.08,5.32,4.57,0.00
6.78,7.82,8.65,4.63,7.63,4.24,4.32,8.95,4.05,3.50,1.00
8.33,5.05,9.01,4.26,9.14,3.96,4.57,8.38,4.29,3.77,0.00
8.19,6.49,8.04,10.02,9.15,4.25,4.04,6.86,4.44,7.29,1.00
7.62,7.01,8.98,3.82,5.59,8.15,4.21,9.95,7.85,4.11,0.00
6.09,6.66,9.52,4.63,9.20,6.67,4.30,8.57,7.31,5.01,0.00
7.21,6.16,9.11,3.56,4.99,7.35,4.20,8.98,6.95,6.25,0.00
8.92,9.70,9.14,9.45,7.15,4.23,4.25,5.77,4.65,6.81,1.00
7.32,8.21,9.56,3.70,9.27,4.01,4.60,9.03,4.34,8.06,0.00
8.85,11.34,9.04,5.15,7.89,4.04,3.99,7.75,8.09,4.71,1.00
7.26,8.98,6.78,9.31,7.06,4.08,4.50,7.40,4.28,3.86,1.00
7.12,5.44,9.37,3.77,4.80,4.15,4.06,5.06,4.41,3.96,0.00
7.41,8.97,9.05,4.13,5.15,4.10,4.20,6.71,3.95,6.59,0.00
7.03,5.71,9.70,6.65,8.16,5.06,4.71,7.69,4.25,3.95,0.00
8.46,7.05,9.90,3.72,8.21,4.38,5.89,8.81,6.54,3.78,1.00
6.90,5.34,9.29,4.50,9.47,4.27,5.18,7.58,4.40,3.66,0.00
7.88,10.10,8.54,3.64,7.47,4.10,4.09,9.04,7.54,7.36,0.00
6.13,6.89,10.00,7.06,10.17,3.90,4.21,6.43,8.05,6.51,0.00
7.48,6.96,8.85,3.82,7.62,5.22,4.64,8.56,7.80,6.55,0.00
7.72,10.51,9.40,3.62,8.04,9.44,4.74,9.19,4.16,7.57,1.00
7.00,10.05,7.09,3.63,9.43,4.08,5.24,8.72,4.36,6.07,1.00
7.60,10.22,9.02,3.75,6.66,4.06,5.55,9.10,4.57,3.92,1.00
8.88,7.09,8.43,3.60,8.51,3.95,5.44,7.51,6.04,4.71,0.00
9.30,7.56,3.80,3.96,8.22,6.29,4.03,8.64,8.81,4.15,0.00
9.74,6.27,9.00,3.48,4.97,4.34,6.03,8.16,6.46,4.07,1.00
7.76,7.39,8.73,5.31,7.82,4.10,4.21,7.96,4.36,6.91,0.00
10.84,11.07,9.99,3.81,4.58,4.28,4.21,6.99,4.01,3.65,1.00
8.44,6.35,8.07,8.33,7.56,4.79,4.06,8.25,4.11,3.80,1.00
7.52,8.42,9.51,3.82,9.07,4.23,4.04,6.45,7.37,3.95,0.00
6.14,6.65,8.33,9.31,6.14,4.12,4.01,7.12,5.29,10.26,0.00
6.52,4.95,8.72,7.09,7.09,4.07,4.14,6.99,4.37,9.45,0.00
7.74,6.59,10.98,9.84,8.73,4.25,4.22,8.87,6.73,8.55,1.00
8.33,8.32,9.55,3.73,6.27,3.88,6.19,8.45,5.42,8.70,1.00
6.44,9.56,8.36,3.73,9.15,9.05,4.12,8.58,4.48,4.08,0.00
6.31,6.70,10.89,10.07,7.74,3.92,4.45,8.39,4.95,9.41,0.00
8.25,7.03,11.31,3.50,8.31,4.58,6.55,8.81,6.24,4.11,0.00
8.32,6.46,10.80,3.83,7.69,4.38,5.13,8.33,4.98,5.21,0.00
8.55,6.60,3.80,3.69,6.51,4.88,5.39,8.26,5.23,6.87,1.00
7.19,7.55,8.38,3.59,7.75,6.03,5.70,8.67,4.50,4.49,0.00
7.89,10.27,8.04,3.67,8.44,5.74,6.34,8.42,4.50,7.46,1.00
8.51,10.12,7.90,3.74,5.99,6.55,5.74,9.41,4.86,9.15,1.00
7.13,6.62,9.42,3.66,9.49,6.81,4.57,8.35,4.59,7.59,0.00
8.05,6.64,8.39,3.82,6.02,6.30,5.40,6.91,7.32,6.10,0.00
9.12,8.90,9.60,3.69,8.58,4.82,4.04,5.10,3.98,4.03,1.00
6.69,8.31,9.15,3.85,8.86,4.61,5.52,8.36,4.23,3.84,0.00
7.36,7.73,8.85,3.94,7.03,6.62,4.49,9.08,4.46,6.94,0.00
7.92,5.45,3.27,8.58,9.01,4.08,4.20,8.49,4.28,3.88,1.00
9.42,6.12,8.59,4.97,7.77,6.24,4.67,7.23,7.29,5.86,1.00
7.37,7.71,7.73,4.20,9.66,4.39,4.73,6.39,4.15,4.07,0.00
6.92,6.52,9.63,3.64,7.51,5.85,5.80,8.44,4.78,6.37,0.00
6.83,6.74,10.00,3.68,7.26,5.85,5.76,8.94,4.21,6.34,0.00
6.94,6.64,10.15,3.80,7.63,6.14,6.05,8.48,4.36,6.17,0.00
8.97,6.40,8.86,10.16,8.16,3.96,4.32,9.77,4.35,3.51,1.00
9.24,7.55,7.86,7.81,9.67,3.99,4.09,8.28,4.03,3.86,1.00
7.02,5.57,9.18,3.92,5.19,4.33,4.36,4.29,5.38,4.00,0.00
7.47,6.26,9.14,4.48,8.57,4.38,4.09,9.20,4.35,4.06,0.00
7.01,6.66,3.52,3.66,8.48,4.14,4.40,6.52,4.11,4.13,1.00
8.41,5.98,7.35,3.69,5.25,4.28,4.40,6.25,4.46,3.66,1.00
