1001_at,10186_at,10346_at,11167_at,1839_at,23066_at,27345_at,28231_at,29899_at,3123_at,4013_at,401494_at,4998_at,51170_at,55364_at,57153_at,7298_at,83729_at,8501_at,9603_at,label
5.57,8.18,4.26,11.90,7.09,4.44,7.05,8.27,10.18,6.07,6.17,3.79,7.73,8.40,9.47,6.73,13.31,9.52,6.26,6.13,1.00
5.83,8.01,7.78,12.44,7.68,5.12,5.28,5.41,9.49,5.71,6.28,4.03,7.70,8.75,8.01,7.07,12.80,4.30,5.71,3.96,1.00
5.33,4.43,9.47,4.30,8.20,7.07,5.16,8.40,9.40,10.45,5.55,4.25,8.69,8.41,7.08,7.25,13.21,3.91,8.17,3.59,1.00
5.19,7.96,10.72,10.32,7.19,7.23,6.24,4.78,8.96,7.51,7.62,8.63,7.06,10.61,7.79,7.04,12.37,10.98,7.48,5.87,1.00
5.94,4.18,5.50,10.83,6.01,8.79,10.25,6.39,10.43,6.38,5.30,6.68,7.98,10.03,8.19,8.03,13.19,4.09,5.11,9.64,1.00
11.79,9.63,4.96,10.15,6.39,4.63,8.39,7.62,9.74,5.52,7.51,8.13,7.67,6.21,8.41,7.24,11.82,4.32,5.23,7.40,0.00
6.02,4.02,5.52,10.04,6.10,8.03,5.17,7.75,7.63,6.71,5.29,3.75,7.89,11.39,7.43,6.36,13.05,9.07,8.25,4.65,1.00
5.48,4.44,10.06,3.83,9.20,4.60,5.61,8.68,9.23,5.44,5.64,3.93,9.12,9.37,3.76,7.82,13.54,4.37,5.83,3.72,1.00
5.93,4.21,4.31,3.89,5.67,6.71,8.20,9.35,7.72,12.50,6.68,4.29,8.71,8.61,6.46,3.96,13.22,11.11,10.43,8.17,1.00
5.94,5.73,4.10,8.10,6.40,8.78,5.17,7.84,8.70,6.00,5.34,4.44,7.25,8.73,8.35,6.33,12.57,4.13,5.27,7.17,1.00
5.22,9.95,9.28,4.38,6.70,7.55,8.19,7.78,9.10,11.60,5.45,4.16,9.23,7.59,5.31,6.73,13.07,4.27,8.31,6.21,1.00
12.44,6.74,5.67,8.87,5.99,4.77,6.02,8.20,10.56,5.98,8.40,4.16,7.66,9.25,5.99,9.13,12.07,3.87,5.40,4.36,0.00
6.89,3.83,3.89,9.06,5.40,4.74,4.82,7.54,9.04,7.82,5.17,3.90,6.76,4.10,8.36,8.79,11.94,3.61,5.70,4.41,0.00
6.61,9.17,7.48,6.05,7.11,6.15,5.68,7.59,7.91,13.46,9.74,3.87,6.57,9.85,7.42,7.32,12.72,4.19,5.62,5.47,0.00
5.64,4.06,6.85,4.35,6.40,4.64,7.62,8.48,7.92,5.68,7.18,4.10,7.41,10.92,4.47,4.14,12.54,9.59,9.78,7.45,0.00
10.86,7.39,4.43,8.47,8.86,7.76,8.72,6.50,8.91,5.78,5.81,9.06,7.09,10.11,7.56,10.05,12.68,3.98,5.20,8.27,1.00
5.09,8.33,8.52,12.82,8.31,5.31,5.90,4.34,9.60,5.65,7.56,4.25,7.72,8.98,7.82,6.85,12.65,7.46,6.19,4.93,1.00
12.22,6.82,6.10,10.07,9.12,5.60,8.60,7.38,9.91,5.64,6.77,9.38,6.18,7.07,7.10,9.13,12.54,3.71,5.06,9.63,0.00
9.15,4.01,6.12,8.22,7.17,4.36,8.00,9.34,8.56,11.74,5.75,4.97,6.97,10.52,7.29,7.90,10.80,4.47,6.42,8.76,0.00
