100132815_at,1365_at,1690_at,221120_at,27345_at,3625_at,5783_at,7620_at,79605_at,9590_at,label
7.01,3.91,4.43,8.70,7.05,7.29,8.20,6.88,4.07,6.95,1.00
5.68,3.93,5.00,8.50,5.28,5.43,7.43,6.05,4.46,7.37,1.00
7.89,4.01,11.26,8.90,5.16,4.51,4.38,6.91,4.19,11.01,1.00
4.64,4.61,4.33,8.52,6.24,4.10,8.45,4.44,4.77,8.07,1.00
6.72,4.03,6.65,8.83,10.25,4.33,7.39,4.82,4.13,9.99,1.00
4.21,4.00,4.46,6.81,8.39,5.94,9.74,4.42,6.59,10.03,0.00
7.85,3.97,4.74,7.90,5.17,4.62,9.15,4.78,4.00,6.90,1.00
9.15,3.93,4.75,8.77,5.61,4.70,7.96,7.66,4.01,4.77,1.00
7.47,4.32,8.69,7.59,8.20,4.74,4.45,4.02,4.09,4.69,1.00
7.21,3.85,4.79,8.36,5.17,4.41,8.16,6.31,3.81,9.51,1.00
8.22,4.00,10.40,8.60,8.19,4.76,4.46,3.77,4.27,4.84,1.00
8.64,5.11,4.86,8.84,6.02,11.90,5.15,6.70,4.35,5.35,0.00
7.53,7.81,6.88,4.22,4.82,10.76,7.83,4.84,5.44,4.55,0.00
4.51,3.85,4.64,9.00,5.68,5.01,7.56,4.08,4.01,8.96,0.00
6.35,5.74,7.27,8.31,7.62,6.72,4.64,5.53,4.03,9.55,0.00
6.74,5.51,8.80,8.89,8.72,4.82,5.60,5.78,3.91,8.73,1.00
7.13,4.30,8.19,9.11,5.90,7.81,6.71,5.36,4.41,7.39,1.00
5.98,8.43,5.16,7.37,8.60,9.10,6.70,5.43,3.91,6.43,0.00
5.76,9.19,8.47,8.01,8.00,4.38,7.78,5.24,8.26,8.36,0.00
5.44,9.12,5.44,8.13,7.78,5.20,7.19,4.72,4.47,9.78,0.00
5.24,3.85,8.59,8.55,5.57,5.37,8.29,4.65,5.91,9.46,0.00
6.96,3.94,9.83,9.38,7.22,4.22,7.38,6.02,5.45,4.22,1.00
5.72,6.89,5.10,9.26,7.06,5.08,7.85,5.11,4.34,12.25,0.00
4.33,4.29,8.43,9.23,8.85,8.61,8.09,3.95,4.24,9.19,0.00
7.52,4.01,10.40,8.15,9.96,4.32,4.68,5.73,4.02,4.68,1.00
6.34,4.27,4.56,8.98,9.57,4.59,4.38,4.38,4.40,7.94,0.00
5.95,9.65,7.65,8.50,5.06,9.11,8.51,5.15,6.54,7.44,0.00
6.78,3.80,11.34,9.52,4.85,4.33,7.32,6.50,5.97,4.62,1.00
8.46,6.85,8.87,7.87,7.24,4.68,6.86,5.37,6.74,8.72,0.00
4.05,4.28,4.87,8.85,5.48,4.48,6.25,3.95,4.06,11.18,0.00
6.51,3.84,9.59,7.77,5.01,4.38,6.26,4.76,4.47,8.62,1.00
7.19,4.04,9.69,8.83,4.87,4.44,8.18,5.62,3.91,4.78,1.00
8.49,4.09,10.18,9.20,5.06,5.85,4.98,7.29,8.01,4.71,1.00
5.52,3.89,7.95,9.30,6.47,4.19,8.00,3.80,5.39,8.79,1.00
8.02,3.81,4.50,8.70,6.68,4.46,4.82,6.60,4.93,7.76,1.00
6.77,4.07,5.37,9.19,5.62,5.06,5.08,5.72,6.82,11.39,0.00
6.48,4.11,4.73,9.27,4.71,5.63,4.70,4.41,4.03,6.20,1.00
5.01,7.88,10.54,6.49,7.27,4.39,9.93,4.39,9.47,6.22,0.00
7.06,4.14,10.02,8.85,7.32,4.59,6.97,5.28,4.04,4.98,1.00
4.91,3.96,4.39,9.10,6.08,6.22,9.69,5.00,5.44,6.83,1.00
8.27,5.25,11.16,9.20,9.82,5.96,5.87,3.73,10.15,5.27,0.00
5.46,4.12,4.77,4.96,4.61,6.13,7.14,4.48,6.50,4.57,0.00
6.84,6.45,4.94,8.44,7.88,11.38,8.79,4.84,6.47,4.91,0.00
6.89,8.28,6.52,8.44,8.99,11.41,8.17,5.01,5.84,4.58,0.00
4.19,4.29,7.88,8.50,5.10,7.30,5.63,4.24,5.26,11.13,0.00
6.03,11.27,5.59,9.88,8.22,8.09,7.32,5.94,3.72,5.44,0.00
6.33,8.00,10.15,8.23,5.24,4.70,6.88,3.86,4.39,5.29,0.00
7.03,7.58,6.25,8.17,6.92,6.55,8.81,5.75,6.53,6.23,0.00
8.84,8.00,10.08,8.40,7.77,7.30,8.05,5.09,4.59,9.97,1.00
6.79,4.98,10.50,8.59,5.25,4.61,7.11,5.69,3.62,6.56,1.00
7.78,6.77,9.39,7.78,9.50,8.17,10.44,6.42,8.95,9.48,0.00
6.71,4.17,10.92,9.48,6.82,10.52,4.74,5.88,4.00,9.13,1.00
6.47,4.03,4.67,8.63,4.97,5.66,9.68,4.03,4.09,7.84,1.00
7.10,4.12,5.01,9.27,9.09,5.02,4.99,4.22,3.81,4.76,0.00
7.13,3.81,4.51,8.77,7.50,4.44,7.32,6.76,5.84,7.57,1.00
3.62,5.48,10.25,9.35,5.73,6.88,8.05,4.13,5.24,10.15,0.00
5.26,4.07,4.93,8.99,6.94,7.72,8.41,6.20,4.11,8.26,1.00
5.25,4.03,4.98,9.09,5.69,5.61,8.12,6.37,4.01,9.20,1.00
5.81,3.99,5.04,8.95,6.20,4.66,7.51,4.99,5.83,8.95,0.00
7.81,4.01,11.88,4.23,11.34,5.20,9.01,5.62,3.96,4.35,0.00
6.57,11.15,4.54,8.97,4.92,4.52,8.55,6.25,3.93,4.67,1.00
8.54,3.75,10.28,8.25,8.06,4.73,8.17,7.13,8.41,11.07,1.00
6.12,3.75,8.23,9.09,5.00,4.59,7.45,4.31,4.02,9.91,1.00
7.68,6.76,10.22,8.74,9.70,4.83,7.64,6.19,5.81,7.17,1.00
6.88,3.82,6.71,9.66,5.07,4.80,6.04,5.60,6.21,8.35,1.00
4.50,4.26,4.57,7.61,5.48,4.55,10.15,5.86,7.64,10.14,0.00
7.68,8.38,10.64,7.91,7.44,6.05,4.32,6.51,5.28,6.24,0.00
6.06,4.00,5.52,9.21,6.07,10.35,4.98,6.57,6.91,11.32,0.00
8.79,3.87,10.48,6.47,7.20,5.67,7.33,5.56,5.13,4.85,1.00
7.21,3.85,5.84,4.45,5.75,4.48,8.31,6.06,5.98,4.88,1.00
7.68,4.17,9.60,7.23,8.90,4.92,5.30,4.57,4.54,9.02,0.00
5.10,4.01,11.63,9.05,5.28,4.36,7.12,3.76,4.05,10.24,1.00
8.18,3.74,10.26,10.33,8.60,4.59,4.39,5.53,6.02,5.03,1.00
6.49,3.91,7.14,9.41,5.96,4.44,8.78,4.75,3.86,4.86,1.00
6.26,3.93,4.83,10.09,4.74,5.08,9.27,4.47,5.28,5.38,0.00
5.83,3.97,8.80,9.35,7.93,4.47,4.45,3.79,6.93,4.71,0.00
8.43,4.05,10.97,8.75,5.07,4.67,7.02,7.48,3.91,10.96,1.00
6.46,3.84,12.16,9.46,5.62,4.29,9.75,5.43,3.88,4.84,1.00
6.36,4.06,10.52,9.50,8.40,4.78,9.06,4.05,4.32,4.68,1.00
7.41,4.03,9.66,8.29,7.04,4.64,9.43,5.31,7.48,10.13,0.00
7.29,3.78,8.13,9.23,6.84,4.17,7.17,4.77,3.70,4.58,1.00
5.03,5.66,9.24,9.20,7.17,5.24,7.90,5.07,5.20,4.86,1.00
8.65,4.37,4.54,9.47,5.96,4.88,6.87,4.45,4.51,4.71,1.00
4.01,4.61,4.52,8.87,7.67,4.91,8.23,4.35,4.09,9.64,0.00
7.44,3.84,10.26,9.24,5.77,4.31,7.79,7.35,4.48,4.64,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.91,7.50,4.71,8.70,6.84,8.77,7.78,6.40,3.94,6.53,0.00
5.45,3.90,9.63,8.06,6.53,4.46,8.37,5.20,4.98,7.90,1.00
6.18,4.17,9.69,9.15,5.18,4.55,6.48,7.18,4.19,5.93,1.00
6.64,3.93,6.00,7.65,6.44,4.83,6.88,4.61,7.02,6.97,1.00
6.12,4.04,7.18,8.13,8.72,4.33,7.65,4.70,3.93,9.51,0.00
5.20,4.21,9.41,8.79,8.80,5.49,8.51,4.41,6.31,9.30,0.00
3.95,4.16,4.70,9.55,7.56,4.74,9.28,4.23,5.29,6.61,1.00
6.18,3.91,4.74,9.54,5.68,4.72,8.29,4.13,4.15,4.43,1.00
7.39,6.46,7.60,9.10,7.28,11.07,7.88,5.21,4.01,9.88,0.00
6.39,9.01,4.49,7.80,5.09,4.93,9.34,7.67,3.93,4.78,1.00
6.75,3.96,8.58,8.90,7.55,4.63,6.59,4.86,4.64,10.62,1.00
7.00,4.21,9.96,4.46,9.77,4.34,4.62,5.70,4.18,4.83,0.00
7.04,10.96,5.83,7.91,5.35,8.65,7.79,3.82,4.99,4.71,0.00
8.03,4.06,10.14,9.16,8.55,6.25,9.09,6.96,6.52,8.54,1.00
6.70,5.57,4.64,9.24,5.38,11.11,8.12,5.02,5.08,4.67,0.00
5.86,3.74,4.72,9.95,4.98,4.99,4.13,6.12,4.59,9.63,0.00
7.09,8.20,5.61,10.09,5.58,10.21,7.74,6.43,7.11,4.35,1.00
