100132815_at,10406_at,10536_at,1236_at,1281_at,129607_at,1365_at,142678_at,153579_at,1690_at,170712_at,1839_at,221120_at,23641_at,2697_at,27345_at,28231_at,283897_at,339766_at,3625_at,5570_at,56994_at,57153_at,5783_at,6451_at,7620_at,79605_at,9308_at,9590_at,9603_at,label
7.01,4.16,7.00,4.05,4.31,4.13,3.91,6.15,3.79,4.43,10.05,7.09,8.70,4.39,11.41,7.05,8.27,3.47,3.55,7.29,3.60,9.43,6.73,8.20,10.00,6.88,4.07,7.33,6.95,6.13,1.00
5.68,5.14,6.99,3.97,13.28,5.93,3.93,6.21,4.13,5.00,3.72,7.68,8.50,10.13,12.85,5.28,5.41,4.13,3.50,5.43,3.87,10.00,7.07,7.43,10.37,6.05,4.46,6.86,7.37,3.96,1.00
7.89,4.11,3.86,8.43,4.03,7.84,4.01,5.26,7.85,11.26,3.89,8.20,8.90,5.70,12.14,5.16,8.40,9.66,3.58,4.51,3.49,10.10,7.25,4.38,10.58,6.91,4.19,9.65,11.01,3.59,1.00
4.64,5.68,6.72,3.65,6.24,10.87,4.61,5.88,3.87,4.33,10.56,7.19,8.52,9.32,12.57,6.24,4.78,8.73,3.39,4.10,6.12,8.90,7.04,8.45,10.25,4.44,4.77,8.86,8.07,5.87,1.00
6.72,5.27,7.87,4.06,5.33,6.78,4.03,6.26,4.09,6.65,3.68,6.01,8.83,9.60,3.59,10.25,6.39,3.42,3.62,4.33,3.69,10.92,8.03,7.39,10.37,4.82,4.13,7.28,9.99,9.64,1.00
4.21,8.65,5.11,4.18,7.70,5.44,4.00,8.49,6.85,4.46,4.36,6.39,6.81,4.67,12.56,8.39,7.62,3.46,10.06,5.94,3.56,9.12,7.24,9.74,3.77,4.42,6.59,7.02,10.03,7.40,0.00
7.85,4.64,6.01,3.78,11.65,4.35,3.97,5.80,8.69,4.74,3.89,6.10,7.90,7.66,13.48,5.17,7.75,3.54,3.66,4.62,3.47,10.15,6.36,9.15,10.42,4.78,4.00,6.29,6.90,4.65,1.00
9.15,4.51,3.85,9.56,3.68,11.39,3.93,6.69,3.83,4.75,3.84,9.20,8.77,5.10,4.23,5.61,8.68,10.56,3.53,4.70,3.70,6.17,7.82,7.96,11.26,7.66,4.01,7.36,4.77,3.72,1.00
7.47,4.39,4.67,4.23,3.82,4.44,4.32,9.37,3.84,8.69,4.05,5.67,7.59,5.27,4.37,8.20,9.35,9.32,3.73,4.74,3.66,9.25,3.96,4.45,9.54,4.02,4.09,6.99,4.69,8.17,1.00
7.21,4.49,4.74,4.09,12.36,4.22,3.85,5.79,8.19,4.79,3.50,6.40,8.36,4.98,13.69,5.17,7.84,3.34,3.61,4.41,3.60,9.64,6.33,8.16,4.59,6.31,3.81,7.77,9.51,7.17,1.00
8.22,4.02,4.24,4.10,3.86,6.92,4.00,6.75,10.49,10.40,3.72,6.70,8.60,4.81,4.15,8.19,7.78,4.10,4.02,4.76,3.65,9.18,6.73,4.46,10.70,3.77,4.27,10.21,4.84,6.21,1.00
8.64,5.54,4.39,3.55,3.76,4.53,5.11,6.02,8.04,4.86,9.05,5.99,8.84,10.31,3.29,6.02,8.20,3.26,4.41,11.90,7.13,9.80,9.13,5.15,7.42,6.70,4.35,6.71,5.35,4.36,0.00
7.53,4.40,4.25,4.08,3.78,6.26,7.81,5.51,4.06,6.88,3.77,5.40,4.22,8.53,3.44,4.82,7.54,3.25,3.61,10.76,8.65,10.19,8.79,7.83,10.16,4.84,5.44,5.83,4.55,4.41,0.00
4.51,4.83,5.34,3.96,3.66,6.69,3.85,5.84,3.74,4.64,3.71,7.11,9.00,4.64,3.60,5.68,7.59,3.50,3.46,5.01,5.09,11.78,7.32,7.56,10.61,4.08,4.01,7.70,8.96,5.47,0.00
6.35,4.22,5.29,3.98,3.75,4.47,5.74,6.64,4.20,7.27,3.60,6.40,8.31,4.70,4.18,7.62,8.48,3.53,3.68,6.72,3.77,12.24,4.14,4.64,6.21,5.53,4.03,5.98,9.55,7.45,0.00
6.74,8.75,4.30,4.13,3.81,5.15,5.51,5.29,4.18,8.80,3.38,8.86,8.89,10.03,3.84,8.72,6.50,3.41,3.78,4.82,3.51,10.40,10.05,5.60,7.65,5.78,3.91,7.62,8.73,8.27,1.00
7.13,5.10,7.13,3.93,12.61,6.42,4.30,7.07,4.00,8.19,3.69,8.31,9.11,9.44,12.21,5.90,4.34,3.42,3.51,7.81,4.10,10.11,6.85,6.71,10.34,5.36,4.41,6.95,7.39,4.93,1.00
5.98,13.27,5.85,3.94,5.06,7.20,8.43,5.98,3.96,5.16,3.76,9.12,7.37,10.81,5.30,8.60,7.38,3.45,4.06,9.10,8.99,9.98,9.13,6.70,10.88,5.43,3.91,8.85,6.43,9.63,0.00
5.76,10.16,3.82,4.00,3.65,7.98,9.19,5.66,5.19,8.47,3.77,7.17,8.01,5.29,12.53,8.00,9.34,3.55,3.65,4.38,7.55,10.36,7.90,7.78,10.46,5.24,8.26,7.60,8.36,8.76,0.00
5.44,11.61,4.03,3.69,3.76,7.46,9.12,6.08,4.03,5.44,3.75,9.55,8.13,9.98,3.37,7.78,8.82,7.13,3.52,5.20,4.42,7.61,8.94,7.19,10.66,4.72,4.47,8.47,9.78,9.31,0.00
5.24,5.02,6.29,3.58,6.44,4.35,3.85,6.14,3.60,8.59,3.90,9.24,8.55,5.54,12.60,5.57,6.61,3.51,3.54,5.37,6.78,9.73,7.00,8.29,10.75,4.65,5.91,6.34,9.46,6.50,0.00
6.96,4.18,3.93,3.75,3.66,11.06,3.94,7.44,4.04,9.83,3.54,5.49,9.38,4.91,3.60,7.22,9.00,10.06,3.52,4.22,3.67,10.18,7.52,7.38,12.29,6.02,5.45,9.26,4.22,5.69,1.00
5.72,9.16,4.28,4.12,3.72,4.11,6.89,9.68,5.29,5.10,3.83,10.46,9.26,11.05,10.68,7.06,10.26,3.77,3.79,5.08,7.21,9.57,7.95,7.85,8.63,5.11,4.34,7.71,12.25,7.97,0.00
4.33,9.80,3.95,3.91,3.97,5.68,4.29,6.54,4.36,8.43,3.60,7.13,9.23,4.23,10.48,8.85,8.30,3.35,3.41,8.61,3.90,9.48,8.23,8.09,8.41,3.95,4.24,7.59,9.19,6.12,0.00
7.52,4.74,4.22,4.90,3.78,7.65,4.01,6.70,11.58,10.40,3.55,6.27,8.15,5.23,4.50,9.96,8.44,9.52,3.55,4.32,3.91,9.60,7.67,4.68,11.14,5.73,4.02,10.92,4.68,6.05,1.00
6.34,10.33,4.12,3.97,3.72,5.46,4.27,6.28,4.08,4.56,3.62,11.44,8.98,10.45,3.74,9.57,10.04,3.46,3.66,4.59,5.55,8.42,6.95,4.38,9.11,4.38,4.40,7.80,7.94,8.62,0.00
5.95,9.76,5.32,4.11,3.62,9.22,9.65,6.21,4.45,7.65,3.30,8.16,8.50,10.16,10.69,5.06,9.72,3.37,3.55,9.11,4.69,9.97,4.33,8.51,9.08,5.15,6.54,7.74,7.44,7.18,0.00
6.78,4.56,5.30,3.90,3.78,5.24,3.80,6.31,3.89,11.34,3.77,6.41,9.52,4.84,3.89,4.85,9.00,10.11,3.75,4.33,3.53,9.84,4.87,7.32,10.87,6.50,5.97,8.94,4.62,4.64,1.00
8.46,4.14,4.17,3.89,3.74,5.27,6.85,6.20,5.10,8.87,3.59,7.31,7.87,9.14,4.35,7.24,7.83,3.41,4.07,4.68,3.56,10.51,6.30,6.86,10.21,5.37,6.74,6.37,8.72,4.98,0.00
4.05,4.52,6.65,3.83,3.84,4.50,4.28,5.35,4.17,4.87,3.73,10.55,8.85,5.17,3.70,5.48,9.16,3.41,3.71,4.48,3.69,10.51,5.34,6.25,10.16,3.95,4.06,7.16,11.18,7.64,0.00
6.51,5.24,6.25,3.99,3.79,10.16,3.84,5.52,3.85,9.59,3.49,7.68,7.77,8.65,11.05,5.01,9.04,3.18,3.66,4.38,3.81,10.14,6.02,6.26,10.10,4.76,4.47,7.33,8.62,8.77,1.00
7.19,4.42,4.76,3.99,3.67,11.38,4.04,7.06,3.87,9.69,3.82,5.97,8.83,5.31,3.30,4.87,5.42,8.29,3.59,4.44,7.77,12.66,8.13,8.18,11.44,5.62,3.91,7.36,4.78,6.80,1.00
8.49,4.35,7.51,4.14,3.72,4.38,4.09,6.51,4.12,10.18,8.54,7.18,9.20,5.12,3.85,5.06,9.44,3.86,3.63,5.85,7.66,9.96,6.09,4.98,3.78,7.29,8.01,7.13,4.71,6.71,1.00
5.52,4.35,5.60,3.86,3.62,7.30,3.89,5.40,3.81,7.95,4.39,6.59,9.30,8.76,3.52,6.47,8.02,3.35,3.67,4.19,4.37,11.32,6.58,8.00,10.26,3.80,5.39,9.88,8.79,6.26,1.00
8.02,4.12,5.85,3.78,11.48,4.12,3.81,6.10,6.99,4.50,3.65,9.04,8.70,5.41,13.02,6.68,7.25,3.61,3.82,4.46,3.67,10.65,5.74,4.82,9.86,6.60,4.93,5.32,7.76,9.02,1.00
6.77,4.72,3.97,3.96,3.84,5.63,4.07,5.75,3.61,5.37,7.43,10.76,9.19,9.02,10.82,5.62,8.59,3.46,3.57,5.06,4.01,11.19,5.54,5.08,9.77,5.72,6.82,8.38,11.39,8.53,0.00
