100132815_at,1001_at,10406_at,10536_at,1236_at,1281_at,129607_at,1365_at,142678_at,153579_at,1690_at,170712_at,171425_at,1839_at,221120_at,23066_at,23462_at,23641_at,2697_at,27345_at,28231_at,283897_at,29899_at,339766_at,3625_at,3655_at,4013_at,401494_at,481_at,5168_at,5266_at,54843_at,54947_at,5570_at,56994_at,57153_at,5783_at,5962_at,6451_at,645323_at,7058_at,7298_at,7620_at,79605_at,83468_at,83729_at,9180_at,9308_at,9590_at,9603_at,label
7.01,5.57,4.16,7.00,4.05,4.31,4.13,3.91,6.15,3.79,4.43,10.05,5.29,7.09,8.70,4.44,7.81,4.39,11.41,7.05,8.27,3.47,10.18,3.55,7.29,9.67,6.17,3.79,9.70,9.37,4.22,4.95,4.21,3.60,9.43,6.73,8.20,9.21,10.00,7.42,4.88,13.31,6.88,4.07,9.33,9.52,8.41,7.33,6.95,6.13,1.00
5.68,5.83,5.14,6.99,3.97,13.28,5.93,3.93,6.21,4.13,5.00,3.72,4.65,7.68,8.50,5.12,5.40,10.13,12.85,5.28,5.41,4.13,9.49,3.50,5.43,7.54,6.28,4.03,10.36,10.62,4.21,10.34,4.45,3.87,10.00,7.07,7.43,10.23,10.37,4.21,4.69,12.80,6.05,4.46,10.63,4.30,8.80,6.86,7.37,3.96,1.00
7.89,5.33,4.11,3.86,8.43,4.03,7.84,4.01,5.26,7.85,11.26,3.89,6.73,8.20,8.90,7.07,5.40,5.70,12.14,5.16,8.40,9.66,9.40,3.58,4.51,7.50,5.55,4.25,8.62,4.33,4.20,4.87,4.46,3.49,10.10,7.25,4.38,9.49,10.58,3.97,4.39,13.21,6.91,4.19,4.35,3.91,4.63,9.65,11.01,3.59,1.00
4.64,5.19,5.68,6.72,3.65,6.24,10.87,4.61,5.88,3.87,4.33,10.56,5.38,7.19,8.52,7.23,8.58,9.32,12.57,6.24,4.78,8.73,8.96,3.39,4.10,7.64,7.62,8.63,11.38,8.98,4.24,7.33,4.29,6.12,8.90,7.04,8.45,8.26,10.25,5.03,5.71,12.37,4.44,4.77,9.62,10.98,8.55,8.86,8.07,5.87,1.00
6.72,5.94,5.27,7.87,4.06,5.33,6.78,4.03,6.26,4.09,6.65,3.68,6.54,6.01,8.83,8.79,4.89,9.60,3.59,10.25,6.39,3.42,10.43,3.62,4.33,8.22,5.30,6.68,5.42,3.91,3.96,10.73,4.63,3.69,10.92,8.03,7.39,8.93,10.37,4.04,5.09,13.19,4.82,4.13,5.33,4.09,8.10,7.28,9.99,9.64,1.00
4.21,11.79,8.65,5.11,4.18,7.70,5.44,4.00,8.49,6.85,4.46,4.36,4.96,6.39,6.81,4.63,7.67,4.67,12.56,8.39,7.62,3.46,9.74,10.06,5.94,11.78,7.51,8.13,11.60,3.99,9.15,4.53,8.11,3.56,9.12,7.24,9.74,9.02,3.77,4.33,5.11,11.82,4.42,6.59,6.15,4.32,9.12,7.02,10.03,7.40,0.00
7.85,6.02,4.64,6.01,3.78,11.65,4.35,3.97,5.80,8.69,4.74,3.89,5.42,6.10,7.90,8.03,8.93,7.66,13.48,5.17,7.75,3.54,7.63,3.66,4.62,5.90,5.29,3.75,6.17,3.86,4.09,4.93,4.41,3.47,10.15,6.36,9.15,9.77,10.42,4.26,4.70,13.05,4.78,4.00,11.64,9.07,4.63,6.29,6.90,4.65,1.00
9.15,5.48,4.51,3.85,9.56,3.68,11.39,3.93,6.69,3.83,4.75,3.84,6.66,9.20,8.77,4.60,5.31,5.10,4.23,5.61,8.68,10.56,9.23,3.53,4.70,7.09,5.64,3.93,7.23,4.07,3.99,4.45,4.67,3.70,6.17,7.82,7.96,4.55,11.26,4.06,4.54,13.54,7.66,4.01,4.31,4.37,4.44,7.36,4.77,3.72,1.00
7.47,5.93,4.39,4.67,4.23,3.82,4.44,4.32,9.37,3.84,8.69,4.05,7.37,5.67,7.59,6.71,6.98,5.27,4.37,8.20,9.35,9.32,7.72,3.73,4.74,8.77,6.68,4.29,5.65,4.01,4.38,5.04,5.13,3.66,9.25,3.96,4.45,10.25,9.54,5.18,4.92,13.22,4.02,4.09,4.72,11.11,4.73,6.99,4.69,8.17,1.00
7.21,5.94,4.49,4.74,4.09,12.36,4.22,3.85,5.79,8.19,4.79,3.50,5.92,6.40,8.36,8.78,9.23,4.98,13.69,5.17,7.84,3.34,8.70,3.61,4.41,7.53,5.34,4.44,6.31,3.87,4.11,5.52,4.88,3.60,9.64,6.33,8.16,10.14,4.59,3.90,5.03,12.57,6.31,3.81,4.73,4.13,6.85,7.77,9.51,7.17,1.00
8.22,5.22,4.02,4.24,4.10,3.86,6.92,4.00,6.75,10.49,10.40,3.72,5.42,6.70,8.60,7.55,5.27,4.81,4.15,8.19,7.78,4.10,9.10,4.02,4.76,4.15,5.45,4.16,5.96,4.22,4.20,8.45,4.45,3.65,9.18,6.73,4.46,4.33,10.70,5.98,4.89,13.07,3.77,4.27,4.30,4.27,4.64,10.21,4.84,6.21,1.00
8.64,12.44,5.54,4.39,3.55,3.76,4.53,5.11,6.02,8.04,4.86,9.05,4.51,5.99,8.84,4.77,5.50,10.31,3.29,6.02,8.20,3.26,10.56,4.41,11.90,8.54,8.40,4.16,10.86,4.07,6.80,8.25,8.23,7.13,9.80,9.13,5.15,10.39,7.42,4.91,4.81,12.07,6.70,4.35,8.31,3.87,9.41,6.71,5.35,4.36,0.00
7.53,6.89,4.40,4.25,4.08,3.78,6.26,7.81,5.51,4.06,6.88,3.77,5.81,5.40,4.22,4.74,5.19,8.53,3.44,4.82,7.54,3.25,9.04,3.61,10.76,7.13,5.17,3.90,11.93,3.93,6.24,8.09,4.24,8.65,10.19,8.79,7.83,6.39,10.16,4.65,4.75,11.94,4.84,5.44,3.97,3.61,5.08,5.83,4.55,4.41,0.00
4.51,6.61,4.83,5.34,3.96,3.66,6.69,3.85,5.84,3.74,4.64,3.71,5.99,7.11,9.00,6.15,11.56,4.64,3.60,5.68,7.59,3.50,7.91,3.46,5.01,10.35,9.74,3.87,11.31,11.50,4.25,10.84,9.07,5.09,11.78,7.32,7.56,8.74,10.61,5.08,12.19,12.72,4.08,4.01,5.15,4.19,9.02,7.70,8.96,5.47,0.00
