1365_at,144501_at,221120_at,23216_at,27345_at,2810_at,28231_at,4013_at,57613_at,64798_at,83468_at,84870_at,92745_at,label
3.91,6.87,8.70,5.53,7.05,9.69,8.27,6.17,6.06,6.09,9.33,3.99,4.42,1.00
3.93,5.87,8.50,6.09,5.28,6.70,5.41,6.28,6.39,8.44,10.63,3.88,4.51,1.00
4.01,4.82,8.90,7.74,5.16,6.92,8.40,5.55,6.90,5.30,4.35,3.91,8.27,1.00
4.61,9.31,8.52,6.31,6.24,7.93,4.78,7.62,6.84,5.89,9.62,4.16,4.33,1.00
4.03,5.01,8.83,6.50,10.25,13.28,6.39,5.30,5.19,5.38,5.33,5.31,4.35,1.00
4.00,6.80,6.81,5.31,8.39,14.12,7.62,7.51,6.58,6.57,6.15,3.94,4.32,0.00
3.97,4.93,7.90,6.21,5.17,6.64,7.75,5.29,7.78,4.45,11.64,4.59,4.63,1.00
3.93,4.74,8.77,7.33,5.61,6.77,8.68,5.64,5.19,4.44,4.31,4.19,8.19,1.00
4.32,5.15,7.59,5.75,8.20,10.97,9.35,6.68,7.01,9.78,4.72,4.23,10.72,1.00
3.85,5.38,8.36,6.34,5.17,7.83,7.84,5.34,6.80,4.84,4.73,5.60,4.13,1.00
4.00,5.12,8.60,8.67,8.19,7.25,7.78,5.45,5.59,10.34,4.30,4.29,6.58,1.00
5.11,10.06,8.84,7.22,6.02,12.60,8.20,8.40,6.83,5.02,8.31,3.73,4.61,0.00
7.81,7.85,4.22,5.01,4.82,10.29,7.54,5.17,7.63,9.83,3.97,3.55,4.09,0.00
3.85,5.85,9.00,5.97,5.68,6.73,7.59,9.74,7.63,6.55,5.15,3.85,4.33,0.00
5.74,6.78,8.31,6.22,7.62,11.64,8.48,7.18,5.41,5.37,4.17,4.08,8.12,0.00
5.51,9.47,8.89,5.59,8.72,14.03,6.50,5.81,6.42,4.66,9.23,4.94,4.45,1.00
4.30,6.91,9.11,6.56,5.90,6.36,4.34,7.56,6.54,7.74,9.16,4.25,4.40,1.00
8.43,9.90,7.37,6.30,8.60,12.49,7.38,6.77,7.61,4.51,5.66,3.95,5.08,0.00
9.19,8.35,8.01,5.85,8.00,11.64,9.34,5.75,6.23,5.62,4.38,4.06,4.28,0.00
9.12,9.80,8.13,6.81,7.78,13.31,8.82,9.87,6.77,4.93,4.03,3.79,4.53,0.00
3.85,5.25,8.55,5.88,5.57,6.41,6.61,7.69,7.38,5.43,9.78,9.89,4.46,0.00
3.94,4.13,9.38,6.37,7.22,6.36,9.00,8.42,6.70,11.34,4.09,3.74,8.67,1.00
6.89,9.65,9.26,6.90,7.06,13.40,10.26,5.63,7.28,6.86,4.50,4.00,7.64,0.00
4.29,10.91,9.23,6.36,8.85,13.20,8.30,8.93,6.69,6.73,5.81,3.97,4.21,0.00
4.01,4.95,8.15,9.41,9.96,7.15,8.44,5.75,6.47,9.31,4.41,4.02,7.49,1.00
4.27,8.76,8.98,5.79,9.57,13.51,10.04,5.58,8.61,4.77,9.47,3.83,4.39,0.00
9.65,10.93,8.50,5.72,5.06,11.37,9.72,5.63,6.36,7.04,6.10,3.89,4.49,0.00
3.80,4.73,9.52,7.75,4.85,6.11,9.00,5.79,6.52,6.58,4.51,4.18,8.83,1.00
6.85,4.82,7.87,5.92,7.24,6.68,7.83,7.66,7.58,6.49,8.01,3.89,4.24,0.00
4.28,7.58,8.85,6.71,5.48,6.29,9.16,5.60,7.09,5.05,6.11,4.17,4.73,0.00
3.84,10.73,7.77,6.65,5.01,9.61,9.04,5.22,6.70,5.11,6.93,3.81,6.58,1.00
4.04,4.95,8.83,5.16,4.87,6.51,5.42,5.24,8.34,9.18,4.28,3.81,8.35,1.00
4.09,4.97,9.20,5.91,5.06,10.93,9.44,6.47,5.96,7.83,4.25,3.90,4.54,1.00
3.89,4.75,9.30,5.61,6.47,6.47,8.02,6.51,6.93,8.04,8.25,3.81,4.29,1.00
3.81,5.22,8.70,6.05,6.68,11.10,7.25,5.23,9.44,4.44,9.47,7.07,7.99,1.00
4.07,8.76,9.19,6.61,5.62,6.74,8.59,6.56,6.98,5.19,4.20,4.18,4.60,0.00
4.11,9.77,9.27,6.17,4.71,8.21,5.51,6.09,6.53,7.26,9.40,3.93,4.84,1.00
7.88,9.12,6.49,5.24,7.27,11.28,7.94,6.83,7.88,7.79,7.69,4.35,4.86,0.00
4.14,4.97,8.85,8.61,7.32,6.46,7.65,5.60,5.61,7.82,4.30,3.82,6.83,1.00
3.96,8.71,9.10,6.85,6.08,7.87,7.95,8.56,6.76,8.05,10.04,3.57,4.13,1.00
5.25,8.47,9.20,5.85,9.82,6.81,4.52,6.68,8.86,6.50,5.48,7.42,4.35,0.00
4.12,5.08,4.96,7.73,4.61,9.28,8.51,5.71,6.09,6.99,4.37,3.75,4.36,0.00
6.45,8.50,8.44,6.51,7.88,13.70,7.59,7.67,5.73,8.15,4.29,3.99,4.64,0.00
8.28,10.39,8.44,5.16,8.99,12.36,9.57,7.16,6.94,8.78,4.40,3.71,4.48,0.00
4.29,9.72,8.50,6.00,5.10,10.49,10.49,5.96,7.14,4.66,6.37,4.52,7.15,0.00
11.27,7.36,9.88,5.74,8.22,12.67,11.56,6.30,5.46,8.24,4.22,3.65,4.22,0.00
8.00,10.44,8.23,6.54,5.24,13.06,9.65,9.67,6.40,5.04,4.35,3.87,4.60,0.00
7.58,11.27,8.17,6.60,6.92,12.61,8.70,5.78,7.44,5.36,5.46,4.09,4.24,0.00
8.00,10.28,8.40,6.70,7.77,11.99,7.10,5.77,6.47,5.18,6.49,4.26,7.59,1.00
4.98,8.32,8.59,6.06,5.25,11.93,8.52,5.25,6.70,8.19,4.36,3.80,4.70,1.00
6.77,8.70,7.78,5.67,9.50,11.54,8.65,7.27,7.08,7.63,6.57,3.81,4.13,0.00
4.17,7.62,9.48,6.37,6.82,7.40,4.69,5.86,6.07,5.14,4.37,3.75,4.42,1.00
4.03,5.08,8.63,6.14,4.97,7.63,7.94,5.76,7.27,10.14,8.72,3.80,4.35,1.00
4.12,5.51,9.27,4.54,9.09,6.76,8.11,5.99,6.97,5.43,4.76,4.09,8.24,0.00
3.81,6.04,8.77,6.22,7.50,5.98,9.37,7.04,6.82,10.72,4.09,3.82,4.30,1.00
5.48,9.85,9.35,6.99,5.73,6.83,8.72,5.30,7.27,6.53,6.05,3.72,4.79,0.00
4.07,5.25,8.99,6.17,6.94,6.30,4.82,7.03,6.37,8.39,10.86,5.57,6.92,1.00
