10360_at,3306_at,374819_at,4055_at,4233_at,50853_at,6382_at,6451_at,9111_at,91607_at,label
7.64,5.92,6.27,6.66,9.01,4.19,11.12,10.00,8.86,9.07,1.00
7.88,7.17,4.13,4.57,8.56,4.58,8.82,10.37,8.67,8.37,1.00
8.11,6.13,4.84,8.73,9.49,3.89,9.26,9.15,9.30,8.84,1.00
6.93,5.53,5.65,5.18,4.77,6.23,5.16,10.58,11.11,9.36,1.00
6.30,5.75,3.14,7.14,9.04,4.60,9.37,9.72,8.79,5.68,1.00
6.82,12.19,3.92,7.07,9.01,4.63,10.16,3.77,10.42,6.64,1.00
8.49,4.73,4.11,4.94,4.89,4.37,9.17,10.42,10.67,3.49,1.00
8.22,11.20,4.96,8.90,9.83,4.49,10.42,9.93,9.55,6.44,0.00
7.26,9.50,6.24,7.15,4.37,4.63,5.12,10.31,11.95,9.09,1.00
7.16,4.80,6.17,4.61,4.74,7.00,5.24,11.26,11.23,9.74,1.00
8.22,5.07,3.89,4.98,7.86,4.62,14.36,9.54,5.87,3.57,1.00
9.91,4.58,8.30,7.84,4.82,4.33,9.54,11.60,4.55,3.91,0.00
7.73,7.54,5.55,8.84,11.83,6.87,11.39,9.99,10.79,3.84,0.00
8.84,4.53,5.17,4.61,5.30,4.05,8.84,4.59,4.52,3.75,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.46,4.67,4.35,4.81,4.76,5.68,6.37,10.56,10.00,7.77,1.00
8.71,7.30,5.73,5.20,5.20,5.09,5.04,10.70,9.66,3.95,1.00
7.44,5.47,4.76,8.06,7.33,4.33,9.91,10.16,8.63,3.78,0.00
8.28,9.29,5.11,8.31,8.85,4.52,8.96,9.75,9.41,7.12,1.00
8.23,7.47,4.73,8.47,8.81,7.07,8.12,9.17,8.59,3.82,0.00
8.02,9.85,7.55,8.92,11.11,4.20,9.81,9.91,10.15,4.01,0.00
7.71,7.01,7.22,6.98,4.67,4.02,9.06,10.03,3.76,3.65,0.00
8.05,10.97,5.73,8.91,11.46,7.72,9.91,10.66,11.00,3.77,0.00
5.93,5.11,7.04,4.86,9.97,4.00,10.21,10.75,8.23,4.32,0.00
9.15,4.94,5.59,4.86,4.73,6.04,5.16,10.62,11.00,6.84,1.00
8.09,7.08,4.98,8.11,4.35,6.36,4.99,12.29,11.99,8.71,1.00
7.91,7.40,4.48,7.72,8.29,6.24,11.64,9.96,11.10,3.85,1.00
6.76,8.53,6.65,8.15,10.63,4.11,9.58,11.17,9.48,3.77,0.00
7.73,7.59,6.38,9.52,10.46,3.96,9.52,9.88,9.78,3.83,0.00
7.36,7.46,7.92,8.37,10.71,4.22,6.07,7.71,10.36,6.86,0.00
7.40,4.59,4.66,7.62,8.13,4.40,5.57,10.20,11.42,8.21,1.00
6.99,6.86,4.60,8.74,12.03,4.84,9.39,8.41,10.40,6.29,0.00
5.19,4.92,5.61,5.99,8.19,4.53,9.02,10.59,9.00,6.35,0.00
7.91,6.65,5.83,4.72,4.27,6.26,5.97,11.14,9.53,5.30,1.00
8.14,4.48,4.95,8.46,9.29,4.98,7.65,9.08,10.81,3.67,0.00
7.84,4.71,4.80,7.16,4.34,6.43,5.10,10.87,10.89,9.78,1.00
8.06,8.08,5.41,7.67,7.11,5.34,8.84,10.21,4.51,3.71,0.00
8.91,7.86,3.51,7.78,9.64,4.34,10.44,10.16,8.99,7.90,1.00
7.74,4.95,6.20,7.63,9.15,4.30,8.68,10.10,10.30,8.74,1.00
8.25,6.97,8.11,8.26,4.33,4.48,5.24,11.44,10.60,4.74,0.00
7.13,8.33,5.23,8.99,5.17,4.83,10.18,3.78,7.41,4.24,0.00
8.23,9.69,3.90,5.00,8.18,4.10,6.62,10.50,6.49,3.29,0.00
9.13,5.06,5.62,5.56,4.38,4.92,8.25,9.86,4.05,3.49,1.00
9.10,7.99,5.16,5.36,4.51,4.53,10.57,10.10,4.85,3.91,1.00
7.01,6.39,5.79,5.19,10.70,4.31,7.84,9.77,8.55,6.17,0.00
7.01,5.57,8.46,5.87,7.79,4.03,9.34,9.04,8.73,8.29,1.00
8.22,7.65,6.80,8.31,9.61,4.55,6.09,10.52,10.16,5.68,0.00
7.91,6.53,4.77,8.78,8.90,4.75,9.32,6.03,9.60,6.99,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.06,9.03,4.87,4.54,9.55,4.36,8.20,10.92,10.04,3.90,0.00
7.36,5.27,4.13,4.87,4.57,5.08,9.04,11.70,11.12,8.41,1.00
6.93,8.66,6.05,8.97,8.91,4.19,10.65,9.62,9.50,4.88,0.00
7.89,5.26,5.02,8.88,6.91,5.42,9.73,10.08,8.89,4.08,0.00
6.78,8.74,4.37,8.64,9.77,6.20,9.31,9.93,10.45,7.55,1.00
4.42,7.76,5.81,9.00,9.55,4.00,10.60,7.10,10.88,4.09,0.00
6.25,7.86,4.68,8.49,10.22,4.04,10.62,10.10,11.12,3.68,0.00
8.17,6.25,6.25,8.63,9.59,7.03,9.47,7.70,9.11,3.33,0.00
7.78,6.16,4.80,8.88,10.62,5.41,9.67,10.02,10.63,8.78,1.00
7.05,6.11,5.51,8.89,10.66,4.15,8.90,10.41,10.43,5.46,0.00
8.40,7.18,5.28,6.70,10.13,4.86,9.89,11.27,9.76,8.08,1.00
6.33,6.21,3.78,7.94,8.64,4.47,8.62,6.58,5.89,3.59,0.00
7.34,7.94,6.47,8.29,8.73,5.06,8.99,10.61,8.74,8.10,0.00
7.43,10.24,4.69,8.10,9.80,4.23,9.25,10.21,8.51,3.93,0.00
7.69,8.88,5.39,8.61,10.26,4.27,10.83,10.41,10.18,3.86,0.00
7.33,8.50,6.28,9.27,9.03,4.99,8.88,10.46,8.65,7.74,0.00
7.20,11.87,7.91,8.54,5.12,5.15,6.14,10.73,8.83,9.05,0.00
7.09,7.12,5.00,8.34,8.40,4.65,7.70,11.03,9.07,7.26,0.00
7.26,9.30,5.34,8.39,8.77,4.20,8.99,10.70,3.67,3.64,0.00
7.35,9.48,6.49,8.83,6.76,4.88,7.38,10.07,8.46,5.04,0.00
5.56,5.08,3.46,8.16,9.04,5.23,8.31,8.33,9.87,3.55,0.00
6.55,8.04,4.92,8.18,9.34,3.88,11.33,9.10,10.97,3.69,0.00
8.74,5.08,3.24,4.82,4.78,5.96,5.44,11.00,8.00,4.02,1.00
7.44,8.90,10.06,9.41,10.62,8.10,9.05,9.06,10.13,3.73,0.00
7.98,5.98,5.37,8.59,10.68,9.91,10.07,9.05,10.53,7.86,1.00
8.35,7.05,4.84,5.11,5.27,5.50,5.47,10.53,11.15,8.73,1.00
6.90,8.12,6.08,4.93,4.50,5.80,6.62,3.48,4.48,3.63,1.00
9.04,7.81,5.72,8.02,7.90,4.16,8.32,10.08,10.51,9.30,1.00
7.97,4.61,4.92,8.52,10.50,4.30,10.01,3.70,10.14,6.89,1.00
7.66,7.62,3.88,8.94,9.32,5.74,9.87,8.97,9.65,6.84,1.00
5.80,5.73,4.21,8.16,8.89,4.25,9.05,9.88,10.37,3.70,0.00
8.15,9.24,4.69,8.25,4.81,4.17,10.65,11.41,9.62,3.67,1.00
7.87,5.07,5.10,5.01,4.46,7.42,5.24,10.44,10.54,8.37,1.00
6.63,4.84,4.67,4.98,4.53,4.31,5.96,10.77,11.40,8.29,1.00
6.70,5.10,5.04,4.76,9.52,6.54,7.29,11.70,10.60,3.70,1.00
7.09,7.33,4.39,5.17,4.56,6.72,5.30,10.97,10.99,9.23,1.00
7.88,4.46,5.79,7.23,4.11,5.13,4.58,10.54,11.04,3.73,1.00
7.18,5.05,5.03,8.75,9.30,6.65,10.52,6.23,9.19,3.38,0.00
8.14,5.77,4.40,5.74,4.98,4.49,8.60,10.98,10.92,7.68,1.00
8.36,4.48,4.30,5.29,6.50,7.09,9.99,9.49,7.66,8.09,1.00
9.54,9.35,8.02,5.82,8.01,4.25,6.21,10.19,9.82,3.78,0.00
7.69,4.64,4.53,5.20,4.69,4.57,9.29,10.10,8.41,5.68,1.00
