10360_at,182_at,26471_at,26999_at,3306_at,374819_at,4055_at,4233_at,4237_at,50853_at,5099_at,56938_at,6382_at,6451_at,8673_at,8706_at,9111_at,91607_at,93099_at,93100_at,label
7.64,6.68,10.43,6.97,5.92,6.27,6.66,9.01,10.88,4.19,4.48,9.78,11.12,10.00,3.61,3.56,8.86,9.07,3.94,5.82,1.00
7.88,8.79,9.19,4.59,7.17,4.13,4.57,8.56,11.03,4.58,4.09,8.07,8.82,10.37,3.33,4.19,8.67,8.37,6.56,5.11,1.00
8.11,4.46,5.07,6.62,6.13,4.84,8.73,9.49,9.82,3.89,4.35,10.37,9.26,9.15,9.17,7.89,9.30,8.84,10.22,6.38,1.00
6.93,4.72,4.21,10.46,5.53,5.65,5.18,4.77,5.16,6.23,4.39,8.03,5.16,10.58,3.68,3.46,11.11,9.36,3.91,7.06,1.00
6.30,7.90,5.25,4.97,5.75,3.14,7.14,9.04,9.72,4.60,4.83,10.00,9.37,9.72,6.92,7.70,8.79,5.68,3.90,7.69,1.00
6.82,9.40,5.15,4.32,12.19,3.92,7.07,9.01,9.01,4.63,6.91,7.71,10.16,3.77,11.49,6.73,10.42,6.64,9.66,8.94,1.00
8.49,6.93,9.40,6.12,4.73,4.11,4.94,4.89,11.13,4.37,5.39,5.30,9.17,10.42,6.89,4.03,10.67,3.49,7.03,5.44,1.00
8.22,9.11,9.12,7.34,11.20,4.96,8.90,9.83,5.20,4.49,4.07,8.48,10.42,9.93,9.71,3.84,9.55,6.44,5.19,6.91,0.00
7.26,7.66,4.84,5.41,9.50,6.24,7.15,4.37,9.35,4.63,9.23,6.45,5.12,10.31,4.50,4.41,11.95,9.09,3.98,9.53,1.00
7.16,4.23,4.81,10.50,4.80,6.17,4.61,4.74,5.04,7.00,4.07,7.78,5.24,11.26,3.73,3.86,11.23,9.74,3.99,8.42,1.00
8.22,6.12,4.70,10.18,5.07,3.89,4.98,7.86,4.98,4.62,4.11,8.28,14.36,9.54,11.54,3.54,5.87,3.57,4.37,5.67,1.00
9.91,7.83,6.07,7.76,4.58,8.30,7.84,4.82,5.26,4.33,7.55,4.24,9.54,11.60,8.93,3.83,4.55,3.91,3.87,5.44,0.00
7.73,8.66,5.91,4.28,7.54,5.55,8.84,11.83,8.04,6.87,8.07,7.79,11.39,9.99,12.75,3.68,10.79,3.84,7.47,10.47,0.00
8.84,6.32,4.54,7.80,4.53,5.17,4.61,5.30,5.11,4.05,4.29,7.97,8.84,4.59,5.26,7.16,4.52,3.75,10.19,6.08,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.46,4.44,4.99,10.28,4.67,4.35,4.81,4.76,4.74,5.68,4.17,8.05,6.37,10.56,12.24,3.80,10.00,7.77,3.78,7.91,1.00
8.71,4.18,4.77,10.66,7.30,5.73,5.20,5.20,5.56,5.09,4.16,7.96,5.04,10.70,12.05,4.08,9.66,3.95,4.09,6.06,1.00
7.44,4.13,11.42,8.88,5.47,4.76,8.06,7.33,5.01,4.33,4.37,6.05,9.91,10.16,11.42,9.47,8.63,3.78,7.29,9.56,0.00
8.28,5.01,8.00,4.30,9.29,5.11,8.31,8.85,11.38,4.52,4.76,9.52,8.96,9.75,4.21,6.05,9.41,7.12,4.19,7.57,1.00
8.23,8.00,4.49,4.29,7.47,4.73,8.47,8.81,7.66,7.07,6.67,8.87,8.12,9.17,11.88,6.67,8.59,3.82,10.62,7.42,0.00
8.02,9.40,9.62,6.90,9.85,7.55,8.92,11.11,4.79,4.20,6.59,10.27,9.81,9.91,5.96,5.95,10.15,4.01,4.19,9.28,0.00
7.71,4.35,11.53,8.65,7.01,7.22,6.98,4.67,4.38,4.02,4.28,4.94,9.06,10.03,11.13,8.54,3.76,3.65,10.50,9.33,0.00
8.05,6.85,4.58,4.43,10.97,5.73,8.91,11.46,4.63,7.72,6.68,10.16,9.91,10.66,11.92,6.87,11.00,3.77,10.50,9.54,0.00
5.93,7.53,9.21,4.06,5.11,7.04,4.86,9.97,8.07,4.00,4.52,8.25,10.21,10.75,4.32,8.49,8.23,4.32,4.76,5.87,0.00
9.15,4.36,4.32,10.17,4.94,5.59,4.86,4.73,5.08,6.04,4.19,9.70,5.16,10.62,12.19,3.62,11.00,6.84,3.86,7.34,1.00
8.09,6.15,4.98,8.33,7.08,4.98,8.11,4.35,4.80,6.36,3.87,7.91,4.99,12.29,11.98,3.54,11.99,8.71,4.60,9.80,1.00
7.91,6.92,4.41,6.75,7.40,4.48,7.72,8.29,5.15,6.24,3.84,8.03,11.64,9.96,11.26,3.71,11.10,3.85,7.19,9.72,1.00
6.76,4.57,4.25,8.76,8.53,6.65,8.15,10.63,4.44,4.11,5.90,8.09,9.58,11.17,11.83,5.00,9.48,3.77,3.80,8.73,0.00
7.73,7.10,6.18,7.59,7.59,6.38,9.52,10.46,4.75,3.96,7.22,9.40,9.52,9.88,11.82,6.83,9.78,3.83,9.63,8.59,0.00
7.36,6.95,6.64,4.51,7.46,7.92,8.37,10.71,7.94,4.22,5.02,9.17,6.07,7.71,10.54,8.17,10.36,6.86,3.86,8.96,0.00
7.40,4.56,4.21,7.23,4.59,4.66,7.62,8.13,4.99,4.40,4.12,11.17,5.57,10.20,10.34,3.67,11.42,8.21,3.61,6.21,1.00
6.99,8.63,5.49,4.40,6.86,4.60,8.74,12.03,7.00,4.84,9.10,10.50,9.39,8.41,11.84,8.18,10.40,6.29,9.95,10.12,0.00
5.19,10.06,8.73,5.14,4.92,5.61,5.99,8.19,10.63,4.53,6.98,7.92,9.02,10.59,3.97,8.08,9.00,6.35,4.12,6.15,0.00
