10360_at,2297_at,23015_at,26353_at,3306_at,374819_at,3860_at,4055_at,4316_at,4885_at,5095_at,5142_at,5157_at,5653_at,57451_at,6451_at,8706_at,9111_at,91607_at,9920_at,label
7.64,9.43,9.41,8.20,5.92,6.27,3.56,6.66,4.08,3.76,9.32,8.44,5.23,4.71,9.53,10.00,3.56,8.86,9.07,3.51,1.00
7.88,8.86,6.27,7.27,7.17,4.13,3.74,4.57,4.62,3.72,8.76,10.07,7.03,4.41,12.35,10.37,4.19,8.67,8.37,3.86,1.00
8.11,10.01,10.86,4.89,6.13,4.84,3.71,8.73,4.14,3.50,8.83,4.43,8.10,4.75,8.43,9.15,7.89,9.30,8.84,5.36,1.00
6.93,4.61,4.37,5.10,5.53,5.65,3.72,5.18,4.27,3.98,9.91,5.19,3.91,4.82,4.16,10.58,3.46,11.11,9.36,9.62,1.00
6.30,8.19,10.39,4.71,5.75,3.14,3.71,7.14,3.75,3.94,8.70,7.24,8.24,4.48,9.45,9.72,7.70,8.79,5.68,4.80,1.00
6.82,8.27,10.21,4.77,12.19,3.92,10.32,7.07,4.31,3.95,8.96,6.50,7.18,6.40,10.34,3.77,6.73,10.42,6.64,3.47,1.00
8.49,5.36,11.01,4.76,4.73,4.11,3.77,4.94,3.95,3.68,9.13,4.19,9.10,5.05,4.18,10.42,4.03,10.67,3.49,3.97,1.00
8.22,8.39,4.40,7.66,11.20,4.96,3.60,8.90,8.81,3.79,8.61,8.21,7.60,4.74,4.08,9.93,3.84,9.55,6.44,5.18,0.00
7.26,5.29,9.65,4.96,9.50,6.24,3.61,7.15,4.02,4.05,11.34,7.55,6.02,4.67,10.45,10.31,4.41,11.95,9.09,8.47,1.00
7.16,4.78,4.34,4.66,4.80,6.17,3.83,4.61,4.19,3.67,8.88,4.38,4.11,4.67,4.50,11.26,3.86,11.23,9.74,3.91,1.00
8.22,8.32,11.00,5.03,5.07,3.89,3.71,4.98,4.31,4.24,9.94,5.30,4.22,4.81,4.29,9.54,3.54,5.87,3.57,3.61,1.00
9.91,9.62,10.02,5.19,4.58,8.30,3.92,7.84,3.98,4.25,7.80,10.73,10.99,5.35,4.35,11.60,3.83,4.55,3.91,4.03,0.00
