1984_at,2172_at,26353_at,374819_at,3860_at,4055_at,56129_at,8706_at,8988_at,91607_at,label
11.48,8.31,8.20,6.27,3.56,6.66,7.55,3.56,4.13,9.07,1.00
10.24,4.69,7.27,4.13,3.74,4.57,5.01,4.19,7.53,8.37,1.00
12.28,6.22,4.89,4.84,3.71,8.73,4.00,7.89,3.69,8.84,1.00
11.65,4.57,5.10,5.65,3.72,5.18,3.82,3.46,3.90,9.36,1.00
11.25,4.17,4.71,3.14,3.71,7.14,6.84,7.70,3.80,5.68,1.00
9.93,4.83,4.77,3.92,10.32,7.07,4.44,6.73,5.81,6.64,1.00
12.20,4.56,4.76,4.11,3.77,4.94,4.09,4.03,3.85,3.49,1.00
11.51,4.47,7.66,4.96,3.60,8.90,3.92,3.84,4.37,6.44,0.00
10.66,4.33,4.96,6.24,3.61,7.15,5.12,4.41,3.86,9.09,1.00
9.94,4.37,4.66,6.17,3.83,4.61,3.86,3.86,4.15,9.74,1.00
12.13,8.87,5.03,3.89,3.71,4.98,4.39,3.54,3.80,3.57,1.00
11.99,6.10,5.19,8.30,3.92,7.84,6.32,3.83,4.15,3.91,0.00
9.22,5.05,4.59,5.55,3.73,8.84,3.93,3.68,4.02,3.84,0.00
11.43,4.34,4.88,5.17,3.76,4.61,3.74,7.16,4.01,3.75,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.13,4.40,5.03,4.35,3.58,4.81,4.03,3.80,4.05,7.77,1.00
10.90,5.05,5.52,5.73,3.98,5.20,4.40,4.08,4.26,3.95,1.00
10.22,4.39,10.57,4.76,4.13,8.06,3.94,9.47,4.00,3.78,0.00
11.42,4.05,4.57,5.11,3.83,8.31,4.25,6.05,4.21,7.12,1.00
9.65,4.49,8.84,4.73,3.99,8.47,4.24,6.67,4.21,3.82,0.00
10.54,9.92,8.86,7.55,4.12,8.92,4.71,5.95,3.90,4.01,0.00
10.72,5.14,11.85,7.22,4.07,6.98,4.08,8.54,4.07,3.65,0.00
11.13,5.60,4.65,5.73,4.56,8.91,3.83,6.87,4.07,3.77,0.00
10.62,4.70,8.64,7.04,3.73,4.86,8.62,8.49,5.77,4.32,0.00
12.14,9.19,5.07,5.59,4.00,4.86,4.03,3.62,4.17,6.84,1.00
10.14,4.82,4.77,4.98,3.63,8.11,4.20,3.54,3.88,8.71,1.00
10.64,7.61,5.12,4.48,3.99,7.72,4.28,3.71,4.05,3.85,1.00
7.42,4.56,5.92,6.65,7.05,8.15,3.88,5.00,3.91,3.77,0.00
10.47,4.08,8.32,6.38,4.17,9.52,7.72,6.83,3.87,3.83,0.00
