100289092_at,114614_at,153733_at,23224_at,4488_at,55192_at,58526_at,6474_at,894_at,9603_at,label
6.60,3.49,9.61,6.76,4.29,5.81,8.49,4.98,3.97,4.57,0.00
6.67,6.79,8.37,6.82,4.03,6.68,6.49,7.32,3.98,3.96,1.00
7.75,9.04,7.69,7.10,4.68,7.32,7.74,7.38,7.99,5.17,1.00
8.12,8.00,4.75,7.20,4.78,6.70,8.89,4.37,4.13,3.59,1.00
7.63,9.59,8.09,5.51,4.73,5.26,7.33,5.05,3.92,8.15,0.00
7.67,7.69,8.59,6.94,4.63,6.22,6.95,6.27,3.87,6.04,0.00
6.99,3.64,8.42,6.10,5.33,5.32,7.87,4.83,4.07,5.42,0.00
6.52,6.88,8.11,6.77,4.13,4.85,7.65,5.57,7.75,8.33,1.00
7.23,8.05,6.91,8.78,4.52,7.43,8.10,4.17,4.85,3.72,1.00
7.47,3.90,8.58,7.13,5.90,6.09,7.85,6.78,4.13,5.62,1.00
7.53,3.92,7.80,7.08,6.65,6.57,6.69,4.59,5.68,7.17,1.00
8.32,12.49,7.04,7.66,4.80,5.99,8.10,4.37,9.44,6.14,1.00
7.31,7.29,9.76,8.06,5.14,7.59,7.54,5.01,3.90,4.17,0.00
7.93,7.79,8.29,8.21,4.70,7.77,5.07,4.75,4.26,6.21,1.00
6.03,3.74,8.54,8.99,9.67,6.63,7.67,4.53,3.89,4.41,0.00
6.12,5.07,7.24,6.00,9.15,6.02,7.04,4.45,7.80,8.16,1.00
6.78,3.51,8.01,6.95,6.07,5.09,8.25,6.82,3.94,5.47,0.00
6.54,4.18,7.10,6.98,5.95,7.75,6.47,4.35,4.18,8.27,1.00
5.02,6.44,7.38,8.11,5.00,5.75,8.20,4.99,5.76,7.76,1.00
7.54,7.52,8.60,6.10,6.55,6.98,8.52,8.42,4.02,4.93,0.00
7.64,5.14,8.30,6.70,3.99,5.40,8.49,4.53,4.73,8.02,0.00
5.23,4.65,8.57,8.04,5.09,4.87,7.54,7.00,4.06,8.76,1.00
6.95,3.59,9.15,7.14,7.42,7.78,6.50,4.18,3.91,4.75,0.00
6.87,4.44,7.07,8.06,7.77,5.69,8.10,4.57,3.98,9.31,1.00
5.46,3.74,8.38,5.61,4.43,5.48,7.40,7.41,4.11,6.50,0.00
6.69,5.78,8.71,8.55,6.12,5.84,8.48,4.22,9.72,7.61,1.00
8.39,10.86,8.37,8.18,4.71,7.82,5.31,4.68,4.18,7.24,1.00
6.39,3.88,8.76,6.26,4.45,7.26,8.86,4.37,8.45,5.69,0.00
5.78,3.85,8.29,7.08,8.46,5.43,8.26,4.40,4.01,6.53,0.00
5.19,3.43,7.58,7.17,10.41,6.86,7.66,4.38,5.47,7.20,1.00
6.59,3.81,8.77,6.32,4.44,4.71,8.17,6.80,3.96,5.83,0.00
7.22,3.68,7.74,5.81,4.61,6.08,7.88,4.36,4.00,7.97,0.00
5.34,4.00,8.48,6.11,4.12,5.61,8.87,5.21,3.89,6.03,1.00
7.86,8.99,8.62,10.32,4.63,6.83,4.41,7.61,4.23,6.05,1.00
8.16,3.91,7.92,6.93,7.32,6.38,5.50,5.41,4.22,8.25,0.00
