114614_at,158471_at,23158_at,400793_at,5054_at,5122_at,81563_at,85377_at,894_at,9603_at,label
3.49,8.14,8.49,6.25,4.22,3.55,6.38,7.49,3.97,4.57,0.00
6.79,4.05,8.75,4.09,8.03,3.72,5.32,9.06,3.98,3.96,1.00
9.04,4.23,7.61,4.42,9.65,3.83,4.97,9.70,7.99,5.17,1.00
8.00,4.60,5.30,3.96,4.31,4.07,4.96,8.51,4.13,3.59,1.00
9.59,4.69,7.95,3.84,12.48,3.62,5.51,9.73,3.92,8.15,0.00
7.69,5.57,8.17,5.58,9.68,3.81,6.69,8.67,3.87,6.04,0.00
3.64,4.29,7.45,4.24,12.04,3.55,5.22,8.07,4.07,5.42,0.00
6.88,6.95,7.81,4.43,5.59,3.57,5.01,8.80,7.75,8.33,1.00
8.05,4.32,7.23,3.81,4.52,3.88,5.10,7.72,4.85,3.72,1.00
3.90,4.20,8.18,7.13,5.48,3.56,5.28,8.51,4.13,5.62,1.00
3.92,4.18,7.43,4.16,4.80,3.86,5.05,9.43,5.68,7.17,1.00
12.49,4.18,8.47,3.80,4.52,3.65,5.15,8.80,9.44,6.14,1.00
7.29,4.28,4.97,4.29,4.54,3.86,4.88,7.70,3.90,4.17,0.00
7.79,4.68,4.45,3.99,4.29,3.61,5.04,7.61,4.26,6.21,1.00
3.74,4.43,8.30,8.09,4.56,3.48,5.14,7.08,3.89,4.41,0.00
5.07,4.39,7.06,4.99,4.83,3.65,4.72,8.85,7.80,8.16,1.00
3.51,4.64,9.46,7.33,4.78,3.62,7.33,10.18,3.94,5.47,0.00
4.18,3.95,5.60,3.76,4.56,3.65,4.81,9.90,4.18,8.27,1.00
6.44,4.02,7.32,6.91,5.95,3.74,5.18,10.09,5.76,7.76,1.00
7.52,8.81,9.22,4.21,11.64,5.02,6.16,9.41,4.02,4.93,0.00
5.14,6.17,8.80,6.96,12.67,3.85,6.64,8.97,4.73,8.02,0.00
4.65,4.06,7.24,5.90,4.46,3.73,5.52,8.53,4.06,8.76,1.00
3.59,4.20,8.74,7.58,4.50,3.83,5.05,8.75,3.91,4.75,0.00
4.44,3.82,8.55,6.60,4.72,3.58,4.90,8.52,3.98,9.31,1.00
3.74,6.69,7.75,3.83,12.00,6.32,5.27,9.06,4.11,6.50,0.00
5.78,5.59,4.60,6.10,4.57,3.67,5.21,8.36,9.72,7.61,1.00
10.86,4.34,7.58,3.95,4.35,3.92,4.94,8.06,4.18,7.24,1.00
3.88,4.46,3.96,7.37,4.75,4.03,6.60,7.99,8.45,5.69,0.00
3.85,4.30,4.48,6.85,5.58,3.92,4.96,8.47,4.01,6.53,0.00
3.43,3.99,7.86,7.31,4.39,3.77,7.14,9.23,5.47,7.20,1.00
3.81,4.15,8.04,3.66,4.56,3.52,7.59,8.64,3.96,5.83,0.00
3.68,4.09,5.60,6.80,10.14,3.50,4.60,8.01,4.00,7.97,0.00
4.00,4.26,6.62,7.13,4.58,3.84,5.60,9.73,3.89,6.03,1.00
8.99,4.28,5.23,3.88,4.55,3.87,5.25,7.89,4.23,6.05,1.00
3.91,3.99,7.04,7.44,7.65,3.78,5.23,8.29,4.22,8.25,0.00
10.97,4.35,4.62,3.88,4.33,3.66,5.19,7.97,4.84,4.64,1.00
3.64,6.26,7.70,5.24,4.60,3.65,9.00,8.29,4.44,4.98,0.00
8.91,4.21,7.65,4.87,12.16,3.87,6.41,8.52,3.90,7.64,0.00
3.75,4.32,5.01,4.70,4.48,3.65,5.11,8.34,4.59,6.80,1.00
4.16,4.07,6.37,4.86,5.80,3.79,5.28,9.67,4.78,4.03,1.00
3.50,4.35,7.57,4.05,12.20,3.92,4.97,10.34,4.25,3.55,0.00
4.02,6.14,8.01,5.13,12.96,5.66,5.28,9.23,3.94,8.53,0.00
12.76,4.16,8.36,3.84,4.55,3.64,4.77,7.45,4.82,6.55,1.00
3.93,4.33,6.76,5.46,4.08,4.11,6.76,9.75,4.18,6.69,0.00
3.48,4.14,7.27,6.18,6.97,3.64,6.15,8.63,4.08,5.35,1.00
4.33,3.93,8.56,7.31,8.05,3.46,4.97,7.59,3.86,6.10,1.00
6.45,4.12,7.63,7.52,4.45,3.70,5.47,8.27,3.90,4.87,0.00
8.39,4.20,8.53,7.24,7.31,3.75,4.71,8.38,4.09,7.31,1.00
3.84,4.35,6.92,5.42,6.74,3.67,5.33,7.93,4.01,6.99,0.00
4.98,4.27,5.36,5.98,5.08,3.88,5.21,8.04,4.15,6.87,0.00
9.75,8.65,8.23,4.16,10.64,3.65,6.93,7.87,4.26,6.15,0.00
5.26,4.06,8.09,6.28,7.23,3.27,6.38,9.07,4.64,10.04,1.00
3.63,4.54,6.87,4.22,6.85,3.72,5.02,8.91,4.14,8.13,1.00
3.62,4.05,7.78,5.85,6.04,3.71,5.17,8.80,3.96,5.05,0.00
3.71,4.25,7.63,6.06,9.58,3.92,4.97,9.74,4.09,8.02,0.00
3.65,4.21,7.82,7.85,5.01,3.64,5.16,8.79,5.20,3.94,0.00
3.88,4.03,8.38,6.52,8.40,3.68,4.86,9.41,4.01,9.71,1.00
9.41,4.27,7.49,3.87,12.29,3.65,6.05,8.93,6.60,8.23,0.00
3.92,4.21,7.64,3.70,6.89,4.19,5.72,8.92,4.24,5.62,0.00
3.87,6.96,8.30,5.57,6.82,4.24,7.42,9.58,3.94,8.01,0.00
5.27,8.50,8.97,4.50,12.91,3.63,5.84,10.02,3.91,4.83,0.00
6.83,5.79,7.91,4.19,10.49,8.28,6.10,8.36,3.78,7.97,0.00
3.72,6.18,7.94,7.40,5.27,8.74,6.88,9.44,4.12,8.26,0.00
7.72,4.17,8.64,4.05,12.38,3.52,6.44,9.36,4.17,6.21,1.00
3.60,4.17,8.30,4.42,11.26,3.68,4.93,7.47,4.24,5.12,0.00
4.10,4.19,7.33,4.37,5.55,3.81,4.87,9.32,4.01,8.96,1.00
3.75,4.40,8.33,7.34,6.20,3.53,5.23,8.64,5.25,5.75,0.00
8.26,3.99,4.58,7.82,4.56,3.67,6.83,8.03,9.89,8.19,1.00
3.59,4.22,7.68,5.19,4.24,3.47,5.13,8.31,6.21,5.16,1.00
6.03,5.78,8.47,4.35,12.52,3.98,5.64,10.08,4.04,6.71,1.00
3.63,4.30,8.39,5.13,13.40,3.80,4.74,10.73,3.96,9.08,1.00
4.02,4.80,7.48,5.75,8.92,3.66,5.64,7.38,3.94,6.27,1.00
4.34,4.63,8.44,6.42,4.68,3.64,4.97,9.93,4.08,6.74,1.00
3.97,5.60,6.68,4.20,4.38,3.86,5.54,6.94,4.12,4.09,0.00
3.91,4.40,7.19,5.92,4.16,3.50,7.01,7.39,6.29,5.35,1.00
12.83,4.22,8.35,3.76,4.27,3.73,5.80,8.10,11.07,6.69,1.00
3.82,4.29,4.56,3.49,7.29,3.92,4.70,9.07,4.24,4.78,0.00
4.03,4.20,4.84,4.22,4.90,3.88,4.78,8.51,4.05,3.68,0.00
9.19,8.51,7.62,3.62,4.22,3.52,5.71,8.96,7.42,6.16,1.00
3.55,6.10,7.88,6.82,4.21,3.64,6.51,8.41,3.93,3.54,0.00
8.31,4.00,5.21,3.62,4.55,3.89,6.26,8.44,8.44,4.75,1.00
9.92,4.39,8.48,4.50,12.57,3.55,5.22,8.98,4.03,7.76,1.00
3.89,4.27,7.58,6.30,4.68,3.91,7.36,8.21,9.75,9.08,1.00
7.44,7.69,7.37,4.56,11.70,6.38,5.57,9.14,5.77,8.93,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.61,4.05,7.41,4.31,7.55,3.49,6.92,10.42,3.85,7.18,0.00
3.67,4.35,8.16,6.63,4.30,3.46,4.96,6.72,3.96,9.63,0.00
7.29,5.21,4.70,4.25,4.69,3.80,4.97,7.56,4.30,5.96,1.00
4.13,4.96,8.99,7.72,6.36,3.51,5.06,8.86,3.89,6.31,1.00
5.96,4.20,7.71,5.92,9.15,3.65,5.02,10.22,3.91,6.67,1.00
4.06,4.39,6.91,4.84,4.58,3.80,4.94,9.91,8.28,5.81,1.00
3.95,4.25,7.60,7.41,5.32,3.84,5.92,8.54,3.88,5.29,0.00
3.80,5.03,6.74,4.11,7.00,3.65,5.01,8.19,4.05,5.41,0.00
3.47,4.28,4.60,6.97,5.03,3.69,6.97,7.72,8.73,8.58,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
3.60,4.14,10.88,7.72,4.76,3.68,7.52,7.15,3.87,5.86,0.00
5.08,4.06,7.73,4.08,6.29,5.07,4.86,8.16,3.78,5.15,0.00
3.75,4.02,9.79,7.15,5.97,3.54,5.94,8.27,4.16,4.27,0.00
