100652898_at,10485_at,114614_at,158471_at,196410_at,1992_at,23158_at,400793_at,4488_at,5054_at,5122_at,51316_at,55297_at,55568_at,6284_at,79814_at,81563_at,85377_at,894_at,9603_at,label
9.18,5.57,3.49,8.14,9.10,9.62,8.49,6.25,4.29,4.22,3.55,4.54,9.30,6.81,9.45,6.01,6.38,7.49,3.97,4.57,0.00
11.88,5.33,6.79,4.05,4.83,7.63,8.75,4.09,4.03,8.03,3.72,8.75,8.09,8.25,9.82,3.94,5.32,9.06,3.98,3.96,1.00
13.02,6.16,9.04,4.23,7.85,7.22,7.61,4.42,4.68,9.65,3.83,4.84,8.10,7.62,9.33,7.81,4.97,9.70,7.99,5.17,1.00
6.93,5.31,8.00,4.60,4.58,4.56,5.30,3.96,4.78,4.31,4.07,5.92,3.89,7.02,8.00,4.96,4.96,8.51,4.13,3.59,1.00
5.68,4.43,9.59,4.69,6.56,10.02,7.95,3.84,4.73,12.48,3.62,9.96,7.73,8.97,10.40,4.30,5.51,9.73,3.92,8.15,0.00
11.07,5.06,7.69,5.57,5.85,8.42,8.17,5.58,4.63,9.68,3.81,4.67,8.44,8.28,9.44,5.30,6.69,8.67,3.87,6.04,0.00
5.99,6.62,3.64,4.29,9.46,9.61,7.45,4.24,5.33,12.04,3.55,7.80,8.80,9.95,9.83,8.64,5.22,8.07,4.07,5.42,0.00
11.86,5.43,6.88,6.95,8.36,9.21,7.81,4.43,4.13,5.59,3.57,4.05,9.33,8.43,10.38,7.12,5.01,8.80,7.75,8.33,1.00
5.36,5.58,8.05,4.32,4.57,9.82,7.23,3.81,4.52,4.52,3.88,10.33,8.55,6.42,5.55,4.46,5.10,7.72,4.85,3.72,1.00
12.85,5.79,3.90,4.20,8.94,3.75,8.18,7.13,5.90,5.48,3.56,6.07,3.20,7.48,10.05,4.14,5.28,8.51,4.13,5.62,1.00
11.94,5.35,3.92,4.18,9.73,3.55,7.43,4.16,6.65,4.80,3.86,6.06,7.94,7.26,5.72,4.15,5.05,9.43,5.68,7.17,1.00
10.30,6.41,12.49,4.18,4.85,7.58,8.47,3.80,4.80,4.52,3.65,13.10,8.57,8.22,6.67,7.15,5.15,8.80,9.44,6.14,1.00
7.93,5.51,7.29,4.28,4.84,4.28,4.97,4.29,5.14,4.54,3.86,9.32,8.31,6.76,7.29,7.44,4.88,7.70,3.90,4.17,0.00
10.01,5.23,7.79,4.68,5.44,4.65,4.45,3.99,4.70,4.29,3.61,5.85,8.62,6.96,5.74,8.15,5.04,7.61,4.26,6.21,1.00
10.52,5.47,3.74,4.43,4.80,6.34,8.30,8.09,9.67,4.56,3.48,4.06,8.41,8.83,10.02,4.17,5.14,7.08,3.89,4.41,0.00
11.91,5.67,5.07,4.39,9.46,9.45,7.06,4.99,9.15,4.83,3.65,9.73,7.41,6.53,9.91,10.89,4.72,8.85,7.80,8.16,1.00
12.63,5.36,3.51,4.64,5.14,7.71,9.46,7.33,6.07,4.78,3.62,4.25,8.40,7.47,11.40,4.19,7.33,10.18,3.94,5.47,0.00
12.46,6.36,4.18,3.95,7.90,10.86,5.60,3.76,5.95,4.56,3.65,10.99,8.30,7.77,10.22,7.01,4.81,9.90,4.18,8.27,1.00
12.61,5.16,6.44,4.02,4.48,11.91,7.32,6.91,5.00,5.95,3.74,7.06,8.39,4.70,9.94,6.43,5.18,10.09,5.76,7.76,1.00
12.12,5.10,7.52,8.81,5.65,8.25,9.22,4.21,6.55,11.64,5.02,9.51,8.80,9.26,10.20,4.34,6.16,9.41,4.02,4.93,0.00
7.96,5.29,5.14,6.17,6.04,10.31,8.80,6.96,3.99,12.67,3.85,9.79,9.64,8.88,9.80,4.15,6.64,8.97,4.73,8.02,0.00
8.77,6.32,4.65,4.06,8.65,9.08,7.24,5.90,5.09,4.46,3.73,6.30,8.11,9.08,8.99,6.87,5.52,8.53,4.06,8.76,1.00
10.95,5.29,3.59,4.20,5.18,7.10,8.74,7.58,7.42,4.50,3.83,3.97,8.73,9.41,12.56,5.78,5.05,8.75,3.91,4.75,0.00
9.67,5.46,4.44,3.82,9.69,11.08,8.55,6.60,7.77,4.72,3.58,13.34,8.25,9.46,10.74,7.00,4.90,8.52,3.98,9.31,1.00
11.29,5.10,3.74,6.69,8.24,3.63,7.75,3.83,4.43,12.00,6.32,4.07,8.49,9.11,10.40,4.25,5.27,9.06,4.11,6.50,0.00
10.90,6.37,5.78,5.59,9.79,11.16,4.60,6.10,6.12,4.57,3.67,3.96,7.87,7.14,8.65,11.43,5.21,8.36,9.72,7.61,1.00
9.57,7.03,10.86,4.34,4.64,9.92,7.58,3.95,4.71,4.35,3.92,6.99,8.41,6.96,5.29,4.50,4.94,8.06,4.18,7.24,1.00
6.27,5.16,3.88,4.46,5.10,11.06,3.96,7.37,4.45,4.75,4.03,11.37,8.73,9.27,5.89,5.11,6.60,7.99,8.45,5.69,0.00
11.63,5.17,3.85,4.30,9.76,10.07,4.48,6.85,8.46,5.58,3.92,10.24,6.79,8.31,10.77,7.84,4.96,8.47,4.01,6.53,0.00
11.66,5.27,3.43,3.99,7.03,10.65,7.86,7.31,10.41,4.39,3.77,3.83,8.37,7.23,10.47,5.55,7.14,9.23,5.47,7.20,1.00
11.61,7.44,3.81,4.15,7.13,10.16,8.04,3.66,4.44,4.56,3.52,4.02,8.58,7.11,11.14,5.89,7.59,8.64,3.96,5.83,0.00
11.56,8.65,3.68,4.09,9.80,12.06,5.60,6.80,4.61,10.14,3.50,4.39,8.77,4.99,9.89,7.90,4.60,8.01,4.00,7.97,0.00
11.56,5.58,4.00,4.26,6.60,12.50,6.62,7.13,4.12,4.58,3.84,5.85,9.32,9.43,7.86,4.28,5.60,9.73,3.89,6.03,1.00
9.90,5.37,8.99,4.28,4.53,9.83,5.23,3.88,4.63,4.55,3.87,7.24,8.78,5.18,9.04,6.32,5.25,7.89,4.23,6.05,1.00
11.25,5.66,3.91,3.99,4.33,8.42,7.04,7.44,7.32,7.65,3.78,12.07,7.50,8.07,10.47,4.40,5.23,8.29,4.22,8.25,0.00
6.43,5.60,10.97,4.35,5.31,12.58,4.62,3.88,4.43,4.33,3.66,12.55,8.41,6.31,5.13,5.68,5.19,7.97,4.84,4.64,1.00
12.64,6.35,3.64,6.26,8.60,8.27,7.70,5.24,5.23,4.60,3.65,5.67,7.33,6.52,11.14,4.17,9.00,8.29,4.44,4.98,0.00
10.96,5.61,8.91,4.21,5.77,8.36,7.65,4.87,4.15,12.16,3.87,4.61,8.70,7.78,10.10,6.56,6.41,8.52,3.90,7.64,0.00
9.28,5.22,3.75,4.32,4.86,9.37,5.01,4.70,4.47,4.48,3.65,8.72,9.79,8.93,6.76,4.44,5.11,8.34,4.59,6.80,1.00
12.43,5.95,4.16,4.07,4.76,9.55,6.37,4.86,5.93,5.80,3.79,5.45,8.69,6.51,9.68,7.65,5.28,9.67,4.78,4.03,1.00
13.23,5.88,3.50,4.35,5.10,3.49,7.57,4.05,4.43,12.20,3.92,6.24,8.13,8.07,11.95,4.48,4.97,10.34,4.25,3.55,0.00
10.76,5.21,4.02,6.14,4.98,7.47,8.01,5.13,7.82,12.96,5.66,7.24,8.21,8.45,8.84,4.26,5.28,9.23,3.94,8.53,0.00
9.76,6.30,12.76,4.16,4.34,9.35,8.36,3.84,4.56,4.55,3.64,13.55,8.45,8.45,7.43,6.60,4.77,7.45,4.82,6.55,1.00
