100505715_at,100507448_at,100652898_at,10457_at,10485_at,114614_at,123920_at,153733_at,1573_at,158471_at,196410_at,1992_at,23158_at,2861_at,29940_at,29995_at,400793_at,4488_at,5054_at,5122_at,51316_at,5154_at,55297_at,55568_at,5590_at,56952_at,57502_at,6284_at,79814_at,80117_at,81563_at,84320_at,8490_at,85377_at,857_at,894_at,9582_at,9603_at,978_at,9982_at,label
5.69,7.64,9.18,5.70,5.57,3.49,5.07,9.61,4.41,8.14,9.10,9.62,8.49,9.96,7.25,4.54,6.25,4.29,4.22,3.55,4.54,4.11,9.30,6.81,7.93,7.44,3.78,9.45,6.01,3.78,6.38,8.34,5.07,7.49,5.78,3.97,9.71,4.57,4.16,4.76,0.00
8.15,6.74,11.88,6.79,5.33,6.79,8.80,8.37,6.99,4.05,4.83,7.63,8.75,3.56,11.12,8.75,4.09,4.03,8.03,3.72,8.75,9.57,8.09,8.25,6.90,9.13,3.80,9.82,3.94,3.45,5.32,8.28,4.44,9.06,13.53,3.98,11.38,3.96,4.40,4.23,1.00
7.02,6.50,13.02,3.93,6.16,9.04,8.38,7.69,4.10,4.23,7.85,7.22,7.61,3.70,8.20,4.46,4.42,4.68,9.65,3.83,4.84,6.82,8.10,7.62,8.38,8.67,3.88,9.33,7.81,3.86,4.97,8.44,4.40,9.70,11.53,7.99,8.31,5.17,4.18,4.43,1.00
5.71,6.50,6.93,3.77,5.31,8.00,8.41,4.75,3.84,4.60,4.58,4.56,5.30,3.48,4.44,5.84,3.96,4.78,4.31,4.07,5.92,6.34,3.89,7.02,8.70,8.63,4.21,8.00,4.96,3.85,4.96,9.27,4.74,8.51,4.38,4.13,9.77,3.59,4.15,4.51,1.00
5.42,6.56,5.68,3.64,4.43,9.59,8.70,8.09,4.24,4.69,6.56,10.02,7.95,4.36,9.67,8.45,3.84,4.73,12.48,3.62,9.96,8.05,7.73,8.97,4.99,7.80,3.75,10.40,4.30,4.05,5.51,9.20,5.33,9.73,12.83,3.92,9.78,8.15,5.73,4.45,0.00
5.69,6.39,11.07,5.08,5.06,7.69,7.60,8.59,4.16,5.57,5.85,8.42,8.17,3.61,10.01,6.55,5.58,4.63,9.68,3.81,4.67,7.49,8.44,8.28,7.24,5.92,6.87,9.44,5.30,5.22,6.69,8.08,4.41,8.67,13.43,3.87,8.48,6.04,6.54,4.99,0.00
6.72,8.08,5.99,6.35,6.62,3.64,8.70,8.42,3.88,4.29,9.46,9.61,7.45,4.91,9.30,9.90,4.24,5.33,12.04,3.55,7.80,7.59,8.80,9.95,7.49,9.46,3.62,9.83,8.64,4.01,5.22,9.12,4.56,8.07,13.18,4.07,9.09,5.42,8.76,6.36,0.00
6.23,6.66,11.86,5.99,5.43,6.88,9.75,8.11,6.27,6.95,8.36,9.21,7.81,3.72,11.07,8.47,4.43,4.13,5.59,3.57,4.05,7.52,9.33,8.43,7.99,10.21,3.72,10.38,7.12,3.48,5.01,9.36,9.55,8.80,13.42,7.75,11.40,8.33,4.16,4.89,1.00
8.10,5.06,5.36,4.58,5.58,8.05,8.83,6.91,4.21,4.32,4.57,9.82,7.23,3.56,7.35,4.71,3.81,4.52,4.52,3.88,10.33,5.03,8.55,6.42,7.12,5.38,3.90,5.55,4.46,3.63,5.10,8.96,4.72,7.72,4.67,4.85,4.82,3.72,4.16,4.87,1.00
6.20,6.96,12.85,7.46,5.79,3.90,8.93,8.58,4.13,4.20,8.94,3.75,8.18,3.58,9.48,6.29,7.13,5.90,5.48,3.56,6.07,7.32,3.20,7.48,8.74,8.60,3.96,10.05,4.14,4.04,5.28,7.68,5.19,8.51,4.56,4.13,11.46,5.62,4.43,4.68,1.00
8.84,6.99,11.94,4.05,5.35,3.92,9.06,7.80,4.40,4.18,9.73,3.55,7.43,7.38,11.47,6.39,4.16,6.65,4.80,3.86,6.06,7.57,7.94,7.26,8.46,3.94,6.78,5.72,4.15,3.84,5.05,8.35,5.43,9.43,8.89,5.68,4.19,7.17,4.18,4.54,1.00
5.96,5.49,10.30,6.54,6.41,12.49,6.87,7.04,4.43,4.18,4.85,7.58,8.47,3.45,10.63,5.70,3.80,4.80,4.52,3.65,13.10,6.56,8.57,8.22,8.26,7.65,3.89,6.67,7.15,4.72,5.15,8.78,5.36,8.80,6.54,9.44,9.85,6.14,4.23,5.00,1.00
5.66,5.05,7.93,6.38,5.51,7.29,5.84,9.76,3.81,4.28,4.84,4.28,4.97,3.47,5.11,8.51,4.29,5.14,4.54,3.86,9.32,4.43,8.31,6.76,6.34,3.96,3.99,7.29,7.44,4.07,4.88,8.91,4.77,7.70,3.97,3.90,4.34,4.17,4.22,4.23,0.00
5.97,5.61,10.01,6.07,5.23,7.79,5.47,8.29,4.10,4.68,5.44,4.65,4.45,3.94,5.31,8.32,3.99,4.70,4.29,3.61,5.85,4.13,8.62,6.96,8.12,4.78,3.86,5.74,8.15,4.06,5.04,8.36,5.26,7.61,4.19,4.26,4.24,6.21,4.21,4.56,1.00
6.18,7.84,10.52,10.01,5.47,3.74,6.40,8.54,8.07,4.43,4.80,6.34,8.30,4.99,6.14,8.12,8.09,9.67,4.56,3.48,4.06,7.83,8.41,8.83,8.67,4.02,6.65,10.02,4.17,3.64,5.14,8.38,4.63,7.08,6.05,3.89,10.77,4.41,4.34,4.86,0.00
5.98,6.64,11.91,4.91,5.67,5.07,7.95,7.24,4.81,4.39,9.46,9.45,7.06,5.48,3.90,8.12,4.99,9.15,4.83,3.65,9.73,8.22,7.41,6.53,8.87,11.28,3.59,9.91,10.89,6.14,4.72,9.09,4.97,8.85,6.86,7.80,11.51,8.16,4.03,5.75,1.00
7.32,5.59,12.63,12.41,5.36,3.51,7.26,8.01,4.38,4.64,5.14,7.71,9.46,9.26,5.02,8.17,7.33,6.07,4.78,3.62,4.25,7.21,8.40,7.47,9.26,3.87,5.89,11.40,4.19,3.52,7.33,7.87,5.83,10.18,13.02,3.94,11.21,5.47,4.04,4.92,0.00
7.34,6.78,12.46,6.58,6.36,4.18,8.08,7.10,7.15,3.95,7.90,10.86,5.60,6.05,11.44,7.51,3.76,5.95,4.56,3.65,10.99,8.18,8.30,7.77,9.02,11.35,3.76,10.22,7.01,9.27,4.81,8.10,4.62,9.90,12.99,4.18,11.47,8.27,10.86,11.95,1.00
7.24,5.29,12.61,9.12,5.16,6.44,6.93,7.38,6.23,4.02,4.48,11.91,7.32,5.84,10.48,4.81,6.91,5.00,5.95,3.74,7.06,8.17,8.39,4.70,8.36,6.36,3.72,9.94,6.43,5.75,5.18,8.46,4.27,10.09,13.52,5.76,8.69,7.76,8.72,12.54,1.00
8.66,6.89,12.12,12.46,5.10,7.52,8.25,8.60,4.20,8.81,5.65,8.25,9.22,4.86,10.35,8.66,4.21,6.55,11.64,5.02,9.51,6.57,8.80,9.26,6.73,4.63,3.91,10.20,4.34,5.19,6.16,8.60,4.58,9.41,12.12,4.02,10.45,4.93,4.28,4.43,0.00
5.49,7.37,7.96,4.24,5.29,5.14,6.10,8.30,4.92,6.17,6.04,10.31,8.80,3.70,9.66,8.40,6.96,3.99,12.67,3.85,9.79,6.85,9.64,8.88,10.06,9.18,3.60,9.80,4.15,5.37,6.64,8.72,5.80,8.97,13.76,4.73,10.23,8.02,10.97,4.93,0.00
7.19,5.96,8.77,5.93,6.32,4.65,7.46,8.57,7.96,4.06,8.65,9.08,7.24,7.02,9.28,8.24,5.90,5.09,4.46,3.73,6.30,4.82,8.11,9.08,8.18,9.40,3.62,8.99,6.87,10.84,5.52,8.64,5.07,8.53,9.64,4.06,10.03,8.76,5.54,8.84,1.00
7.04,7.00,10.95,8.08,5.29,3.59,6.64,9.15,7.10,4.20,5.18,7.10,8.74,8.04,4.47,7.75,7.58,7.42,4.50,3.83,3.97,6.47,8.73,9.41,9.26,3.69,4.53,12.56,5.78,3.67,5.05,9.93,6.05,8.75,4.64,3.91,9.09,4.75,4.29,4.88,0.00
6.94,7.25,9.67,5.91,5.46,4.44,7.65,7.07,5.80,3.82,9.69,11.08,8.55,5.86,8.76,7.12,6.60,7.77,4.72,3.58,13.34,8.09,8.25,9.46,9.23,10.58,3.75,10.74,7.00,9.26,4.90,8.75,4.50,8.52,13.30,3.98,10.30,9.31,10.91,11.95,1.00
7.64,8.03,11.29,11.85,5.10,3.74,8.35,8.38,4.15,6.69,8.24,3.63,7.75,3.50,10.10,6.63,3.83,4.43,12.00,6.32,4.07,8.99,8.49,9.11,5.63,9.46,4.95,10.40,4.25,4.08,5.27,7.95,5.16,9.06,12.79,4.11,10.99,6.50,4.22,4.80,0.00
6.06,6.36,10.90,4.15,6.37,5.78,5.20,8.71,9.36,5.59,9.79,11.16,4.60,3.45,5.17,4.27,6.10,6.12,4.57,3.67,3.96,4.41,7.87,7.14,9.04,8.96,3.84,8.65,11.43,7.99,5.21,8.53,4.90,8.36,4.10,9.72,7.45,7.61,6.09,7.07,1.00
5.64,5.40,9.57,6.38,7.03,10.86,7.80,8.37,4.02,4.34,4.64,9.92,7.58,3.91,7.11,4.56,3.95,4.71,4.35,3.92,6.99,4.66,8.41,6.96,5.01,4.69,3.82,5.29,4.50,6.76,4.94,9.26,4.66,8.06,5.21,4.18,9.86,7.24,4.71,5.14,1.00
5.64,7.04,6.27,4.80,5.16,3.88,7.12,8.76,3.78,4.46,5.10,11.06,3.96,3.87,6.34,7.80,7.37,4.45,4.75,4.03,11.37,3.99,8.73,9.27,4.95,5.71,3.71,5.89,5.11,3.75,6.60,9.75,4.90,7.99,3.80,8.45,8.62,5.69,4.09,4.09,0.00
5.39,7.07,11.63,4.47,5.17,3.85,5.82,8.29,5.13,4.30,9.76,10.07,4.48,3.62,4.77,8.21,6.85,8.46,5.58,3.92,10.24,7.20,6.79,8.31,8.90,9.48,3.90,10.77,7.84,7.30,4.96,9.08,4.74,8.47,10.87,4.01,10.93,6.53,9.62,4.73,0.00
5.60,7.70,11.66,7.77,5.27,3.43,5.50,7.58,9.71,3.99,7.03,10.65,7.86,5.28,4.78,5.47,7.31,10.41,4.39,3.77,3.83,8.46,8.37,7.23,9.25,8.61,3.80,10.47,5.55,5.19,7.14,8.97,4.53,9.23,8.53,5.47,8.63,7.20,4.53,5.16,1.00
7.13,8.05,11.61,12.57,7.44,3.81,7.54,8.77,6.35,4.15,7.13,10.16,8.04,7.54,4.86,7.04,3.66,4.44,4.56,3.52,4.02,4.57,8.58,7.11,9.24,4.65,3.68,11.14,5.89,3.58,7.59,8.96,10.69,8.64,10.47,3.96,10.99,5.83,4.29,4.52,0.00
6.76,6.88,11.56,4.01,8.65,3.68,5.77,7.74,6.71,4.09,9.80,12.06,5.60,3.96,9.29,6.29,6.80,4.61,10.14,3.50,4.39,5.33,8.77,4.99,8.57,9.74,3.73,9.89,7.90,4.03,4.60,9.04,4.44,8.01,12.05,4.00,11.24,7.97,10.31,11.02,0.00
5.85,7.20,11.56,4.00,5.58,4.00,8.61,8.48,3.97,4.26,6.60,12.50,6.62,8.15,11.66,4.47,7.13,4.12,4.58,3.84,5.85,9.56,9.32,9.43,6.13,4.76,3.83,7.86,4.28,3.71,5.60,9.74,5.40,9.73,7.20,3.89,9.09,6.03,4.29,4.57,1.00
6.32,6.00,9.90,4.32,5.37,8.99,8.14,8.62,3.86,4.28,4.53,9.83,5.23,3.48,4.66,6.24,3.88,4.63,4.55,3.87,7.24,4.06,8.78,5.18,6.32,5.41,3.87,9.04,6.32,3.54,5.25,8.87,4.70,7.89,6.12,4.23,4.95,6.05,3.94,5.09,1.00
7.53,7.88,11.25,4.19,5.66,3.91,8.54,7.92,5.33,3.99,4.33,8.42,7.04,3.92,6.37,7.41,7.44,7.32,7.65,3.78,12.07,5.33,7.50,8.07,9.66,4.34,3.91,10.47,4.40,7.15,5.23,8.25,4.84,8.29,13.18,4.22,10.26,8.25,10.86,9.04,0.00
8.23,6.87,6.43,5.57,5.60,10.97,9.14,7.73,4.19,4.35,5.31,12.58,4.62,3.63,4.97,4.45,3.88,4.43,4.33,3.66,12.55,4.28,8.41,6.31,7.27,4.13,3.92,5.13,5.68,3.61,5.19,8.65,4.54,7.97,4.03,4.84,8.74,4.64,5.46,4.90,1.00
6.15,7.47,12.64,4.46,6.35,3.64,8.74,9.47,4.00,6.26,8.60,8.27,7.70,3.71,7.46,5.05,5.24,5.23,4.60,3.65,5.67,6.26,7.33,6.52,8.88,6.71,3.71,11.14,4.17,3.69,9.00,9.44,5.79,8.29,7.51,4.44,3.65,4.98,4.60,4.34,0.00
6.72,7.26,10.96,6.23,5.61,8.91,7.99,8.88,6.34,4.21,5.77,8.36,7.65,6.15,9.60,6.20,4.87,4.15,12.16,3.87,4.61,7.82,8.70,7.78,4.77,4.96,3.76,10.10,6.56,3.50,6.41,8.57,5.40,8.52,13.39,3.90,10.52,7.64,8.85,4.70,0.00
