100289092_at,170302_at,25818_at,3566_at,400793_at,5122_at,894_at,9976_at,label
6.60,5.18,3.91,5.10,6.25,3.55,3.97,3.47,0.00
6.67,3.93,3.97,6.48,4.09,3.72,3.98,4.61,1.00
7.75,4.14,4.10,6.16,4.42,3.83,7.99,3.61,1.00
8.12,3.92,3.89,5.42,3.96,4.07,4.13,3.45,1.00
7.63,3.91,4.02,7.50,3.84,3.62,3.92,5.68,0.00
7.67,3.91,3.95,6.82,5.58,3.81,3.87,5.90,0.00
6.99,5.15,4.08,6.55,4.24,3.55,4.07,3.83,0.00
6.52,4.01,3.85,6.87,4.43,3.57,7.75,3.86,1.00
7.23,4.16,3.96,6.05,3.81,3.88,4.85,3.88,1.00
7.47,4.00,4.10,6.90,7.13,3.56,4.13,3.75,1.00
7.53,4.13,3.90,6.73,4.16,3.86,5.68,3.46,1.00
8.32,3.95,3.92,7.35,3.80,3.65,9.44,3.61,1.00
7.31,4.45,4.02,6.75,4.29,3.86,3.90,5.46,0.00
7.93,4.01,4.40,7.64,3.99,3.61,4.26,4.50,1.00
6.03,7.69,4.06,5.86,8.09,3.48,3.89,3.57,0.00
6.12,4.22,4.07,7.06,4.99,3.65,7.80,3.56,1.00
6.78,3.95,3.92,4.94,7.33,3.62,3.94,7.04,0.00
6.54,4.39,5.09,8.23,3.76,3.65,4.18,3.61,1.00
5.02,4.21,9.50,8.13,6.91,3.74,5.76,7.23,1.00
7.54,4.13,3.83,6.45,4.21,5.02,4.02,8.05,0.00
7.64,4.03,3.98,5.50,6.96,3.85,4.73,5.08,0.00
5.23,4.26,4.07,7.64,5.90,3.73,4.06,3.52,1.00
6.95,4.69,4.30,6.10,7.58,3.83,3.91,3.70,0.00
6.87,4.23,6.68,8.64,6.60,3.58,3.98,3.78,1.00
5.46,3.93,3.92,5.19,3.83,6.32,4.11,6.57,0.00
6.69,4.65,3.97,6.93,6.10,3.67,9.72,3.50,1.00
8.39,4.21,3.94,9.29,3.95,3.92,4.18,3.77,1.00
6.39,3.97,3.96,5.49,7.37,4.03,8.45,7.37,0.00
5.78,3.91,4.27,7.72,6.85,3.92,4.01,3.71,0.00
5.19,5.03,4.18,6.85,7.31,3.77,5.47,3.66,1.00
6.59,3.98,3.78,5.15,3.66,3.52,3.96,6.21,0.00
7.22,4.23,7.91,8.57,6.80,3.50,4.00,3.40,0.00
5.34,3.88,3.73,10.46,7.13,3.84,3.89,3.67,1.00
7.86,4.03,3.84,10.77,3.88,3.87,4.23,3.57,1.00
8.16,4.02,5.83,6.57,7.44,3.78,4.22,3.68,0.00
5.18,3.87,4.04,8.10,3.88,3.66,4.84,7.89,1.00
7.38,3.93,4.04,5.92,5.24,3.65,4.44,3.81,0.00
8.08,4.28,4.07,5.83,4.87,3.87,3.90,6.69,0.00
5.26,4.14,5.12,6.39,4.70,3.65,4.59,3.51,1.00
5.85,4.76,9.99,7.53,4.86,3.79,4.78,6.83,1.00
6.82,5.70,4.31,5.70,4.05,3.92,4.25,3.73,0.00
6.93,4.55,3.63,7.30,5.13,5.66,3.94,7.06,0.00
6.64,4.79,3.88,7.08,3.84,3.64,4.82,5.75,1.00
6.18,4.57,3.98,5.76,5.46,4.11,4.18,3.76,0.00
6.48,4.19,4.47,8.63,6.18,3.64,4.08,3.93,1.00
6.54,5.24,8.49,6.95,7.31,3.46,3.86,3.66,1.00
6.43,4.40,3.91,8.57,7.52,3.70,3.90,5.61,0.00
6.47,4.11,4.07,7.32,7.24,3.75,4.09,3.53,1.00
7.69,4.69,4.70,6.79,5.42,3.67,4.01,3.13,0.00
7.10,5.39,4.22,6.88,5.98,3.88,4.15,3.47,0.00
8.13,4.08,3.86,6.48,4.16,3.65,4.26,7.13,0.00
6.38,3.99,8.27,6.99,6.28,3.27,4.64,5.39,1.00
7.74,5.61,4.11,7.37,4.22,3.72,4.14,3.62,1.00
7.48,3.87,4.01,6.26,5.85,3.71,3.96,3.75,0.00
7.45,4.05,5.20,6.91,6.06,3.92,4.09,3.70,0.00
6.14,3.86,4.74,6.14,7.85,3.64,5.20,3.90,0.00
8.36,4.11,6.11,7.02,6.52,3.68,4.01,3.33,1.00
6.24,4.21,3.96,6.36,3.87,3.65,6.60,4.56,0.00
5.28,4.47,4.07,7.03,3.70,4.19,4.24,8.64,0.00
6.79,4.65,3.80,5.45,5.57,4.24,3.94,6.25,0.00
5.97,3.95,4.03,7.60,4.50,3.63,3.91,3.78,0.00
7.18,4.00,4.38,6.63,4.19,8.28,3.78,7.92,0.00
7.97,4.15,3.62,6.09,7.40,8.74,4.12,7.16,0.00
6.14,3.82,4.32,7.16,4.05,3.52,4.17,7.15,1.00
5.54,4.53,4.32,6.16,4.42,3.68,4.24,3.79,0.00
5.71,3.99,4.53,8.49,4.37,3.81,4.01,3.70,1.00
7.21,4.36,4.02,6.86,7.34,3.53,5.25,3.60,0.00
5.63,4.06,3.94,7.17,7.82,3.67,9.89,3.64,1.00
5.58,4.97,3.79,5.65,5.19,3.47,6.21,3.31,1.00
5.53,4.28,6.74,6.56,4.35,3.98,4.04,3.85,1.00
5.95,4.51,3.88,8.75,5.13,3.80,3.96,3.80,1.00
5.10,4.29,4.34,6.38,5.75,3.66,3.94,3.43,1.00
6.24,3.98,6.40,5.07,6.42,3.64,4.08,3.66,1.00
7.16,4.32,4.34,6.26,4.20,3.86,4.12,6.45,0.00
8.43,4.05,3.61,6.16,5.92,3.50,6.29,6.09,1.00
6.59,4.11,3.78,7.39,3.76,3.73,11.07,4.93,1.00
7.50,3.97,3.97,9.13,3.49,3.92,4.24,5.81,0.00
8.40,4.37,4.23,5.54,4.22,3.88,4.05,3.68,0.00
6.53,5.01,3.92,7.77,3.62,3.52,7.42,10.13,1.00
7.10,3.88,3.82,4.51,6.82,3.64,3.93,3.55,0.00
6.08,4.29,4.22,5.45,3.62,3.89,8.44,8.76,1.00
5.90,4.48,3.74,7.66,4.50,3.55,4.03,3.65,1.00
8.42,7.03,4.42,7.31,6.30,3.91,9.75,4.63,1.00
7.68,3.88,3.82,6.66,4.56,6.38,5.77,3.52,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.92,4.15,6.51,7.11,4.31,3.49,3.85,3.73,0.00
6.36,4.81,6.86,7.49,6.63,3.46,3.96,6.46,0.00
5.94,3.95,4.12,6.93,4.25,3.80,4.30,5.62,1.00
6.39,3.62,8.87,5.25,7.72,3.51,3.89,3.81,1.00
6.34,3.76,4.10,7.37,5.92,3.65,3.91,6.45,1.00
6.28,5.86,4.47,5.64,4.84,3.80,8.28,4.15,1.00
6.13,4.02,5.97,6.71,7.41,3.84,3.88,7.85,0.00
6.70,4.05,3.98,5.64,4.11,3.65,4.05,4.93,0.00
6.06,4.02,3.85,6.89,6.97,3.69,8.73,3.75,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
6.54,5.56,4.33,5.68,7.72,3.68,3.87,3.76,0.00
8.89,4.08,3.88,4.68,4.08,5.07,3.78,4.25,0.00
6.32,6.97,3.83,7.67,7.15,3.54,4.16,3.65,0.00
5.72,5.66,5.03,6.67,5.51,3.56,3.88,3.55,0.00
6.68,4.14,3.87,8.53,7.36,6.47,5.78,3.79,0.00
6.16,4.19,11.09,6.79,5.50,3.67,3.96,3.65,1.00
7.08,4.13,4.08,8.00,4.48,3.74,9.83,5.33,1.00
6.16,4.16,4.37,5.09,3.84,3.56,3.91,4.41,1.00
8.17,3.84,7.91,7.89,4.06,3.75,4.00,7.72,0.00
7.40,4.34,3.88,6.71,4.18,3.68,11.16,4.62,1.00
4.88,5.84,4.04,7.06,7.14,3.78,4.66,3.43,0.00
6.84,5.53,4.03,7.47,4.62,3.63,6.07,3.65,0.00
6.93,3.96,4.04,6.34,5.39,8.72,4.14,4.75,0.00
7.02,4.52,3.68,6.97,3.66,3.83,7.01,8.53,1.00
8.56,4.29,3.48,4.33,7.67,10.78,4.01,3.68,0.00
7.98,5.04,3.88,4.80,5.61,9.83,4.10,3.88,0.00
5.99,4.74,4.92,6.01,6.03,3.87,4.28,4.05,0.00
6.34,4.04,10.31,7.01,6.28,3.63,4.01,3.69,1.00
6.00,10.48,3.91,6.58,6.63,5.54,4.02,4.54,0.00
5.26,4.22,5.56,9.15,5.53,6.97,3.97,4.18,1.00
7.64,4.15,4.49,5.81,4.58,3.93,4.00,3.12,1.00
5.73,4.20,4.17,7.29,4.14,3.52,10.16,3.56,1.00
5.62,6.01,3.97,5.28,5.43,3.65,3.92,3.85,1.00
6.58,4.07,4.08,7.62,7.18,3.59,3.96,3.53,0.00
8.63,4.03,3.93,6.85,5.10,3.67,4.01,6.98,1.00
7.89,8.11,4.21,6.46,4.41,3.60,3.99,3.71,0.00
6.24,4.22,4.36,6.06,3.63,3.42,4.22,3.99,1.00
8.59,4.04,3.94,5.85,4.84,5.56,4.12,3.81,0.00
6.65,4.13,7.29,7.05,6.56,3.72,4.84,3.71,0.00
7.56,3.92,3.85,6.70,4.72,3.74,4.15,3.89,1.00
6.29,4.17,6.06,8.19,6.15,3.41,3.79,3.54,1.00
8.36,8.07,4.13,5.57,6.59,11.57,3.98,3.57,0.00
5.54,3.97,3.84,6.36,4.36,3.68,9.18,5.49,1.00
6.33,4.45,3.89,8.20,6.06,3.38,3.98,3.96,1.00
5.85,4.11,4.05,7.75,7.01,3.69,4.03,3.58,1.00
5.51,3.98,3.78,6.89,4.72,3.61,4.64,7.11,0.00
6.99,4.13,3.77,6.68,4.46,3.84,8.89,7.42,1.00
9.11,4.36,4.00,5.36,3.84,3.81,4.16,3.83,0.00
4.85,4.35,4.40,8.08,6.02,4.05,4.07,3.60,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.23,4.32,3.99,4.43,3.90,4.87,3.99,4.59,0.00
7.79,4.00,4.20,6.10,6.82,3.68,10.93,7.89,0.00
6.31,4.14,4.03,6.55,6.41,3.73,4.09,4.53,0.00
8.17,4.01,6.58,6.49,4.30,3.67,3.66,3.29,0.00
6.16,3.94,5.66,6.14,7.26,3.50,4.07,3.83,0.00
6.29,4.54,4.40,7.25,6.47,3.79,4.19,4.43,0.00
7.97,4.47,4.02,7.11,6.77,3.90,8.68,11.39,0.00
5.73,4.19,4.42,7.39,5.80,3.77,5.78,3.80,1.00
5.93,5.72,10.32,8.15,5.90,3.74,4.13,3.52,0.00
6.52,4.05,10.21,8.08,5.85,3.55,3.96,3.89,1.00
8.92,4.36,4.02,8.91,3.78,3.65,4.17,3.58,1.00
6.16,4.10,4.88,8.18,6.27,3.82,4.09,4.15,0.00
6.62,3.68,3.84,7.83,4.09,3.57,3.90,8.75,0.00
6.08,8.79,3.93,5.14,7.19,11.99,3.87,3.60,0.00
8.94,6.51,4.34,5.18,4.10,3.71,4.30,7.28,0.00
5.60,4.27,4.12,6.35,5.03,3.46,10.58,3.67,1.00
7.37,4.38,4.15,6.79,5.14,3.81,7.46,3.90,0.00
5.97,3.95,4.21,7.62,5.85,3.54,7.12,5.73,1.00
8.13,4.16,3.65,5.85,4.69,3.58,3.99,3.71,0.00
5.21,4.50,6.28,8.19,5.17,3.78,4.20,4.84,1.00
6.49,4.00,6.69,8.26,5.31,3.72,8.58,6.34,1.00
5.21,4.13,9.78,8.37,5.72,3.75,3.76,4.61,1.00
7.84,4.13,4.06,6.89,4.98,3.90,4.12,4.39,0.00
8.26,4.28,4.69,6.82,5.04,3.80,4.03,8.24,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.02,4.02,3.92,7.03,6.41,3.85,4.15,6.58,0.00
7.42,3.96,4.09,5.28,3.89,12.85,3.92,3.75,0.00
7.76,4.07,3.95,8.65,4.05,3.80,11.05,3.69,1.00
6.53,3.81,3.61,5.73,4.38,3.84,6.14,3.95,0.00
7.56,4.18,4.11,4.93,5.13,4.12,3.95,4.67,0.00
6.48,4.20,3.96,5.26,5.38,3.78,3.99,6.53,0.00
5.35,4.98,4.00,5.96,5.44,6.44,4.01,4.96,0.00
6.70,4.44,4.05,6.47,4.30,3.82,3.92,4.41,1.00
8.04,4.00,4.20,7.83,8.34,3.68,3.95,3.47,1.00
5.99,4.60,4.05,7.04,6.07,3.88,3.98,3.55,1.00
5.71,4.70,3.98,4.91,5.24,3.80,3.99,3.32,0.00
7.52,4.41,4.00,6.58,4.83,3.59,3.93,3.77,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
6.00,4.28,5.07,8.11,3.94,3.79,4.16,3.83,1.00
4.76,6.26,3.75,7.81,6.01,3.55,6.01,4.17,0.00
6.96,4.08,4.22,8.73,3.86,4.13,4.19,3.82,1.00
8.02,5.13,3.86,9.04,3.46,3.78,4.82,3.78,1.00
6.07,3.79,3.63,8.10,4.41,3.92,3.90,4.14,0.00
6.67,3.72,3.77,5.07,4.11,7.46,3.77,5.14,0.00
7.15,5.24,3.66,6.60,7.29,3.87,4.12,3.56,0.00
8.30,4.47,4.61,5.71,5.35,4.05,5.12,3.63,0.00
5.42,4.28,5.91,6.28,6.95,3.44,8.93,3.62,1.00
7.02,3.89,3.51,7.06,3.94,3.80,4.08,6.13,1.00
6.42,4.31,3.86,8.66,7.78,3.67,3.90,7.43,0.00
6.50,4.66,4.11,6.91,6.42,4.19,4.12,5.83,0.00
7.30,4.19,3.99,6.94,4.77,3.52,4.09,8.11,1.00
7.11,5.15,4.13,6.09,5.71,3.62,4.04,4.46,0.00
6.87,9.21,4.52,5.24,6.08,4.32,4.39,4.86,0.00
7.49,3.58,3.78,6.96,4.95,8.88,3.79,3.86,0.00
6.54,4.15,4.86,7.70,5.45,3.68,4.14,5.79,0.00
5.56,3.96,9.87,7.66,7.28,4.05,4.18,6.08,1.00
7.43,4.58,4.18,6.93,3.95,3.81,3.85,3.53,1.00
7.91,4.40,4.04,7.06,4.00,4.31,4.06,7.06,0.00
7.84,4.27,5.97,5.41,4.80,3.69,8.96,4.25,1.00
7.46,4.21,3.64,4.54,4.35,6.14,3.99,6.99,0.00
5.41,4.33,4.16,6.97,4.56,3.74,4.17,5.10,1.00
6.65,4.17,3.79,5.55,4.96,3.76,4.12,4.83,1.00
7.75,4.15,3.90,5.14,3.84,11.28,4.01,11.12,0.00
5.98,6.23,3.91,5.86,5.30,3.65,4.06,3.79,0.00
