drug,SVM-RFE,mRMR,RFE-mRMR
17-AAG,0.82,0.78,0.89
AEW541,0.78,0.67,0.84
AZD0530,0.67,0.76,0.87
AZD6244,0.68,0.74,0.95
Erlotinib,0.75,0.64,0.84
Irinotecan,0.66,0.68,0.74
Lapatinib,0.67,0.56,0.76
LBW242,0.56,0.63,0.67
Nutlin-3,0.68,0.62,0.75
Paclitaxel,0.78,0.83,0.89
Panobinostat,0.72,0.73,0.83
PD-0325901,0.76,0.68,0.84
PD-0332991,0.65,0.68,0.73
PF2341066,0.73,0.68,0.79
PHA-665752,0.67,0.67,0.87
RAF265,0.75,0.65,0.84
Sorafenib,0.73,0.67,0.81
TAE684,0.78,0.67,0.82
TKI258,0.67,0.72,0.76
Topotecan,0.71,0.65,0.84
ZD-6474,0.76,0.81,0.86
