feature_numbers,17-AAG,AEW541,AZD0530,AZD6244
1,0.5,0.56,0.61,0.64
3,0.5,0.56,0.61,0.64
5,0.55,0.64,0.69,0.66
7,0.62,0.75,0.64,0.73
9,0.65,0.86,0.74,0.74
10,0.84,0.76,0.81,0.84
11,0.82,0.73,0.81,0.94
12,0.58,0.66,0.88,0.74
14,0.55,0.56,0.51,0.74
16,0.53,0.54,0.61,0.64
20,0.54,0.65,0.51,0.44
24,0.5,0.54,0.61,0.64
25,0.5,0.54,0.61,0.64
26,0.5,0.54,0.61,0.64
27,0.5,0.54,0.61,0.64
28,0.5,0.54,0.61,0.64
29,0.53,0.34,0.61,0.64
30,0.53,0.34,0.61,0.64
31,0.53,0.34,0.61,0.64
32,0.56,0.65,0.45,0.34
33,0.56,0.65,0.45,0.34
34,0.56,0.65,0.45,0.34
35,0.56,0.65,0.45,0.34
36,0.43,0.23,0.21,0.32
37,0.43,0.23,0.21,0.32
38,0.43,0.23,0.21,0.32
40,0.34,0.23,0.21,0.24
41,0.34,0.23,0.21,0.24
42,0.34,0.23,0.21,0.24
43,0.34,0.23,0.21,0.24
44,0.32,0.23,0.12,0.24
45,0.32,0.23,0.12,0.24
48,0.21,0.21,0.12,0.22
52,0.12,0.21,0.12,0.22
53,0.12,0.21,0.12,0.22
