drug,SVM,SVM-PSO,SVM-PSO-mTVAC
17-AAG,0.7864,0.83,0.8529
AEW541,0.7586,0.8095,0.8095
AZD0530,0.7630,0.81,0.8308
AZD6244,0.8545,0.89,0.9394
Erlotinib,0.8667,0.89,0.9245
Irinotecan,0.8173,0.8404,0.8404
Lapatinib,0.7977,0.84,0.8704
LBW242,0.6935,0.8,0.8000
Nutlin-3,0.7312,0.7763,0.7763
Paclitaxel,0.8355,0.85,0.8857
Panobinostat,0.9020,0.93,0.9825
PD-0325901,0.8578,0.89,0.9412
PD-0332991,0.7834,0.87,0.9036
PF2341066,0.8345,0.91,0.91
PHA-665752,0.7528,0.80,0.8214
RAF265,0.7979,0.84,0.84
Sorafenib,0.7758,0.81,0.8679
TAE684,0.8168,0.82,0.82
TKI258,0.7617,0.86,0.86
Topotecan,0.8826,0.94,0.94
ZD-6474,0.7150,0.86,0.86
